credit_id,bank_id,reporting_year,credits_tco2e,use,retired_flag,permanence_years,registry,project_type,project_country,vintage_year,tonnes_co2e,price_per_tonne_eur,total_cost_eur,purchase_date,credit_type,underlying_mechanism,permanence_rating,additionality_verified,planned_flag,retirement_year,associated_target_id
CC0001,BANK01,2024,,retirement_against_emissions,,,Gold_Standard,renewable_energy,IN,2023,21080,20.39,429843.34,2024-03-07,avoidance_reduction,technology_based,high,True,False,2024,TGT003
CC0002,BANK01,2023,,retirement_against_emissions,,,Gold_Standard,cookstoves,MX,2020,21297,28.14,599202.0,2023-03-13,avoidance_reduction,technology_based,high,True,False,2023,TGT003
CC0003,BANK01,2022,,held_for_future_use,,,Gold_Standard,cookstoves,IN,2022,6966,28.24,196693.42,2022-09-12,avoidance_reduction,technology_based,high,True,False,,
CC0004,BANK02,2022,,held_for_future_use,,,Gold_Standard,afforestation,MX,2021,6731,19.86,133674.36,2022-03-23,carbon_removal,nature_based,medium,True,False,,
CC0005,BANK02,2023,,retirement_against_emissions,,,Gold_Standard,renewable_energy,PE,2021,6600,13.84,91352.01,2023-01-31,avoidance_reduction,technology_based,high,True,False,2023,TGT006
CC0006,BANK02,2022,,retirement_against_emissions,,,Verra_VCS,direct_air_capture,BR,2020,24041,23.72,570302.03,2022-09-12,carbon_removal,technology_based,high,True,False,2022,TGT006
CC0007,BANK03,2022,,retirement_against_emissions,,,Verra_VCS,afforestation,CD,2023,6764,19.78,133804.91,2022-02-23,carbon_removal,nature_based,medium,True,False,2022,TGT009
CC0008,BANK03,2024,,retirement_against_emissions,,,ART_TREES,peatland_restoration,MX,2022,18818,25.65,482682.1,2024-11-23,carbon_removal,nature_based,medium,True,False,2024,TGT009
CC0009,BANK03,2024,,held_for_future_use,,,ART_TREES,cookstoves,FR,2022,23227,28.34,658274.31,2024-02-29,avoidance_reduction,technology_based,high,True,False,,
CC0010,BANK03,2022,,retirement_against_emissions,,,Verra_VCS,biochar,DE,2020,14706,28.76,422984.71,2022-03-08,carbon_removal,nature_based,high,True,False,2022,TGT009
CC0011,BANK04,2022,,retirement_against_emissions,,,CDM,reforestation,MX,2022,10114,61.97,626773.79,2022-04-02,carbon_removal,nature_based,medium,True,False,2022,TGT012
CC0012,BANK04,2023,,held_for_future_use,,,Gold_Standard,biochar,PE,2023,20027,51.77,1036770.61,2023-07-27,carbon_removal,nature_based,high,True,False,,
CC0013,BANK04,2023,,retirement_against_emissions,,,Verra_VCS_high_quality,biochar,PE,2024,9736,48.49,472071.1,2023-10-11,carbon_removal,nature_based,high,True,False,2023,TGT012
CC0014,BANK04,2023,,retirement_against_emissions,,,Gold_Standard,peatland_restoration,ID,2023,915,74.69,68342.47,2023-11-20,carbon_removal,nature_based,medium,True,False,2023,TGT012
CC0015,BANK05,2023,,retirement_against_emissions,,,unverified,biochar,PE,2015,1655,7.33,12125.61,2023-01-09,carbon_removal,nature_based,high,False,False,2023,TGT015
CC0016,BANK05,2022,,held_for_future_use,,,Verra_VCS_legacy,afforestation,MX,2014,24109,3.56,85786.03,2022-10-05,carbon_removal,nature_based,medium,False,False,,
CC0017,BANK01,2022,,retirement_against_emissions,,,ART_TREES,afforestation,MX,2021,10353,12.03,124545.36,2022-02-01,carbon_removal,nature_based,medium,True,False,2022,TGT003
CC0018,BANK01,2023,,held_for_future_use,,,Gold_Standard,cookstoves,PE,2022,18761,14.9,279599.28,2023-06-15,avoidance_reduction,technology_based,high,True,False,,
CC0019,BANK02,2022,,held_for_future_use,,,Verra_VCS,reforestation,DE,2022,20613,22.48,463352.48,2022-05-02,carbon_removal,nature_based,medium,True,False,,
CC0020,BANK02,2023,,retirement_against_emissions,,,Gold_Standard,reforestation,CD,2023,6882,16.63,114443.24,2023-05-26,carbon_removal,nature_based,medium,True,False,2023,TGT006
CC0021,BANK03,2022,,retirement_against_emissions,,,ART_TREES,cookstoves,DE,2021,5615,11.68,65609.66,2022-02-23,avoidance_reduction,technology_based,high,True,False,2022,TGT009
CC0022,BANK03,2023,,held_for_future_use,,,ART_TREES,reforestation,CO,2023,22413,27.27,611094.53,2023-08-23,carbon_removal,nature_based,medium,True,False,,
CC0023,BANK04,2022,,held_for_future_use,,,Verra_VCS_high_quality,direct_air_capture,CO,2022,8114,48.82,396086.26,2022-04-11,carbon_removal,technology_based,high,True,False,,
CC0024,BANK04,2022,,held_for_future_use,,,Gold_Standard,afforestation,KE,2019,15740,39.06,614826.43,2022-12-05,carbon_removal,nature_based,medium,True,False,,
CC0025,BANK04,2023,,held_for_future_use,,,Gold_Standard,reforestation,BR,2023,7102,42.05,298637.71,2023-05-29,carbon_removal,nature_based,medium,True,False,,
CC0026,BANK04,2023,,held_for_future_use,,,Verra_VCS_high_quality,direct_air_capture,ID,2023,4403,56.63,249342.34,2023-01-09,carbon_removal,technology_based,high,True,False,,
CC0027,BANK05,2022,,held_for_future_use,,,unverified,renewable_energy,DE,2020,18728,6.15,115147.95,2022-04-20,avoidance_reduction,technology_based,high,False,False,,
CC0028,BANK05,2023,,held_for_future_use,,,unverified,cookstoves,DE,2020,2976,7.86,23386.81,2023-12-27,avoidance_reduction,technology_based,high,False,False,,
