bank_id,reporting_year,effect_type,amount_meur,time_horizon,effect_id,driver_type,linked_id,affected_statement,line_item,effect_timing,quantitative_effect_meur,qualitative_description,material_adjustment_next_period_flag,basis,is_synthetic
BANK01,2024,,,short_0_2yr,FE-RISK-BANK01-2024-0006,risk,RISK-BANK01-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,16.52,Current-period effect attributable to: Transition risk — EV shift in auto lending.,True,modelled_estimate,True
BANK01,2024,,,short_0_2yr,FE-RISK-BANK01-2024-0006-ANT,risk,RISK-BANK01-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,165.2,Anticipated short_0_2yr effect attributable to: Transition risk — EV shift in auto lending.,True,modelled_estimate,True
BANK01,2024,,,long_5yr_plus,FE-RISK-BANK01-2024-0005,risk,RISK-BANK01-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,13.65,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK01,2024,,,long_5yr_plus,FE-RISK-BANK01-2024-0005-ANT,risk,RISK-BANK01-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,136.5,Anticipated long_5yr_plus effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK01,2024,,,medium_2_5yr,FE-RISK-BANK01-2024-0008,risk,RISK-BANK01-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,6.75,Current-period effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
BANK01,2024,,,medium_2_5yr,FE-RISK-BANK01-2024-0008-ANT,risk,RISK-BANK01-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,67.5,Anticipated medium_2_5yr effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
BANK02,2024,,,medium_2_5yr,FE-RISK-BANK02-2024-0005,risk,RISK-BANK02-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,44.12,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
BANK02,2024,,,medium_2_5yr,FE-RISK-BANK02-2024-0005-ANT,risk,RISK-BANK02-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,441.2,Anticipated medium_2_5yr effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
BANK02,2024,,,long_5yr_plus,FE-RISK-BANK02-2024-0002,risk,RISK-BANK02-2024-0002,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,22.94,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK02,2024,,,long_5yr_plus,FE-RISK-BANK02-2024-0002-ANT,risk,RISK-BANK02-2024-0002,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,229.4,Anticipated long_5yr_plus effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK02,2024,,,medium_2_5yr,FE-RISK-BANK02-2024-0006,risk,RISK-BANK02-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,13.11,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK02,2024,,,medium_2_5yr,FE-RISK-BANK02-2024-0006-ANT,risk,RISK-BANK02-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,131.1,Anticipated medium_2_5yr effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK03,2024,,,medium_2_5yr,FE-RISK-BANK03-2024-0004,risk,RISK-BANK03-2024-0004,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,57.7,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK03,2024,,,medium_2_5yr,FE-RISK-BANK03-2024-0004-ANT,risk,RISK-BANK03-2024-0004,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,577.0,Anticipated medium_2_5yr effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK03,2024,,,short_0_2yr,FE-RISK-BANK03-2024-0008,risk,RISK-BANK03-2024-0008,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,15.29,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,True,modelled_estimate,True
BANK03,2024,,,short_0_2yr,FE-RISK-BANK03-2024-0008-ANT,risk,RISK-BANK03-2024-0008,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,152.9,Anticipated short_0_2yr effect attributable to: Physical risk — mortgage book flood exposure.,True,modelled_estimate,True
BANK03,2024,,,long_5yr_plus,FE-RISK-BANK03-2024-0003,risk,RISK-BANK03-2024-0003,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,9.18,Current-period effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
BANK03,2024,,,long_5yr_plus,FE-RISK-BANK03-2024-0003-ANT,risk,RISK-BANK03-2024-0003,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,91.8,Anticipated long_5yr_plus effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
BANK04,2024,,,medium_2_5yr,FE-RISK-BANK04-2024-0001,risk,RISK-BANK04-2024-0001,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,177.45,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK04,2024,,,medium_2_5yr,FE-RISK-BANK04-2024-0001-ANT,risk,RISK-BANK04-2024-0001,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,1774.5,Anticipated medium_2_5yr effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK04,2024,,,long_5yr_plus,FE-RISK-BANK04-2024-0008,risk,RISK-BANK04-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,42.34,Current-period effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
BANK04,2024,,,long_5yr_plus,FE-RISK-BANK04-2024-0008-ANT,risk,RISK-BANK04-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,423.4,Anticipated long_5yr_plus effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
BANK04,2024,,,long_5yr_plus,FE-RISK-BANK04-2024-0005,risk,RISK-BANK04-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,23.18,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
BANK04,2024,,,long_5yr_plus,FE-RISK-BANK04-2024-0005-ANT,risk,RISK-BANK04-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,231.8,Anticipated long_5yr_plus effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
BANK05,2024,,,medium_2_5yr,FE-RISK-BANK05-2024-0006,risk,RISK-BANK05-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,11.81,Current-period effect attributable to: Transition risk — EV shift in auto lending.,False,modelled_estimate,True
BANK05,2024,,,medium_2_5yr,FE-RISK-BANK05-2024-0006-ANT,risk,RISK-BANK05-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,118.1,Anticipated medium_2_5yr effect attributable to: Transition risk — EV shift in auto lending.,False,modelled_estimate,True
BANK05,2024,,,medium_2_5yr,FE-RISK-BANK05-2024-0001,risk,RISK-BANK05-2024-0001,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,8.89,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK05,2024,,,medium_2_5yr,FE-RISK-BANK05-2024-0001-ANT,risk,RISK-BANK05-2024-0001,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,88.9,Anticipated medium_2_5yr effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK05,2024,,,short_0_2yr,FE-RISK-BANK05-2024-0005,risk,RISK-BANK05-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,7.75,Current-period effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
BANK05,2024,,,short_0_2yr,FE-RISK-BANK05-2024-0005-ANT,risk,RISK-BANK05-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,77.5,Anticipated short_0_2yr effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
BANK01,2024,,,medium_term,FE-OPP-BANK01-01,opportunity,OPP-BANK01-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,180.0,"Anticipated revenue opportunity: Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",False,estimate,True
BANK02,2024,,,medium_term,FE-OPP-BANK02-01,opportunity,OPP-BANK02-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,180.0,"Anticipated revenue opportunity: Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",False,estimate,True
BANK03,2024,,,medium_term,FE-OPP-BANK03-01,opportunity,OPP-BANK03-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,55.0,"Anticipated revenue opportunity: Growth of green SME lending under LMA Green Loan Principles, targeting energy-efficient commercial real estate and manufacturing retrofits.",False,estimate,True
BANK04,2024,,,short_term,FE-OPP-BANK04-01,opportunity,OPP-BANK04-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,210.0,Anticipated revenue opportunity: Core business expansion: EU Taxonomy-aligned green loans now represent 47% of loan book with strong pipeline growth from SFDR Article 9 fund clients.,False,estimate,True
BANK05,2024,,,long_term,FE-OPP-BANK05-04,opportunity,OPP-BANK05-04,income_statement,Net interest income - green and sustainability-linked lending,anticipated,18.0,"Anticipated revenue opportunity: Participation in Iberian solar project finance syndications alongside larger arranger banks, building renewable energy expertise.",False,estimate,True
