collateral_id,exposure_id,collateral_type,country,valuation_amount_meur,epc_rating,flood_risk_score,bank_id,counterparty_id,property_type,market_value_meur,ltv_pct,year_built,floor_area_sqm,valuation_date,physical_risk_score,market_value_at_origination_meur,building_emissions_tco2e,postcode,flood_zone_class,exposure_amount_meur
COL00001,EXP000001,real_estate,ES,,C,,BANK01,CP00001,retail,11.08,47.9,2013,17395,2023-08-08,3,12.12,428.79,49469,high,5.31
COL00002,EXP000002,real_estate,IT,,E,,BANK01,CP00001,office,12.93,47.5,1998,5591,2023-07-23,2,10.41,517.06,45550,medium,6.14
COL00003,EXP000003,real_estate,PL,,C,,BANK01,CP00002,logistics,25.13,49.9,2015,11822,2024-12-10,3,20.16,1306.33,48411,high,12.53
COL00004,EXP000011,real_estate,IT,,E,,BANK01,CP00006,warehouse,4.4,53.9,2000,664,2023-06-04,4,3.6,61.41,10036,very_high,2.37
COL00005,EXP000013,real_estate,IT,,C,,BANK01,CP00006,mixed_use,4.39,46.0,1960,14963,2023-05-09,3,3.78,691.89,81880,high,2.02
COL00006,EXP000018,real_estate,NL,,E,,BANK01,CP00009,industrial,10.42,59.6,1981,19891,2024-01-22,2,9.68,2028.88,1429 EV,medium,6.21
COL00007,EXP000020,real_estate,DE,,B,,BANK01,CP00010,logistics,23.9,55.0,2006,730,2023-11-06,4,20.57,27.74,75664,very_high,13.14
COL00008,EXP000021,real_estate,PL,,F,,BANK01,CP00011,logistics,4.64,57.1,2012,13647,2023-12-27,2,3.89,3991.75,30321,medium,2.65
COL00009,EXP000022,real_estate,LU,,D,,BANK01,CP00011,mixed_use,3.33,62.5,2018,14237,2024-01-18,2,3.91,320.33,47031,medium,2.08
COL00010,EXP000028,real_estate,BE,,C,,BANK01,CP00016,mixed_use,1052.0,52.8,1996,23206,2024-09-27,5,954.77,670.65,58658,very_high,555.54
COL00011,EXP000030,real_estate,BE,,A,,BANK01,CP00017,mixed_use,183.6,71.8,2012,3597,2024-05-23,3,242.73,30.57,39458,high,131.76
COL00012,EXP000033,real_estate,DE,,D,,BANK01,CP00019,warehouse,7.33,54.8,1997,13983,2023-08-05,2,5.81,1328.38,56960,medium,4.02
COL00013,EXP000034,real_estate,LU,,C,,BANK01,CP00019,industrial,8.14,48.3,2004,15402,2024-02-27,5,6.45,235.65,42798,very_high,3.93
COL00014,EXP000040,real_estate,FR,,G,,BANK01,CP00022,mixed_use,4.79,66.6,1993,10272,2024-02-29,3,5.63,320.49,49143,high,3.19
COL00015,EXP000042,real_estate,FR,,F,,BANK01,CP00022,office,3.68,76.1,2007,17205,2024-09-06,2,4.4,402.6,21293,medium,2.8
COL00016,EXP000043,real_estate,PL,,D,,BANK01,CP00022,residential_multi,1.93,65.8,1984,20393,2024-10-21,2,2.33,3313.86,82997,medium,1.27
COL00017,EXP000044,real_estate,BE,,F,,BANK01,CP00023,residential_multi,347.33,70.6,1982,13409,2023-11-22,3,358.61,1025.79,62401,high,245.29
COL00018,EXP000045,real_estate,DE,,B,,BANK01,CP00024,mixed_use,15.41,70.7,2010,20755,2023-09-24,4,23.26,788.69,19290,very_high,10.9
COL00019,EXP000047,real_estate,ES,,C,,BANK01,CP00025,office,6.37,72.2,1979,1111,2024-09-24,3,6.97,27.39,40434,high,4.6
COL00020,EXP000049,real_estate,PL,,C,,BANK01,CP00027,logistics,8.86,51.0,2005,6313,2023-09-03,3,7.62,697.59,70939,high,4.52
COL00021,EXP000050,real_estate,IE,,B,,BANK01,CP00027,mixed_use,9.63,65.7,2008,8735,2024-11-06,1,9.3,253.31,71844,low,6.33
COL00022,EXP000054,real_estate,NL,,B,,BANK01,CP00030,office,2323.48,53.3,1973,3835,2024-04-15,5,2548.44,115.05,6166 ND,very_high,1239.49
COL00023,EXP000060,real_estate,DE,,B,,BANK01,CP00031,retail,1908.36,47.5,2023,12042,2023-08-01,2,1454.16,457.6,96313,medium,906.52
COL00024,EXP000061,real_estate,BE,,A,,BANK01,CP00032,office,3.02,57.6,1986,22722,2024-03-05,2,2.83,193.14,47548,medium,1.74
COL00025,EXP000063,real_estate,IT,,F,,BANK01,CP00032,mixed_use,3.03,69.3,1982,21815,2024-08-03,3,3.6,2670.16,92710,high,2.1
COL00026,EXP000065,real_estate,NL,,C,,BANK01,CP00034,retail,29.28,57.6,1960,5390,2024-06-18,3,28.83,274.89,9054 HS,high,16.87
COL00027,EXP000069,real_estate,AT,,A,,BANK01,CP00036,office,71.8,56.6,1987,12156,2023-04-28,4,63.07,66.86,87598,very_high,40.65
COL00028,EXP000070,real_estate,LU,,B,,BANK01,CP00037,office,51.49,51.2,1994,9167,2024-05-08,2,50.93,82.5,72562,medium,26.34
COL00029,EXP000071,real_estate,AT,,E,,BANK01,CP00037,logistics,25.48,63.9,2023,14488,2024-06-08,5,28.29,541.85,89561,very_high,16.28
COL00030,EXP000074,real_estate,FR,,B,,BANK01,CP00039,mixed_use,12.65,47.7,2010,3571,2024-08-20,4,11.8,18.57,60615,very_high,6.03
COL00031,EXP000078,real_estate,FI,,B,,BANK01,CP00040,logistics,1240.19,57.5,2014,19740,2023-10-06,4,1263.7,493.5,67816,very_high,713.14
COL00032,EXP000081,real_estate,PT,,D,,BANK01,CP00042,retail,66.17,47.4,2017,5680,2023-02-04,5,48.87,355.0,39783,very_high,31.39
COL00033,EXP000082,real_estate,BE,,C,,BANK01,CP00042,warehouse,51.41,48.9,2005,13251,2023-01-31,1,41.71,382.95,28511,low,25.15
COL00034,EXP000084,real_estate,BE,,B,,BANK01,CP00043,industrial,0.64,73.4,2007,4952,2023-11-18,1,0.77,84.18,83183,low,0.47
COL00035,EXP000085,real_estate,NL,,A,,BANK01,CP00044,retail,66.5,67.0,2001,7823,2024-07-29,1,72.06,117.34,8852 GW,low,44.56
COL00036,EXP000086,real_estate,FR,,B,,BANK01,CP00044,industrial,224.99,71.8,1969,19007,2024-10-23,3,231.49,98.84,23369,high,161.56
COL00037,EXP000089,real_estate,ES,,C,,BANK01,CP00045,industrial,16.89,74.4,1965,9192,2024-03-07,1,23.2,226.58,43388,low,12.56
COL00038,EXP000091,real_estate,NL,,D,,BANK01,CP00046,warehouse,10.06,60.8,1996,784,2024-10-21,4,8.92,58.8,8772 ZC,very_high,6.12
COL00039,EXP000093,real_estate,IT,,C,,BANK01,CP00047,industrial,9.42,48.6,1965,11255,2024-10-22,1,6.67,520.43,57683,low,4.58
COL00040,EXP000094,real_estate,FR,,E,,BANK01,CP00047,residential_multi,6.4,51.2,2004,13318,2023-03-23,3,5.23,235.46,49553,high,3.28
COL00041,EXP000095,real_estate,PL,,D,,BANK01,CP00048,residential_multi,1.8,63.9,2023,21207,2023-05-05,4,1.62,3446.14,21429,very_high,1.15
COL00042,EXP000098,real_estate,DE,,B,,BANK01,CP00048,mixed_use,1.9,76.3,2001,22731,2024-03-22,2,2.01,863.78,34999,medium,1.45
COL00043,EXP000099,real_estate,FI,,E,,BANK01,CP00049,mixed_use,2.64,61.4,1960,22752,2023-02-23,2,2.33,1933.92,23049,medium,1.62
COL00044,EXP000101,real_estate,BE,,G,,BANK01,CP00049,office,3.04,65.1,2008,9044,2024-12-16,2,2.88,922.49,44985,medium,1.98
