counterparty_id,bank_id,legal_name,nace_code,country,annual_revenue_meur,evic_meur,nace_description,sector_carbon_tier,country_name,is_listed,sme_flag,onboarded_date,ppp_adjusted_gdp_meur,national_scope1_tco2e,national_scope2_tco2e,national_scope3_tco2e,sbti_target_flag,data_source_type,transition_risk_score
CP00001,BANK01,Civil DE Group 1,F42,DE,33.5,53.7,Civil engineering,medium,Germany,False,True,2023-04-05,,,,,False,estimated_economic,1.78
CP00002,BANK01,Mining AT Group 2,B07,AT,216.8,490.6,Mining of metal ores,high,Austria,True,False,2016-01-19,,,,,False,audited_report,7.55
CP00003,BANK01,Manufacture ES Group 3,C20,ES,6.0,9.3,Manufacture of chemicals,high,Spain,False,True,2022-04-15,,,,,False,estimated_economic,5.18
CP00004,BANK01,Land IT Group 4,H49,IT,111.6,189.8,Land transport (road & rail),medium,Italy,False,False,2024-09-30,,,,,False,estimated_economic,1.93
CP00005,BANK01,Crop IE Group 5,A01,IE,622.9,1129.0,Crop and animal production,high,Ireland,True,False,2023-07-25,,,,,False,estimated_economic,3.09
CP00006,BANK01,Manufacture DE Group 6,C10,DE,9.8,26.7,Manufacture of food products,medium,Germany,False,True,2021-10-08,,,,,False,estimated_economic,1.93
CP00007,BANK01,Manufacture DE Group 7,C24,DE,119.7,170.5,Manufacture of basic metals (steel),high,Germany,False,False,2019-03-31,,,,,False,proxy_model,8.99
CP00008,BANK01,Extraction IT Group 8,B06,IT,385.4,1076.7,Extraction of crude petroleum and natural gas,high,Italy,True,False,2017-02-26,,,,,False,estimated_economic,3.2
CP00009,BANK01,Land DE Group 9,H49,DE,24.2,41.6,Land transport (road & rail),medium,Germany,False,True,2015-11-23,,,,,False,estimated_economic,4.63
CP00010,BANK01,Publishing FI Group 10,J58,FI,69.2,139.5,Publishing activities,low,Finland,False,False,2024-05-09,,,,,False,estimated_economic,0.56
CP00011,BANK01,Manufacture IT Group 11,C11,IT,21.3,35.8,Manufacture of beverages,medium,Italy,False,True,2022-08-31,,,,,False,estimated_economic,3.38
CP00012,BANK01,Civil NL Group 12,F42,NL,16.3,41.0,Civil engineering,medium,Netherlands,False,True,2016-10-31,,,,,True,estimated_economic,2.3
CP00013,BANK01,Manufacture FR Group 13,C27,FR,2993.5,7300.2,Manufacture of electrical equipment,medium,France,True,False,2018-08-21,,,,,False,cdp_disclosure,5.37
CP00014,BANK01,Retail IE Group 14,G47,IE,24.4,30.7,Retail trade,low,Ireland,False,True,2018-07-16,,,,,False,estimated_economic,4.23
CP00015,BANK01,Manufacture DE Group 15,C13,DE,2750.5,6108.7,Manufacture of textiles,medium,Germany,False,False,2017-05-20,,,,,False,proxy_model,8.34
CP00016,BANK01,Civil IT Group 16,F42,IT,2777.4,5626.8,Civil engineering,medium,Italy,True,False,2017-10-07,,,,,False,estimated_economic,0.73
CP00017,BANK01,Warehousing NL Group 17,H52,NL,873.1,1721.0,Warehousing and support transport,medium,Netherlands,False,False,2019-01-22,,,,,False,proxy_model,6.1
CP00018,BANK01,Manufacture PL Group 18,C20,PL,169.3,230.9,Manufacture of chemicals,high,Poland,False,False,2015-07-12,,,,,False,audited_report,8.0
CP00019,BANK01,Computer FR Group 19,J62,FR,15.1,36.6,Computer programming & IT services,low,France,False,True,2021-09-08,,,,,False,proxy_model,4.77
CP00020,BANK01,Mining IT Group 20,B05,IT,4879.4,10502.4,Mining of coal and lignite,high,Italy,False,False,2024-08-26,,,,,False,estimated_economic,7.12
CP00021,BANK01,Architectural BE Group 21,M71,BE,11.1,31.0,Architectural & engineering activities,low,Belgium,False,True,2023-06-03,,,,,False,estimated_economic,2.05
CP00022,BANK01,Manufacture BE Group 22,C24,BE,10.8,21.4,Manufacture of basic metals (steel),high,Belgium,False,True,2020-02-02,,,,,False,estimated_economic,5.41
CP00023,BANK01,Crop AT Group 23,A01,AT,722.8,2131.8,Crop and animal production,high,Austria,False,False,2020-09-10,,,,,False,proxy_model,2.8
CP00024,BANK01,Real FI Group 24,L68,FI,39.4,92.6,Real estate activities,low,Finland,False,True,2021-10-30,,,,,False,proxy_model,2.17
CP00025,BANK01,Manufacture IT Group 25,C19,IT,15.3,44.6,Manufacture of coke and refined petroleum,high,Italy,False,True,2020-12-12,,,,,False,proxy_model,6.03
CP00026,BANK01,Real NL Group 26,L68,NL,146.5,205.3,Real estate activities,low,Netherlands,False,False,2019-01-26,,,,,False,estimated_economic,5.14
CP00027,BANK01,Information PT Group 27,J63,PT,41.9,54.6,Information service activities,low,Portugal,False,True,2024-11-05,,,,,False,proxy_model,2.61
CP00028,BANK01,Water DE Group 28,E36,DE,786.5,2099.0,"Water collection, treatment, supply",medium,Germany,False,False,2020-12-21,,,,,False,proxy_model,2.59
CP00029,BANK01,Accommodation DE Group 29,I55,DE,133.6,292.5,Accommodation (hotels),medium,Germany,False,False,2017-12-21,,,,,False,estimated_economic,0.04
CP00030,BANK01,Manufacture NL Group 30,C29,NL,3918.2,11253.2,Manufacture of motor vehicles,medium,Netherlands,False,False,2022-09-26,,,,,False,estimated_economic,7.06
CP00031,BANK01,Manufacture IT Group 31,C19,IT,4846.7,11485.6,Manufacture of coke and refined petroleum,high,Italy,True,False,2020-10-20,,,,,True,proxy_model,1.69
CP00032,BANK01,Manufacture FR Group 32,C25,FR,7.8,9.7,Manufacture of fabricated metal,medium,France,False,True,2021-03-18,,,,,False,estimated_economic,4.09
CP00033,BANK01,Manufacture FR Group 33,C23,FR,8.2,19.2,"Manufacture of cement, lime and plaster",high,France,False,True,2017-07-26,,,,,False,estimated_economic,5.41
CP00034,BANK01,Mining DE Group 34,B05,DE,49.1,104.4,Mining of coal and lignite,high,Germany,False,True,2018-02-14,,,,,False,proxy_model,5.67
CP00035,BANK01,Specialised FR Group 35,F43,FR,12.5,36.0,Specialised construction,medium,France,False,True,2021-05-27,,,,,False,proxy_model,0.68
CP00036,BANK01,Water FR Group 36,E36,FR,131.5,254.2,"Water collection, treatment, supply",medium,France,False,False,2016-01-22,,,,,False,cdp_disclosure,3.79
CP00037,BANK01,Extraction ES Group 37,B06,ES,93.5,190.8,Extraction of crude petroleum and natural gas,high,Spain,False,False,2023-03-06,,,,,False,proxy_model,5.62
CP00038,BANK01,Mining BE Group 38,B05,BE,435.1,569.6,Mining of coal and lignite,high,Belgium,False,False,2023-12-24,,,,,False,estimated_economic,4.42
CP00039,BANK01,Computer FR Group 39,J62,FR,18.6,37.3,Computer programming & IT services,low,France,False,True,2019-09-25,,,,,False,estimated_economic,8.12
CP00040,BANK01,Manufacture ES Group 40,C19,ES,2106.0,2813.0,Manufacture of coke and refined petroleum,high,Spain,False,False,2024-08-07,,,,,False,estimated_economic,3.56
CP00041,BANK01,Manufacture DE Group 41,C30,DE,4987.1,13489.4,Manufacture of other transport equipment,medium,Germany,False,False,2023-06-14,,,,,False,cdp_disclosure,8.62
CP00042,BANK01,Publishing FR Group 42,J58,FR,143.5,227.4,Publishing activities,low,France,False,False,2019-07-01,,,,,False,cdp_disclosure,2.93
CP00043,BANK01,Insurance FR Group 43,K65,FR,5.1,9.7,Insurance,low,France,False,True,2023-10-17,,,,,False,estimated_economic,2.51
CP00044,BANK01,Food FR Group 44,I56,FR,616.3,1549.9,Food and beverage service,medium,France,False,False,2022-06-04,,,,,False,estimated_economic,5.17
