facility_id,bank_id,facility_type,country,city,floor_area_sqm,epc_rating,headcount,year_built,ownership
FAC0001,BANK01,headquarters,IE,Munich,19290,F,366,2005,owned
FAC0002,BANK01,branch,DE,Turin,1181,F,386,2001,owned
FAC0003,BANK01,training_center,DE,Vienna,10185,C,121,2012,leased
FAC0004,BANK01,branch,DE,Madrid,9215,D,554,2003,leased
FAC0005,BANK01,back_office,DE,Barcelona,3744,B,319,1990,leased
FAC0006,BANK01,branch,DE,Amsterdam,2209,C,349,1975,leased
FAC0007,BANK01,back_office,IE,Madrid,1403,C,560,2020,leased
FAC0008,BANK01,branch,DE,Paris,9393,B,197,2007,leased
FAC0009,BANK01,back_office,IT,Rome,9310,D,73,1973,leased
FAC0010,BANK01,back_office,DE,Frankfurt,8835,C,399,2002,leased
FAC0011,BANK01,branch,FI,Madrid,5747,B,94,1999,leased
FAC0012,BANK01,branch,DE,Dublin,6750,D,230,2009,leased
FAC0013,BANK01,branch,DE,Dublin,14120,C,358,1985,leased
FAC0014,BANK01,training_center,IT,Frankfurt,2821,E,633,1993,owned
FAC0015,BANK01,back_office,DE,Madrid,14651,E,943,1997,leased
FAC0016,BANK01,branch,IT,Berlin,7313,E,863,2017,leased
FAC0017,BANK01,branch,DE,Paris,670,F,661,2019,leased
FAC0018,BANK01,branch,DE,Hamburg,1655,E,672,1978,owned
FAC0019,BANK01,branch,DE,Rome,3242,E,986,1974,leased
FAC0020,BANK01,training_center,DE,Rotterdam,5193,D,311,2014,leased
FAC0021,BANK01,branch,FI,Munich,9589,E,886,1995,leased
FAC0022,BANK01,branch,DE,Munich,4246,G,58,2000,leased
FAC0023,BANK01,branch,DE,Paris,6576,E,468,1974,leased
FAC0024,BANK01,branch,IE,Hamburg,13091,E,235,2012,leased
FAC0025,BANK01,branch,DE,Milan,3375,A,378,1979,leased
FAC0026,BANK01,operations_center,DE,Milan,8783,A,85,1994,owned
FAC0027,BANK01,back_office,DE,Vienna,7717,C,91,2016,leased
FAC0028,BANK01,back_office,DE,Rome,1429,C,134,1980,leased
FAC0029,BANK02,headquarters,FR,Madrid,26135,C,761,2004,leased
FAC0030,BANK02,branch,FR,Berlin,6745,B,23,1976,leased
FAC0031,BANK02,data_center,IE,Berlin,9734,E,578,1977,owned
FAC0032,BANK02,back_office,FR,Milan,11733,F,650,2006,leased
FAC0033,BANK02,operations_center,FR,Rome,10931,C,485,2001,leased
FAC0034,BANK02,operations_center,FR,Milan,10938,C,768,1993,owned
FAC0035,BANK02,training_center,FR,Berlin,7573,G,844,1980,owned
FAC0036,BANK02,branch,PL,Frankfurt,14264,C,661,2004,leased
FAC0037,BANK02,training_center,FR,Amsterdam,7772,C,995,1996,leased
FAC0038,BANK02,branch,FR,Rotterdam,3873,C,271,1995,owned
FAC0039,BANK02,branch,FR,Paris,6454,B,941,2016,leased
FAC0040,BANK02,operations_center,FR,Hamburg,6936,E,164,1993,leased
FAC0041,BANK02,back_office,IT,Hamburg,4058,C,365,2019,leased
FAC0042,BANK02,branch,FR,Amsterdam,890,C,730,2003,owned
FAC0043,BANK02,back_office,FR,Barcelona,3053,B,676,2017,leased
FAC0044,BANK02,data_center,FR,Hamburg,14721,B,776,1996,owned
FAC0045,BANK02,training_center,FR,Madrid,10790,C,916,2018,owned
FAC0046,BANK02,branch,FR,Vienna,14745,A,74,1971,leased
FAC0047,BANK02,branch,FR,Frankfurt,3989,F,334,1992,leased
FAC0048,BANK02,branch,ES,Rome,12027,F,199,2007,owned
FAC0049,BANK02,branch,FR,Munich,9221,D,952,1979,leased
FAC0050,BANK02,branch,FR,Milan,11804,D,888,2000,leased
FAC0051,BANK03,headquarters,LU,Munich,17580,G,158,2012,leased
FAC0052,BANK03,branch,IT,Madrid,13901,C,391,2019,leased
FAC0053,BANK03,back_office,LU,Paris,6133,B,926,1971,leased
FAC0054,BANK03,branch,IT,Milan,11598,C,423,1981,leased
FAC0055,BANK03,branch,IT,Lyon,5754,F,319,2012,leased
FAC0056,BANK03,training_center,ES,Paris,10171,B,447,2008,leased
FAC0057,BANK03,branch,IT,Rotterdam,884,C,521,2002,leased
FAC0058,BANK03,branch,IT,Amsterdam,7593,D,365,2014,owned
FAC0059,BANK03,back_office,IT,Rome,9532,E,52,1999,owned
FAC0060,BANK03,training_center,IT,Milan,6736,D,224,2017,leased
FAC0061,BANK03,branch,IT,Turin,5999,A,395,2013,leased
FAC0062,BANK03,operations_center,IT,Frankfurt,6172,E,756,1996,owned
FAC0063,BANK03,branch,LU,Munich,13696,C,702,1975,leased
FAC0064,BANK03,operations_center,IE,Munich,4480,F,96,1971,owned
FAC0065,BANK04,headquarters,IE,Vienna,19942,A,29,2023,leased
FAC0066,BANK04,back_office,NL,Lyon,14776,A,491,2007,leased
FAC0067,BANK04,branch,NL,Frankfurt,3768,B,960,2008,leased
FAC0068,BANK04,branch,NL,Barcelona,11732,A,258,2007,owned
FAC0069,BANK04,back_office,NL,Vienna,3732,A,745,2021,leased
FAC0070,BANK04,back_office,NL,Paris,14672,A,901,2014,owned
FAC0071,BANK05,headquarters,ES,Hamburg,32253,C,167,1965,leased
FAC0072,BANK05,back_office,ES,Munich,3583,C,211,1972,leased
FAC0073,BANK05,data_center,ES,Paris,5361,C,635,1990,leased
FAC0074,BANK05,back_office,AT,Rotterdam,614,C,690,1981,leased
FAC0075,BANK05,back_office,ES,Munich,8592,D,372,1975,leased
FAC0076,BANK05,branch,ES,Barcelona,12232,E,476,1992,owned
