investment_id,bank_id,asset_class,issuer_name,nominal_amount_meur,market_value_meur,issuer_evic_meur,nace_code,country,currency,esg_classification,purchase_date,issuer_revenue_meur,ppp_gdp_meur,pcaf_data_quality_score,counterparty_id,reporting_year
INV00001,BANK01,listed_equity,Manufacture 1,27.98,23.93,457.8,C25,IT,EUR,article_8,2019-05-26,168.8,,2,,2024
INV00002,BANK01,sovereign_bond,Sovereign 2,78.18,83.78,,O84,DE,EUR,article_6,2019-12-11,,4580000,3,,2024
INV00003,BANK01,sovereign_bond,Sovereign 3,20.66,20.62,,O84,FR,EUR,not_applicable,2022-11-15,,3680000,3,,2024
INV00004,BANK01,fund,Education 4,349.22,391.5,,P85,LU,EUR,not_applicable,2024-11-14,,,5,,2024
INV00005,BANK01,sovereign_bond,Sovereign 5,12.64,10.89,,O84,IT,EUR,article_8,2020-02-19,,3020000,3,,2024
INV00006,BANK01,corporate_bond,Residential 6,15.74,16.92,,Q87,LU,EUR,article_8,2019-04-02,104.2,,3,,2024
INV00007,BANK01,listed_equity,Manufacture 7,636.77,556.4,4478.7,C22,AT,EUR,not_applicable,2020-04-21,2168.8,,2,,2024
INV00008,BANK01,etf,Computer 8,44.92,45.11,,J62,IT,EUR,not_applicable,2021-09-25,,,5,,2024
INV00009,BANK01,sovereign_bond,Sovereign 9,13.25,12.12,,O84,NL,EUR,not_applicable,2022-01-30,,1120000,3,,2024
INV00010,BANK01,etf,"Electricity, 10",49.22,50.76,,D35,BE,EUR,not_applicable,2022-03-13,,,5,,2024
INV00011,BANK01,corporate_bond,Specialised 11,32.95,34.5,,F43,IE,EUR,article_8,2024-03-09,347.3,,4,,2024
INV00012,BANK01,sovereign_bond,Sovereign 12,2752.61,2522.48,,O84,IT,EUR,article_6,2022-08-22,,3020000,3,,2024
INV00013,BANK01,corporate_bond,Insurance 13,52.43,57.57,,K65,BE,EUR,article_8,2022-09-08,600.9,,3,,2024
INV00014,BANK01,sovereign_bond,Sovereign 14,154.53,147.25,,O84,NL,EUR,article_8,2023-12-26,,1120000,3,,2024
INV00015,BANK01,listed_equity,Food 15,33.62,35.36,943.2,I56,BE,EUR,article_8,2019-05-13,382.5,,2,,2024
INV00016,BANK01,sovereign_bond,Sovereign 16,268.09,267.01,,O84,DE,EUR,not_applicable,2019-12-07,,4580000,3,,2024
INV00017,BANK01,listed_equity,Wholesale 17,83.75,79.11,1087.0,G46,IT,EUR,article_9,2019-05-02,425.6,,2,,2024
INV00018,BANK01,listed_equity,Information 18,26.11,25.57,584.2,J63,IT,EUR,not_applicable,2019-04-06,255.4,,2,,2024
INV00019,BANK01,etf,Manufacture 19,246.09,226.51,,C27,ES,EUR,not_applicable,2020-06-23,,,5,,2024
INV00020,BANK01,corporate_bond,Manufacture 20,17.48,20.06,,C19,FR,EUR,article_8,2021-01-01,199.5,,3,,2024
INV00021,BANK01,fund,Civil 21,237.23,217.14,,F42,IT,EUR,not_applicable,2022-02-16,,,5,,2024
INV00022,BANK01,corporate_bond,Waste 22,376.43,397.53,,E38,BE,EUR,article_8,2022-07-25,1934.5,,4,,2024
INV00023,BANK01,sovereign_bond,Sovereign 23,214.42,208.24,,O84,FR,EUR,not_applicable,2022-03-18,,3680000,3,,2024
INV00024,BANK01,etf,Water 24,24.68,23.94,,H50,FI,EUR,article_6,2022-09-30,,,5,,2024
INV00025,BANK01,etf,Management 25,26.96,26.02,,M70,LU,EUR,article_8,2023-09-10,,,5,,2024
INV00026,BANK01,corporate_bond,Real 26,11.82,12.21,,L68,FR,EUR,article_8,2019-11-26,33.1,,3,,2024
INV00027,BANK01,sovereign_bond,Sovereign 27,676.66,641.14,,O84,LU,EUR,article_6,2024-04-16,,80000,3,,2024
INV00028,BANK01,sovereign_bond,Sovereign 28,2396.71,2469.58,,O84,DE,EUR,not_applicable,2023-05-14,,4580000,3,,2024
INV00029,BANK01,sovereign_bond,Sovereign 29,1440.77,1294.41,,O84,PT,EUR,article_8,2021-09-07,,390000,3,,2024
INV00030,BANK01,listed_equity,Human 30,2011.24,1886.33,6911.6,Q86,IT,EUR,not_applicable,2021-04-27,4976.3,,2,,2024
INV00031,BANK01,sovereign_bond,Sovereign 31,140.6,138.22,,O84,BE,EUR,article_6,2020-12-25,,680000,3,,2024
INV00032,BANK01,fund,Wholesale 32,401.28,441.95,,G45,IE,EUR,not_applicable,2020-10-14,,,5,,2024
INV00033,BANK01,corporate_bond,Residential 33,2547.92,2190.44,,Q87,DE,EUR,article_9,2024-10-29,22962.4,,3,,2024
INV00034,BANK01,fund,Construction 34,14.99,13.91,,F41,IT,EUR,article_9,2020-05-10,,,5,,2024
INV00035,BANK01,etf,Financial 35,414.69,355.44,,K64,NL,EUR,article_8,2019-09-02,,,5,,2024
INV00036,BANK01,corporate_bond,Civil 36,1176.98,1014.52,,F42,AT,EUR,article_8,2024-09-26,3961.2,,3,,2024
INV00037,BANK01,sovereign_bond,Sovereign 37,125.93,110.96,,O84,IE,EUR,not_applicable,2020-04-02,,520000,3,,2024
INV00038,BANK01,etf,Waste 38,107.7,121.04,,E38,IT,EUR,not_applicable,2021-05-10,,,5,,2024
INV00039,BANK01,corporate_bond,Manufacture 39,402.8,451.04,,C30,DE,EUR,article_8,2021-09-29,4366.8,,3,,2024
INV00040,BANK01,etf,Manufacture 40,54.73,59.45,,C30,ES,EUR,article_9,2022-02-01,,,5,,2024
INV00041,BANK01,sovereign_bond,Sovereign 41,800.4,749.6,,O84,FR,EUR,article_6,2023-02-28,,3680000,3,,2024
INV00042,BANK01,sovereign_bond,Sovereign 42,608.85,648.27,,O84,IT,EUR,article_8,2022-06-02,,3020000,3,,2024
INV00043,BANK01,corporate_bond,Water 43,482.17,526.32,,H50,FR,EUR,article_6,2022-04-12,4718.2,,3,,2024
INV00044,BANK01,fund,Manufacture 44,390.76,356.96,,C22,DE,EUR,article_8,2019-02-19,,,5,,2024
INV00045,BANK01,corporate_bond,Residential 45,186.84,187.78,,Q87,FI,EUR,article_8,2020-11-28,950.2,,4,,2024
INV00046,BANK01,fund,Management 46,24.53,23.16,,M70,PT,EUR,article_8,2024-06-10,,,5,,2024
INV00047,BANK01,sovereign_bond,Sovereign 47,1502.99,1495.77,,O84,ES,EUR,article_8,2019-09-23,,2320000,3,,2024
INV00048,BANK01,corporate_bond,Manufacture 48,32.82,33.89,,C28,FR,EUR,article_9,2020-05-04,298.7,,3,,2024
INV00049,BANK01,sovereign_bond,Sovereign 49,77.85,87.49,,O84,ES,EUR,not_applicable,2024-11-16,,2320000,3,,2024
INV00050,BANK01,fund,Air 50,81.08,84.15,,H51,DE,EUR,not_applicable,2024-09-09,,,5,,2024
INV00051,BANK01,listed_equity,Publishing 51,2535.95,2564.65,54956.7,J58,PT,EUR,article_6,2019-08-18,23609.3,,2,,2024
INV00052,BANK01,corporate_bond,Wholesale 52,41.68,44.67,,G46,FR,EUR,article_9,2021-09-30,425.0,,3,,2024
INV00053,BANK01,corporate_bond,Human 53,138.09,142.61,,Q86,DE,EUR,article_8,2020-01-10,1219.7,,4,,2024
INV00054,BANK01,etf,Residential 54,1193.25,1337.56,,Q87,DE,EUR,article_8,2019-09-07,,,5,,2024
INV00055,BANK01,listed_equity,Manufacture 55,291.2,288.08,4373.5,C13,NL,EUR,article_8,2019-07-29,3368.1,,2,,2024
INV00056,BANK01,corporate_bond,Real 56,15.23,14.96,,L68,ES,EUR,article_8,2020-02-14,68.7,,4,,2024
INV00057,BANK01,sovereign_bond,Sovereign 57,34.47,35.19,,O84,ES,EUR,article_8,2020-04-01,,2320000,3,,2024
INV00058,BANK01,etf,Water 58,877.99,958.53,,H50,FR,EUR,article_8,2024-02-12,,,5,,2024
INV00059,BANK01,fund,Manufacture 59,769.84,768.13,,C22,NL,EUR,article_6,2024-09-08,,,5,,2024
INV00060,BANK01,corporate_bond,Manufacture 60,2391.05,2654.49,,C27,IT,EUR,article_6,2022-02-01,17836.3,,3,,2024
INV00061,BANK02,sovereign_bond,Sovereign 61,180.99,159.89,,O84,BE,EUR,not_applicable,2021-01-16,,680000,3,,2024
INV00062,BANK02,corporate_bond,Manufacture 62,1711.66,1709.5,,C29,ES,EUR,article_6,2023-11-05,11445.0,,3,,2024
INV00063,BANK02,sovereign_bond,Sovereign 63,17.24,16.43,,O84,FI,EUR,article_9,2021-01-18,,500000,3,,2024
INV00064,BANK02,listed_equity,Manufacture 64,807.48,807.91,3614.7,C17,FR,EUR,article_8,2024-12-12,1885.5,,2,,2024
INV00065,BANK02,corporate_bond,Employment 65,56.25,57.45,,N78,NL,EUR,article_6,2020-10-02,594.4,,4,,2024
INV00066,BANK02,listed_equity,Civil 66,921.57,952.02,16310.4,F42,PT,EUR,article_6,2024-10-16,7205.8,,2,,2024
INV00067,BANK02,fund,Management 67,307.66,328.56,,M70,IT,EUR,article_6,2021-12-12,,,5,,2024
INV00068,BANK02,corporate_bond,Manufacture 68,84.52,90.27,,C28,IT,EUR,not_applicable,2022-07-15,615.2,,4,,2024
INV00069,BANK02,corporate_bond,Land 69,255.99,218.03,,H49,IE,EUR,not_applicable,2019-08-15,858.0,,3,,2024
INV00070,BANK02,fund,Water 70,411.61,406.29,,E36,DE,EUR,article_8,2021-04-08,,,5,,2024
INV00071,BANK02,listed_equity,Human 71,43.63,37.4,608.3,Q86,PT,EUR,article_8,2023-04-16,309.2,,2,,2024
INV00072,BANK02,corporate_bond,Publishing 72,703.95,728.78,,J58,IE,EUR,article_8,2022-01-27,7368.2,,4,,2024
