physical_risk_id,counterparty_id,hazard_type,acute_risk_score,chronic_risk_score,exposure_amount_meur,bank_id,country,assessment_horizon,scenario_basis,data_source,hazard_category,high_risk_flag,financial_impact_meur,portfolio_pct,nace_code
PR000001,CP00001,drought,2,5,11.45,BANK01,DE,2030,RCP_4.5,ECB_climate_indicators,chronic,True,0.84,0.037,F42
PR000002,CP00002,flood,2,5,163.84,BANK01,AT,2050,RCP_2.6,ECB_climate_indicators,acute,True,18.72,0.526,B07
PR000003,CP00003,wildfire,4,3,2.7,BANK01,ES,2050,RCP_4.5,ECB_climate_indicators,acute,True,0.11,0.009,C20
PR000004,CP00003,drought,3,5,2.7,BANK01,ES,2050,RCP_2.6,ECB_climate_indicators,chronic,True,0.14,0.009,C20
PR000005,CP00003,flood,3,1,2.7,BANK01,ES,2050,RCP_4.5,ECB_climate_indicators,acute,False,0.4,0.009,C20
PR000006,CP00004,flood,2,3,35.18,BANK01,IT,2030,RCP_8.5,ECB_climate_indicators,acute,False,2.92,0.113,H49
PR000007,CP00004,wildfire,4,3,35.18,BANK01,IT,2050,RCP_8.5,ECB_climate_indicators,acute,True,3.49,0.113,H49
PR000008,CP00005,flood,3,3,212.85,BANK01,IE,2050,RCP_8.5,ECB_climate_indicators,acute,False,19.34,0.683,A01
PR000009,CP00006,drought,3,2,6.4,BANK01,DE,2030,RCP_4.5,ECB_climate_indicators,chronic,False,0.29,0.021,C10
PR000010,CP00006,windstorm,3,4,6.4,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.24,0.021,C10
PR000011,CP00007,flood,2,3,59.91,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,False,8.65,0.192,C24
PR000012,CP00008,sea_level_rise,2,1,168.31,BANK01,IT,2050,RCP_2.6,ECB_climate_indicators,chronic,False,18.59,0.54,B06
PR000013,CP00008,heatwave,3,4,168.31,BANK01,IT,2050,RCP_2.6,ECB_climate_indicators,acute,True,8.04,0.54,B06
PR000014,CP00008,windstorm,4,4,168.31,BANK01,IT,2030,RCP_4.5,ECB_climate_indicators,acute,True,7.8,0.54,B06
PR000015,CP00009,heatwave,3,3,13.67,BANK01,DE,2050,RCP_2.6,ECB_climate_indicators,acute,False,0.59,0.044,H49
PR000016,CP00009,drought,3,2,13.67,BANK01,DE,2030,RCP_4.5,ECB_climate_indicators,chronic,False,0.95,0.044,H49
PR000017,CP00009,flood,2,3,13.67,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,False,1.19,0.044,H49
PR000018,CP00010,flood,2,3,13.14,BANK01,FI,2050,RCP_4.5,ECB_climate_indicators,acute,False,1.15,0.042,J58
