bank_id,reporting_year,scope1_total_tco2e,scope2_location_tco2e,scope2_market_tco2e,cons_id,scope,consolidated_group_share_pct,other_investees_share_pct,consolidation_basis,note,is_synthetic
BANK01,2022,,,,CON-BANK01-2022-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK01,2022,,,,CON-BANK01-2022-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK01,2023,,,,CON-BANK01-2023-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK01,2023,,,,CON-BANK01-2023-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK01,2024,,,,CON-BANK01-2024-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK01,2024,,,,CON-BANK01-2024-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK02,2022,,,,CON-BANK02-2022-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK02,2022,,,,CON-BANK02-2022-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK02,2023,,,,CON-BANK02-2023-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK02,2023,,,,CON-BANK02-2023-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK02,2024,,,,CON-BANK02-2024-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK02,2024,,,,CON-BANK02-2024-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK03,2022,,,,CON-BANK03-2022-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK03,2022,,,,CON-BANK03-2022-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK03,2023,,,,CON-BANK03-2023-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK03,2023,,,,CON-BANK03-2023-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK03,2024,,,,CON-BANK03-2024-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK03,2024,,,,CON-BANK03-2024-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK04,2022,,,,CON-BANK04-2022-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK04,2022,,,,CON-BANK04-2022-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK04,2023,,,,CON-BANK04-2023-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK04,2023,,,,CON-BANK04-2023-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK04,2024,,,,CON-BANK04-2024-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK04,2024,,,,CON-BANK04-2024-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK05,2022,,,,CON-BANK05-2022-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK05,2022,,,,CON-BANK05-2022-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK05,2023,,,,CON-BANK05-2023-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK05,2023,,,,CON-BANK05-2023-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK05,2024,,,,CON-BANK05-2024-scope1,scope1,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
BANK05,2024,,,,CON-BANK05-2024-scope2,scope2,100.0,0.0,operational_control,Operational emissions relate to the consolidated accounting group; no material associate/JV operational emissions.,True
