bank_id,reporting_year,scope3_category,emissions_tco2e,node_id,node_name,node_type,upstream_downstream,sustainability_theme,climate_exposure_type,materiality_flag,climate_risk_description,financial_exposure_meur,nace_link,ifrs_s2_para_evidence
BANK01,,,,VC-BANK01-0001,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,§13(a)
BANK01,,Cat.6,,VC-BANK01-0002,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,§13(a)
BANK01,,Cat.7,,VC-BANK01-0003,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,§13(a)
BANK01,,Cat.1,,VC-BANK01-0004,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,223.85,J62,§13(a)
BANK01,,Cat.2,,VC-BANK01-0005,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,445.41,L68,§13(a)
BANK01,,Cat.1,,VC-BANK01-0006,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,120.73,M70,§13(a)
BANK01,,Cat.15,,VC-BANK01-0007,Corporate borrowers — Manufacture of coke and refined petroleum,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of coke and refined petroleum carries elevated transition risk from carbon pricing and demand shifts.,3903.65,C19,§13(a)
BANK01,,Cat.15,,VC-BANK01-0008,Corporate borrowers — Manufacture of motor vehicles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of motor vehicles subject to moderate physical and transition risk.,3871.6,C29,§13(a)
BANK01,,Cat.15,,VC-BANK01-0009,Corporate borrowers — Mining of coal and lignite,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Mining of coal and lignite carries elevated transition risk from carbon pricing and demand shifts.,3547.58,B05,§13(a)
BANK01,,Cat.15,,VC-BANK01-0010,Corporate borrowers — Education,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Education subject to moderate physical and transition risk.,2962.25,P85,§13(a)
BANK01,,Cat.15,,VC-BANK01-0011,Corporate borrowers — Mining of metal ores,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Mining of metal ores carries elevated transition risk from carbon pricing and demand shifts.,2749.58,B07,§13(a)
BANK01,,Cat.15,,VC-BANK01-0012,Corporate borrowers — Other mining and quarrying,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Other mining and quarrying carries elevated transition risk from carbon pricing and demand shifts.,2102.44,B08,§13(a)
BANK01,,Cat.15,,VC-BANK01-0013,Corporate borrowers — Manufacture of electrical equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of electrical equipment subject to moderate physical and transition risk.,1827.09,C27,§13(a)
BANK01,,Cat.15,,VC-BANK01-0014,Corporate borrowers — Manufacture of food products,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of food products subject to moderate physical and transition risk.,1765.5,C10,§13(a)
BANK01,,Cat.15,,VC-BANK01-0015,Corporate borrowers — Civil engineering,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Civil engineering subject to moderate physical and transition risk.,1709.19,F42,§13(a)
BANK01,,Cat.15,,VC-BANK01-0016,Corporate borrowers — Air transport,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Air transport carries elevated transition risk from carbon pricing and demand shifts.,1548.11,H51,§13(a)
BANK02,,,,VC-BANK02-0001,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,§13(a)
BANK02,,Cat.6,,VC-BANK02-0002,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,§13(a)
BANK02,,Cat.7,,VC-BANK02-0003,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,§13(a)
BANK02,,Cat.1,,VC-BANK02-0004,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,144.03,J62,§13(a)
BANK02,,Cat.2,,VC-BANK02-0005,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,322.19,L68,§13(a)
BANK02,,Cat.1,,VC-BANK02-0006,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,466.98,M70,§13(a)
BANK02,,Cat.15,,VC-BANK02-0007,Corporate borrowers — Manufacture of other transport equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of other transport equipment subject to moderate physical and transition risk.,3052.19,C30,§13(a)
BANK02,,Cat.15,,VC-BANK02-0008,Corporate borrowers — Warehousing and support transport,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Warehousing and support transport subject to moderate physical and transition risk.,2200.58,H52,§13(a)
BANK02,,Cat.15,,VC-BANK02-0009,Corporate borrowers — Land transport (road & rail),financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Land transport (road & rail) subject to moderate physical and transition risk.,2109.69,H49,§13(a)
BANK02,,Cat.15,,VC-BANK02-0010,Corporate borrowers — Manufacture of textiles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of textiles subject to moderate physical and transition risk.,1516.09,C13,§13(a)
BANK02,,Cat.15,,VC-BANK02-0011,Corporate borrowers — Human health activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Human health activities subject to moderate physical and transition risk.,1468.15,Q86,§13(a)
BANK02,,Cat.15,,VC-BANK02-0012,"Corporate borrowers — Electricity, gas, steam supply",financing_counterparty,downstream,climate_transition,transition_policy,True,"Lending to Electricity, gas, steam supply carries elevated transition risk from carbon pricing and demand shifts.",1310.71,D35,§13(a)
BANK02,,Cat.15,,VC-BANK02-0013,Corporate borrowers — Food and beverage service,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Food and beverage service subject to moderate physical and transition risk.,1268.98,I56,§13(a)
BANK02,,Cat.15,,VC-BANK02-0014,Corporate borrowers — Manufacture of fabricated metal,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of fabricated metal subject to moderate physical and transition risk.,1175.32,C25,§13(a)
BANK02,,Cat.15,,VC-BANK02-0015,Corporate borrowers — Civil engineering,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Civil engineering subject to moderate physical and transition risk.,879.48,F42,§13(a)
BANK02,,Cat.15,,VC-BANK02-0016,Corporate borrowers — Forestry and logging,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Forestry and logging carries elevated transition risk from carbon pricing and demand shifts.,758.36,A02,§13(a)
BANK03,,,,VC-BANK03-0001,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,§13(a)
BANK03,,Cat.6,,VC-BANK03-0002,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,§13(a)
BANK03,,Cat.7,,VC-BANK03-0003,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,§13(a)
BANK03,,Cat.1,,VC-BANK03-0004,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,75.85,J62,§13(a)
BANK03,,Cat.2,,VC-BANK03-0005,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,27.77,L68,§13(a)
BANK03,,Cat.1,,VC-BANK03-0006,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,83.96,M70,§13(a)
BANK03,,Cat.15,,VC-BANK03-0007,Corporate borrowers — Residential care activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Residential care activities subject to moderate physical and transition risk.,3880.3,Q87,§13(a)
BANK03,,Cat.15,,VC-BANK03-0008,Corporate borrowers — Management consultancy,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Management consultancy subject to moderate physical and transition risk.,1944.32,M70,§13(a)
BANK03,,Cat.15,,VC-BANK03-0009,"Corporate borrowers — Water collection, treatment, supply",financing_counterparty,downstream,climate_physical,physical_chronic,True,"Exposure to Water collection, treatment, supply subject to moderate physical and transition risk.",1877.65,E36,§13(a)
BANK03,,Cat.15,,VC-BANK03-0010,Corporate borrowers — Manufacture of food products,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of food products subject to moderate physical and transition risk.,1867.91,C10,§13(a)
BANK03,,Cat.15,,VC-BANK03-0011,Corporate borrowers — Other mining and quarrying,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Other mining and quarrying carries elevated transition risk from carbon pricing and demand shifts.,1832.21,B08,§13(a)
BANK03,,Cat.15,,VC-BANK03-0012,Corporate borrowers — Manufacture of other transport equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of other transport equipment subject to moderate physical and transition risk.,1737.92,C30,§13(a)
BANK03,,Cat.15,,VC-BANK03-0013,Corporate borrowers — Employment activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Employment activities subject to moderate physical and transition risk.,1369.42,N78,§13(a)
BANK03,,Cat.15,,VC-BANK03-0014,Corporate borrowers — Construction of buildings,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Construction of buildings subject to moderate physical and transition risk.,1367.47,F41,§13(a)
BANK03,,Cat.15,,VC-BANK03-0015,Corporate borrowers — Wholesale & retail trade of motor vehicles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Wholesale & retail trade of motor vehicles subject to moderate physical and transition risk.,1156.44,G45,§13(a)
