meeting_id,committee_name,meeting_date,climate_agenda_flag,climate_topics_discussed,decision_summary,bank_id,committee_type,reporting_year,quorum_reached,members_present,decision_made_flag,ifrs_s2_para_evidence
MTG-BANK01-FB-2022-001,Full Board,2022-01-12,True,transition_plan_review|exec_remuneration_esg_kpis,Approved 2024 ESG report for publication,BANK01,full_board,2022,True,7,True,§6(a)(v)
MTG-BANK01-FB-2022-002,Full Board,2022-04-12,True,carbon_credit_approval,,BANK01,full_board,2022,False,8,False,§6(a)(iii)
MTG-BANK01-FB-2022-003,Full Board,2022-07-08,True,exec_remuneration_esg_kpis|tcfd_review|carbon_credit_approval,,BANK01,full_board,2022,True,8,False,§6(a)(iii)
MTG-BANK01-FB-2022-004,Full Board,2022-10-11,True,carbon_credit_approval,Approved carbon credit procurement budget,BANK01,full_board,2022,True,9,True,§6(a)(iii)
MTG-BANK01-ESG-2022-005,ESG & Sustainability Committee,2022-07-01,True,net_zero_progress|carbon_credit_approval|tcfd_review,,BANK01,esg_committee,2022,True,5,False,§6(a)(iii)
MTG-BANK01-ESG-2022-006,ESG & Sustainability Committee,2022-10-03,True,transition_plan_review|physical_risk_update|tcfd_review|scenario_analysis,,BANK01,esg_committee,2022,True,4,False,§6(a)(iii)
MTG-BANK01-ESG-2022-007,ESG & Sustainability Committee,2022-03-28,True,physical_risk_update|transition_plan_review|carbon_credit_approval,Approved 2024 ESG report for publication,BANK01,esg_committee,2022,True,4,True,§6(a)(v)
MTG-BANK01-ESG-2022-008,ESG & Sustainability Committee,2022-08-25,True,transition_plan_review|green_finance_growth|net_zero_progress|scenario_analysis,Endorsed updated transition plan,BANK01,esg_committee,2022,True,3,True,§6(a)(v)
MTG-BANK01-ESG-2022-009,ESG & Sustainability Committee,2022-04-04,True,scenario_analysis|transition_plan_review|tcfd_review|exec_remuneration_esg_kpis,,BANK01,esg_committee,2022,True,5,False,§6(a)(iii)
MTG-BANK01-FB-2023-001,Full Board,2023-01-13,True,green_finance_growth,Approved 2024 ESG report for publication,BANK01,full_board,2023,True,8,True,§6(a)(v)
