exposure_id,bank_id,counterparty_id,product_type,outstanding_amount_meur,committed_amount_meur,pcaf_asset_class,origination_date,maturity_date,currency,interest_rate_pct,stage,eu_taxonomy_aligned,undrawn_amount_meur,green_label_flag,green_taxonomy,origination_property_value_meur,total_project_cost_meur,has_control,instrument_type
EXP000001,BANK01,CP00001,green_loan,5.31,5.64,business_loan,2018-05-13,2033-05-09,EUR,4.75,stage_1,True,0.33,True,EU_Taxonomy,,,,
EXP000002,BANK01,CP00001,term_loan,6.14,7.04,business_loan,2019-07-18,2034-07-14,EUR,4.07,stage_1,False,0.9,False,,,,,
EXP000003,BANK01,CP00002,term_loan,12.53,17.11,business_loan,2023-10-22,2033-10-19,EUR,3.09,stage_1,False,4.58,False,,,,,
EXP000004,BANK01,CP00002,term_loan,56.63,72.35,business_loan,2024-11-11,2031-11-10,EUR,7.49,stage_1,False,15.72,False,,,,,
EXP000005,BANK01,CP00002,term_loan,19.67,27.52,business_loan,2019-12-09,2029-12-06,EUR,6.55,stage_2,False,7.85,False,,,,,
EXP000006,BANK01,CP00002,corporate_bond,75.01,91.28,listed_equity,2018-09-23,2033-09-19,EUR,6.96,stage_2,False,16.27,False,,,,,
EXP000007,BANK01,CP00003,corporate_bond,1.97,2.15,business_loan,2022-01-20,2037-01-16,EUR,7.43,stage_1,False,0.18,False,,,,,
EXP000008,BANK01,CP00003,revolving_credit,0.73,0.9,business_loan,2022-01-18,2037-01-14,EUR,4.84,stage_3,False,0.17,False,,,,,
EXP000009,BANK01,CP00004,term_loan,35.18,42.58,business_loan,2022-06-19,2032-06-16,EUR,6.35,stage_1,False,7.4,False,,,,,
EXP000010,BANK01,CP00005,corporate_bond,212.85,270.75,listed_equity,2023-01-18,2033-01-15,EUR,4.22,stage_2,False,57.9,False,,,,,
EXP000011,BANK01,CP00006,term_loan,2.37,2.85,business_loan,2019-06-13,2029-06-10,EUR,6.84,stage_1,False,0.48,False,,,,,
EXP000012,BANK01,CP00006,term_loan,2.01,2.76,business_loan,2019-10-26,2026-10-24,EUR,3.63,stage_2,False,0.75,False,,,,,
EXP000013,BANK01,CP00006,term_loan,2.02,2.18,business_loan,2018-11-20,2025-11-18,EUR,7.28,stage_1,False,0.16,False,,,,,
EXP000014,BANK01,CP00007,term_loan,28.05,38.61,business_loan,2019-11-22,2034-11-18,EUR,3.27,stage_1,False,10.56,False,,,,,
EXP000015,BANK01,CP00007,project_finance,31.86,42.38,project_finance,2024-04-27,2027-04-27,EUR,2.64,stage_1,False,10.52,False,,,109.95,False,project_loan
EXP000016,BANK01,CP00008,corporate_bond,85.96,107.21,listed_equity,2024-06-01,2034-05-30,EUR,2.65,stage_2,False,21.25,False,,,,,
EXP000017,BANK01,CP00008,corporate_bond,82.35,90.42,listed_equity,2021-05-22,2031-05-20,EUR,6.54,stage_1,False,8.07,False,,,,,
EXP000018,BANK01,CP00009,term_loan,6.21,7.36,business_loan,2022-08-30,2032-08-27,EUR,4.2,stage_1,False,1.15,False,,,,,
EXP000019,BANK01,CP00009,revolving_credit,7.46,7.85,business_loan,2021-11-15,2031-11-13,EUR,4.35,stage_1,False,0.39,False,,,,,
EXP000020,BANK01,CP00010,term_loan,13.14,13.65,business_loan,2020-10-12,2025-10-11,EUR,3.95,stage_1,False,0.51,False,,,,,
EXP000021,BANK01,CP00011,mortgage,2.65,3.64,commercial_re,2019-10-17,2026-10-15,EUR,6.11,stage_1,False,0.99,False,,4.5,,,
EXP000022,BANK01,CP00011,green_loan,2.08,2.81,business_loan,2023-03-28,2033-03-25,EUR,4.99,stage_1,True,0.73,True,LMA_GLP,,,,
EXP000023,BANK01,CP00012,term_loan,3.05,3.11,business_loan,2024-07-17,2031-07-16,EUR,3.91,stage_1,False,0.06,False,,,,,
EXP000024,BANK01,CP00012,corporate_bond,4.94,4.96,business_loan,2021-03-16,2036-03-12,EUR,3.04,stage_1,False,0.02,False,,,,,
EXP000025,BANK01,CP00013,revolving_credit,478.16,487.94,business_loan,2018-07-05,2028-07-02,EUR,5.31,stage_1,False,9.78,False,,,,,
EXP000026,BANK01,CP00014,revolving_credit,4.05,5.39,business_loan,2024-03-02,2031-03-01,EUR,5.62,stage_1,False,1.34,False,,,,,
EXP000027,BANK01,CP00015,revolving_credit,217.3,298.91,business_loan,2021-10-20,2036-10-16,EUR,6.27,stage_1,False,81.61,False,,,,,
EXP000028,BANK01,CP00016,term_loan,555.54,734.19,business_loan,2019-07-16,2026-07-14,EUR,5.1,stage_1,False,178.65,False,,,,,
EXP000029,BANK01,CP00016,term_loan,883.05,940.45,business_loan,2024-11-16,2031-11-15,EUR,7.45,stage_1,False,57.4,False,,,,,
EXP000030,BANK01,CP00017,mortgage,131.76,169.11,commercial_re,2023-12-21,2033-12-18,EUR,4.0,stage_1,False,37.35,False,,203.37,,,
EXP000031,BANK01,CP00018,green_loan,42.69,56.3,mortgage,2024-07-18,2031-07-17,EUR,6.13,stage_1,True,13.61,True,ICMA_GBP,68.06,,,
EXP000032,BANK01,CP00018,revolving_credit,9.82,10.71,business_loan,2024-06-27,2039-06-24,EUR,2.76,stage_1,False,0.89,False,,,,,
EXP000033,BANK01,CP00019,mortgage,4.02,5.34,commercial_re,2022-04-07,2027-04-06,EUR,3.71,stage_1,False,1.32,False,,6.11,,,
EXP000034,BANK01,CP00019,term_loan,3.93,4.59,business_loan,2022-12-12,2029-12-10,EUR,4.56,stage_1,False,0.66,False,,,,,
EXP000035,BANK01,CP00020,revolving_credit,1139.06,1375.38,business_loan,2018-09-13,2023-09-12,EUR,5.3,stage_3,False,236.32,False,,,,,
EXP000036,BANK01,CP00020,revolving_credit,944.22,1288.72,business_loan,2019-12-11,2029-12-08,EUR,4.21,stage_1,False,344.5,False,,,,,
EXP000037,BANK01,CP00021,corporate_bond,2.96,3.53,business_loan,2020-12-18,2035-12-15,EUR,7.29,stage_1,False,0.57,False,,,,,
EXP000038,BANK01,CP00021,green_loan,1.55,1.99,business_loan,2021-05-04,2028-05-02,EUR,5.95,stage_1,True,0.44,True,EU_Taxonomy,,,,
EXP000039,BANK01,CP00021,project_finance,2.15,2.25,project_finance,2021-01-25,2028-01-24,EUR,5.88,stage_1,False,0.1,False,,,6.44,False,project_loan
EXP000040,BANK01,CP00022,green_loan,3.19,3.24,business_loan,2019-08-23,2026-08-21,EUR,7.28,stage_1,True,0.05,True,EU_Taxonomy,,,,
EXP000041,BANK01,CP00022,corporate_bond,3.53,3.82,business_loan,2023-05-17,2028-05-15,EUR,5.19,stage_2,False,0.29,False,,,,,
EXP000042,BANK01,CP00022,term_loan,2.8,3.07,business_loan,2024-11-26,2039-11-23,EUR,2.75,stage_2,False,0.27,False,,,,,
EXP000043,BANK01,CP00022,term_loan,1.27,1.44,business_loan,2019-02-15,2029-02-12,EUR,4.86,stage_1,False,0.17,False,,,,,
EXP000044,BANK01,CP00023,green_loan,245.29,309.35,business_loan,2019-10-09,2029-10-06,EUR,6.9,stage_1,True,64.06,True,LMA_GLP,,,,
