bank_id,reporting_year,total_assets_meur,total_loans_meur,green_loans_meur,total_revenue_meur,net_profit_meur,summary_id,total_undrawn_meur,green_loans_pct,net_interest_income_meur,tier1_capital_meur,cet1_ratio_pct,return_on_equity_pct,climate_capex_meur,climate_opex_meur,carbon_intensity_tco2e_per_meur_lending
BANK01,2022,763922.8,31150.64,3335.75,25466.1,5759.9,FIN-BANK01-2022,6595.48,10.71,17579.1,95149.4,19.2,6.05,322.2,420.32,
BANK01,2023,820167.2,31150.64,3335.75,27779.7,4731.7,FIN-BANK01-2023,6595.48,10.71,19263.8,143979.2,27.0,3.29,373.91,509.21,
BANK01,2024,850000.0,31150.64,3335.75,24136.2,3356.1,FIN-BANK01-2024,6595.48,10.71,15947.7,151208.6,27.4,2.22,476.95,219.32,
BANK02,2022,558309.5,19638.7,1100.78,18653.2,4271.5,FIN-BANK02-2022,4029.4,5.61,12891.7,74564.6,20.5,5.73,91.5,350.71,
BANK02,2023,600675.1,19638.7,1100.78,20203.2,2575.7,FIN-BANK02-2023,4029.4,5.61,15687.4,97378.1,24.9,2.65,160.29,248.35,
BANK02,2024,620000.0,19638.7,1100.78,18473.1,2384.8,FIN-BANK02-2024,4029.4,5.61,12014.9,87823.1,21.8,2.72,112.95,296.85,
BANK03,2022,110505.3,24088.68,170.05,3308.3,689.8,FIN-BANK03-2022,5191.0,0.71,2409.5,18007.1,25.1,3.83,25.32,16.68,
BANK03,2023,116072.8,24088.68,170.05,4054.2,645.4,FIN-BANK03-2023,5191.0,0.71,3006.0,14525.3,19.3,4.44,25.25,75.43,
BANK03,2024,120000.0,24088.68,170.05,3069.1,541.0,FIN-BANK03-2024,5191.0,0.71,2332.1,17899.1,22.9,3.02,15.22,43.07,
BANK04,2022,16080.8,8890.58,4193.33,552.3,70.5,FIN-BANK04-2022,1702.96,47.17,441.0,2204.7,21.1,3.2,332.68,6.09,
BANK04,2023,17257.6,8890.58,4193.33,507.6,69.5,FIN-BANK04-2023,1702.96,47.17,374.9,2951.2,26.3,2.35,332.23,4.91,
BANK04,2024,18000.0,8890.58,4193.33,571.8,126.8,FIN-BANK04-2024,1702.96,47.17,420.6,2406.8,20.6,5.27,446.47,6.85,
BANK05,2022,42355.2,9783.4,121.07,1855.3,235.4,FIN-BANK05-2022,2416.05,1.24,1431.9,7170.1,26.0,3.28,11.39,12.57,
BANK05,2023,42960.4,9783.4,121.07,1932.5,449.6,FIN-BANK05-2023,2416.05,1.24,1501.4,5770.0,20.7,7.79,9.08,26.96,
BANK05,2024,45000.0,9783.4,121.07,1980.4,486.6,FIN-BANK05-2024,2416.05,1.24,1549.8,7453.4,25.5,6.53,8.89,17.65,
