certificate_id,bank_id,reporting_year,volume_mwh,certificate_type,registry,energy_source,country_of_generation,issuing_registry,issue_date,expiry_date,cancellation_date,associated_facility_ids,price_eur_per_mwh
REC-BANK01-2022-0001,BANK01,2022,1949.3,GO,,hydro,DE,EECS,2022-01-10,2023-01-10,2022-09-22,"FAC0022,FAC0015,FAC0017",
REC-BANK01-2022-0002,BANK01,2022,1949.3,GO,,solar,DE,EECS,2022-04-22,2023-04-22,2022-07-17,FAC0010,5.49
REC-BANK01-2022-0003,BANK01,2022,1949.3,GO,,geothermal,DE,EECS,2022-07-23,2023-07-23,2023-01-02,"FAC0003,FAC0026,FAC0016",2.46
REC-BANK01-2022-0004,BANK01,2022,1949.3,GO,,solar,DE,EECS,2022-10-03,2023-10-03,2023-04-13,"FAC0020,FAC0010",6.59
REC-BANK01-2023-0001,BANK01,2023,2466.7,GO,,hydro,DE,EECS,2023-01-18,2024-01-18,,"FAC0006,FAC0001,FAC0028",
REC-BANK01-2023-0002,BANK01,2023,2466.7,GO,,hydro,DE,EECS,2023-04-03,2024-04-02,2023-08-14,FAC0013,6.82
REC-BANK01-2023-0003,BANK01,2023,2466.7,GO,,geothermal,DE,EECS,2023-07-17,2024-07-16,2024-01-11,"FAC0024,FAC0008,FAC0025",2.93
REC-BANK01-2023-0004,BANK01,2023,2466.7,GO,,wind_offshore,DE,EECS,2023-10-26,2024-10-25,2024-08-08,"FAC0024,FAC0023,FAC0003",4.69
REC-BANK01-2024-0001,BANK01,2024,2997.3,GO,,wind_onshore,DE,EECS,2024-01-21,2025-01-20,2024-08-20,FAC0008,1.58
REC-BANK01-2024-0002,BANK01,2024,2997.3,GO,,wind_offshore,DE,EECS,2024-04-15,2025-04-15,2024-12-07,"FAC0022,FAC0024,FAC0007,FAC0008",1.53
REC-BANK01-2024-0003,BANK01,2024,2997.3,GO,,wind_onshore,DE,EECS,2024-07-08,2025-07-08,,FAC0022,
REC-BANK01-2024-0004,BANK01,2024,2997.3,GO,,solar,DE,EECS,2024-10-07,2025-10-07,2025-05-02,"FAC0008,FAC0017,FAC0007",
REC-BANK02-2022-0001,BANK02,2022,3109.0,GO,,geothermal,FR,EECS,2022-01-09,2023-01-09,,"FAC0032,FAC0041,FAC0040,FAC0036",1.06
REC-BANK02-2022-0002,BANK02,2022,3109.0,GO,,geothermal,FR,EECS,2022-04-28,2023-04-28,2022-06-28,FAC0049,5.5
REC-BANK02-2022-0003,BANK02,2022,3109.0,GO,,wind_onshore,FR,EECS,2022-07-18,2023-07-18,2022-08-29,"FAC0029,FAC0030,FAC0032",6.95
REC-BANK02-2022-0004,BANK02,2022,3109.0,GO,,geothermal,FR,EECS,2022-10-27,2023-10-27,,FAC0038,3.35
REC-BANK02-2023-0001,BANK02,2023,4098.3,GO,,hydro,FR,EECS,2023-01-16,2024-01-16,2023-08-07,FAC0031,2.59
REC-BANK02-2023-0002,BANK02,2023,4098.3,GO,,wind_offshore,FR,EECS,2023-04-06,2024-04-05,2023-07-19,"FAC0046,FAC0040",1.78
REC-BANK02-2023-0003,BANK02,2023,4098.3,GO,,geothermal,FR,EECS,2023-07-17,2024-07-16,2024-02-08,"FAC0042,FAC0040,FAC0037",
REC-BANK02-2023-0004,BANK02,2023,4098.3,GO,,hydro,FR,EECS,2023-10-25,2024-10-24,2023-11-30,"FAC0029,FAC0033",4.83
REC-BANK02-2024-0001,BANK02,2024,4823.3,GO,,hydro,FR,EECS,2024-01-19,2025-01-18,2024-10-23,FAC0039,
REC-BANK02-2024-0002,BANK02,2024,4823.3,GO,,wind_onshore,FR,EECS,2024-04-07,2025-04-07,2024-07-09,"FAC0050,FAC0031,FAC0030",7.68
REC-BANK02-2024-0003,BANK02,2024,4823.3,GO,,wind_onshore,FR,EECS,2024-07-14,2025-07-14,2024-10-23,"FAC0038,FAC0043,FAC0047",
REC-BANK02-2024-0004,BANK02,2024,4823.3,GO,,wind_offshore,FR,EECS,2024-10-25,2025-10-25,,"FAC0029,FAC0050",2.48
REC-BANK03-2022-0001,BANK03,2022,1403.4,GO,,hydro,IT,EECS,2022-01-09,2023-01-09,,"FAC0052,FAC0057,FAC0062,FAC0060",
REC-BANK03-2022-0002,BANK03,2022,1403.4,GO,,wind_onshore,IT,EECS,2022-04-11,2023-04-11,2023-01-04,"FAC0056,FAC0057,FAC0054",
REC-BANK03-2022-0003,BANK03,2022,1403.4,GO,,hydro,IT,EECS,2022-07-07,2023-07-07,2023-01-05,"FAC0052,FAC0064,FAC0057,FAC0059",
REC-BANK03-2022-0004,BANK03,2022,1403.4,GO,,wind_onshore,IT,EECS,2022-10-03,2023-10-03,,FAC0057,
REC-BANK03-2023-0001,BANK03,2023,1607.6,GO,,geothermal,IT,EECS,2023-01-05,2024-01-05,,FAC0057,3.88
REC-BANK03-2023-0002,BANK03,2023,1607.6,GO,,solar,IT,EECS,2023-04-26,2024-04-25,,"FAC0052,FAC0058,FAC0062",
REC-BANK03-2023-0003,BANK03,2023,1607.6,GO,,wind_offshore,IT,EECS,2023-07-25,2024-07-24,2024-01-03,"FAC0057,FAC0053",5.91
REC-BANK03-2023-0004,BANK03,2023,1607.6,GO,,hydro,IT,EECS,2023-10-21,2024-10-20,2024-03-31,"FAC0061,FAC0064,FAC0063",5.43
REC-BANK03-2024-0001,BANK03,2024,1961.5,GO,,wind_onshore,IT,EECS,2024-01-10,2025-01-09,2024-06-11,"FAC0053,FAC0060",
REC-BANK03-2024-0002,BANK03,2024,1961.5,GO,,solar,IT,EECS,2024-04-07,2025-04-07,,FAC0064,7.23
REC-BANK03-2024-0003,BANK03,2024,1961.5,GO,,wind_onshore,IT,EECS,2024-07-13,2025-07-13,2025-01-26,"FAC0052,FAC0053,FAC0054",
