bank_id,reporting_year,scope3_category,emissions_tco2e,scope3_id,category_number,category_name,included_flag,calculation_method,data_source,pcaf_data_quality_score,exclusion_reason,is_synthetic
BANK01,2022,,14942.0,S3-BANK01-2022-C01,1,Purchased goods and services,True,spend_based_eeio,spend_based_estimate,4.0,,True
BANK01,2022,,3740.5,S3-BANK01-2022-C02,2,Capital goods,True,spend_based_eeio,spend_based_estimate,4.0,,True
BANK01,2022,,2971.9,S3-BANK01-2022-C03,3,Fuel- and energy-related activities,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2022,,,S3-BANK01-2022-C04,4,Upstream transportation and distribution,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,511.1,S3-BANK01-2022-C05,5,Waste generated in operations,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2022,,,S3-BANK01-2022-C06,6,Business travel (reported in operational Scope 3 travel),True,reported_separately,cross_reference,,,True
BANK01,2022,,25098.5,S3-BANK01-2022-C07,7,Employee commuting,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2022,,,S3-BANK01-2022-C08,8,Upstream leased assets,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,,S3-BANK01-2022-C09,9,Downstream transportation and distribution,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,,S3-BANK01-2022-C10,10,Processing of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,,S3-BANK01-2022-C11,11,Use of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,,S3-BANK01-2022-C12,12,End-of-life treatment of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,,S3-BANK01-2022-C13,13,Downstream leased assets,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,,S3-BANK01-2022-C14,14,Franchises,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,,S3-BANK01-2022-C15,15,Financed emissions (reported in the financed-emissions section),True,reported_separately,cross_reference,,,True
