bank_id,reporting_year,electricity_kwh,scope2_location_tco2e,scope2_market_tco2e,invoice_id,facility_id,invoice_year,invoice_month,electricity_cost_eur,renewable_share_pct,natural_gas_kwh,natural_gas_cost_eur,water_m3,water_cost_eur,rec_volume_kwh,rec_registry,grid_emission_factor_tco2e_per_mwh,scope1_gas_tco2e
BANK01,,360139,107.5735,53.7868,UI0000001,FAC0001,2022,2022-01,112705.06,50,155810,20432.19,1098,5025.03,180069.5,I-REC,0.2987,31.4736
BANK01,,354996,106.0373,63.6224,UI0000002,FAC0001,2022,2022-02,64592.6,40,180250,22602.68,658,2844.89,141998.4,GO,0.2987,36.4105
BANK01,,254865,76.1282,60.9025,UI0000003,FAC0001,2022,2022-03,46460.49,20,128207,13213.04,684,2422.58,50973.0,I-REC,0.2987,25.8978
BANK01,,256227,76.535,45.921,UI0000004,FAC0001,2022,2022-04,54290.27,40,125800,13090.43,665,2957.56,102490.8,I-REC,0.2987,25.4116
BANK01,,269050,80.3652,64.2922,UI0000005,FAC0001,2022,2022-05,61739.37,20,137128,10616.56,666,3267.33,53810.0,I-REC,0.2987,27.6999
BANK01,,347049,103.6635,51.8318,UI0000006,FAC0001,2022,2022-06,101514.29,50,157155,15581.0,653,1975.94,173524.5,GO,0.2987,31.7453
BANK01,,320516,95.7381,47.8691,UI0000007,FAC0001,2022,2022-07,85137.94,50,143334,16044.54,1010,4099.87,160258.0,GO,0.2987,28.9535
BANK01,,322722,96.3971,67.4779,UI0000008,FAC0001,2022,2022-08,74787.42,30,149941,20681.38,1053,3291.94,96816.6,GO,0.2987,30.2881
BANK01,,269826,80.597,48.3582,UI0000009,FAC0001,2022,2022-09,74568.96,40,123778,16550.38,702,3373.19,107930.4,GO,0.2987,25.0032
BANK01,,280014,83.6402,50.1841,UI0000010,FAC0001,2022,2022-10,72159.44,40,135983,15013.26,898,3288.59,112005.6,GO,0.2987,27.4686
BANK01,,256043,76.48,53.536,UI0000011,FAC0001,2022,2022-11,71470.48,30,116481,13122.41,785,3631.92,76812.9,I-REC,0.2987,23.5292
BANK01,,345370,103.162,61.8972,UI0000012,FAC0001,2022,2022-12,86872.46,40,169948,13033.45,1201,5404.96,138148.0,GO,0.2987,34.3295
BANK01,,365153,105.8944,52.9472,UI0000013,FAC0001,2023,2023-01,69148.86,50,150694,14658.06,908,3074.82,182576.5,GO,0.29,30.4402
BANK01,,375583,108.9191,76.2433,UI0000014,FAC0001,2023,2023-02,92515.32,30,171437,14680.72,815,2449.98,112674.9,I-REC,0.29,34.6303
BANK01,,259570,75.2753,37.6376,UI0000015,FAC0001,2023,2023-03,81487.71,50,126326,13128.91,960,3483.2,129785.0,I-REC,0.29,25.5179
BANK01,,287742,83.4452,50.0671,UI0000016,FAC0001,2023,2023-04,90374.47,40,115950,12966.82,1142,3700.91,115096.8,I-REC,0.29,23.4219
BANK01,,279735,81.1231,40.5616,UI0000017,FAC0001,2023,2023-05,60073.57,50,129160,12440.77,692,3045.69,139867.5,GO,0.29,26.0903
BANK01,,349691,101.4104,50.7052,UI0000018,FAC0001,2023,2023-06,64182.19,50,144676,16726.64,699,3162.8,174845.5,I-REC,0.29,29.2246
BANK01,,299126,86.7465,52.0479,UI0000019,FAC0001,2023,2023-07,72548.8,40,149704,14482.57,1215,4026.46,119650.4,I-REC,0.29,30.2402
BANK01,,322999,93.6697,37.4679,UI0000020,FAC0001,2023,2023-08,70618.22,60,145155,17337.43,1235,4824.73,193799.4,I-REC,0.29,29.3213
BANK01,,249240,72.2796,50.5957,UI0000021,FAC0001,2023,2023-09,46692.44,30,114186,10603.05,1249,4938.8,74772.0,I-REC,0.29,23.0656
BANK01,,248109,71.9516,50.3661,UI0000022,FAC0001,2023,2023-10,66504.29,30,131536,15158.6,824,3123.85,74432.7,I-REC,0.29,26.5703
BANK01,,257990,74.8171,37.4085,UI0000023,FAC0001,2023,2023-11,58141.14,50,131641,16185.84,574,1767.21,128995.0,GO,0.29,26.5915
BANK01,,357179,103.5819,41.4328,UI0000024,FAC0001,2023,2023-12,67486.44,60,171794,12842.05,1071,3537.66,214307.4,GO,0.29,34.7024
BANK01,,350808,98.7875,39.515,UI0000025,FAC0001,2024,2024-01,110899.08,60,175365,16426.63,721,2758.03,210484.8,GO,0.2816,35.4237
BANK01,,366738,103.2734,30.982,UI0000026,FAC0001,2024,2024-02,98965.94,70,160934,15726.36,948,3137.85,256716.6,GO,0.2816,32.5087
BANK01,,278824,78.5168,47.1101,UI0000027,FAC0001,2024,2024-03,79963.09,40,128483,16806.42,877,3029.85,111529.6,GO,0.2816,25.9536
BANK01,,238682,67.2129,33.6064,UI0000028,FAC0001,2024,2024-04,58958.52,50,125320,9142.38,567,2561.17,119341.0,GO,0.2816,25.3146
BANK01,,285483,80.392,32.1568,UI0000029,FAC0001,2024,2024-05,64294.49,60,131869,16209.0,650,2821.34,171289.8,GO,0.2816,26.6375
BANK01,,289337,81.4773,24.4432,UI0000030,FAC0001,2024,2024-06,74360.87,70,155592,11328.51,909,3799.02,202535.9,GO,0.2816,31.4296
BANK01,,301475,84.8954,50.9372,UI0000031,FAC0001,2024,2024-07,78812.09,40,150191,14383.53,554,2657.63,120590.0,I-REC,0.2816,30.3386
BANK01,,298616,84.0903,33.6361,UI0000032,FAC0001,2024,2024-08,64856.57,60,139259,13396.86,942,3557.78,179169.6,I-REC,0.2816,28.1303
BANK01,,279452,78.6937,39.3468,UI0000033,FAC0001,2024,2024-09,63096.94,50,127028,11206.91,737,2386.65,139726.0,I-REC,0.2816,25.6597
BANK01,,250671,70.589,21.1767,UI0000034,FAC0001,2024,2024-10,52300.65,70,109491,8528.09,991,3740.93,175469.7,I-REC,0.2816,22.1172
BANK01,,241312,67.9535,27.1814,UI0000035,FAC0001,2024,2024-11,71575.59,60,131353,15393.84,699,3336.54,144787.2,GO,0.2816,26.5333
BANK01,,371418,104.5913,52.2957,UI0000036,FAC0001,2024,2024-12,96330.42,50,156694,20668.98,589,2064.25,185709.0,GO,0.2816,31.6522
BANK01,,22311,8.7325,6.1128,UI0000037,FAC0002,2022,2022-01,6703.34,30,9884,834.65,746,3650.62,6693.3,GO,0.3914,1.9966
BANK01,,21766,8.5192,5.9634,UI0000038,FAC0002,2022,2022-02,6723.84,30,9920,1027.83,1339,5615.07,6529.8,I-REC,0.3914,2.0038
BANK01,,17681,6.9203,5.5363,UI0000039,FAC0002,2022,2022-03,4708.31,20,7963,1050.39,1303,6131.09,3536.2,GO,0.3914,1.6085
BANK01,,17095,6.691,5.3528,UI0000040,FAC0002,2022,2022-04,3803.34,20,8256,798.35,1310,5418.45,3419.0,I-REC,0.3914,1.6677
BANK01,,15559,6.0898,4.2629,UI0000041,FAC0002,2022,2022-05,4915.58,30,7018,855.7,745,2790.5,4667.7,I-REC,0.3914,1.4176
BANK01,,19509,7.6358,6.1087,UI0000042,FAC0002,2022,2022-06,5965.72,20,9708,884.82,809,2852.09,3901.8,I-REC,0.3914,1.961
BANK01,,22162,8.6742,6.0719,UI0000043,FAC0002,2022,2022-07,4362.49,30,10148,1162.65,1197,5871.11,6648.6,I-REC,0.3914,2.0499
BANK01,,21602,8.455,5.9185,UI0000044,FAC0002,2022,2022-08,3931.74,30,10135,770.53,1299,4507.02,6480.6,I-REC,0.3914,2.0473
BANK01,,17931,7.0182,4.2109,UI0000045,FAC0002,2022,2022-09,3284.21,40,7829,856.7,1009,3154.71,7172.4,GO,0.3914,1.5815
BANK01,,17337,6.7857,3.3929,UI0000046,FAC0002,2022,2022-10,3193.23,50,7268,761.83,886,4129.56,8668.5,I-REC,0.3914,1.4681
BANK01,,16404,6.4205,5.1364,UI0000047,FAC0002,2022,2022-11,4460.66,20,8435,1156.94,1024,4866.82,3280.8,I-REC,0.3914,1.7039
BANK01,,23196,9.0789,5.4473,UI0000048,FAC0002,2022,2022-12,4254.56,40,10724,954.84,735,3486.83,9278.4,I-REC,0.3914,2.1662
BANK01,,20660,7.8508,5.4956,UI0000049,FAC0002,2023,2023-01,6245.37,30,9964,1280.15,581,2248.87,6198.0,I-REC,0.38,2.0127
BANK01,,23789,9.0398,6.3279,UI0000050,FAC0002,2023,2023-02,5236.25,30,10046,765.4,758,2830.82,7136.7,GO,0.38,2.0293
BANK01,,17412,6.6166,3.3083,UI0000051,FAC0002,2023,2023-03,4904.4,50,7619,821.74,867,3157.11,8706.0,I-REC,0.38,1.539
