meeting_id,bank_id,meeting_date,committee_name,committee_type,reporting_year,climate_agenda_flag,climate_topics_discussed,decision_made_flag,decision_summary,ifrs_s2_para_evidence,quorum_reached,members_present
MTG-BANK01-FB-2022-001,BANK01,2022-01-12,Full Board,full_board,2022,True,transition_plan_review|exec_remuneration_esg_kpis,True,Approved 2024 ESG report for publication,§6(a)(v),True,7
MTG-BANK01-FB-2022-002,BANK01,2022-04-12,Full Board,full_board,2022,True,carbon_credit_approval,False,,§6(a)(iii),False,8
MTG-BANK01-FB-2022-003,BANK01,2022-07-08,Full Board,full_board,2022,True,exec_remuneration_esg_kpis|tcfd_review|carbon_credit_approval,False,,§6(a)(iii),True,8
MTG-BANK01-FB-2022-004,BANK01,2022-10-11,Full Board,full_board,2022,True,carbon_credit_approval,True,Approved carbon credit procurement budget,§6(a)(iii),True,9
MTG-BANK01-ESG-2022-005,BANK01,2022-07-01,ESG & Sustainability Committee,esg_committee,2022,True,net_zero_progress|carbon_credit_approval|tcfd_review,False,,§6(a)(iii),True,5
MTG-BANK01-ESG-2022-006,BANK01,2022-10-03,ESG & Sustainability Committee,esg_committee,2022,True,transition_plan_review|physical_risk_update|tcfd_review|scenario_analysis,False,,§6(a)(iii),True,4
MTG-BANK01-ESG-2022-007,BANK01,2022-03-28,ESG & Sustainability Committee,esg_committee,2022,True,physical_risk_update|transition_plan_review|carbon_credit_approval,True,Approved 2024 ESG report for publication,§6(a)(v),True,4
MTG-BANK01-ESG-2022-008,BANK01,2022-08-25,ESG & Sustainability Committee,esg_committee,2022,True,transition_plan_review|green_finance_growth|net_zero_progress|scenario_analysis,True,Endorsed updated transition plan,§6(a)(v),True,3
MTG-BANK01-ESG-2022-009,BANK01,2022-04-04,ESG & Sustainability Committee,esg_committee,2022,True,scenario_analysis|transition_plan_review|tcfd_review|exec_remuneration_esg_kpis,False,,§6(a)(iii),True,5
MTG-BANK01-FB-2023-001,BANK01,2023-01-13,Full Board,full_board,2023,True,green_finance_growth,True,Approved 2024 ESG report for publication,§6(a)(v),True,8
MTG-BANK01-FB-2023-002,BANK01,2023-04-25,Full Board,full_board,2023,True,green_finance_growth|exec_remuneration_esg_kpis|carbon_credit_approval,True,Endorsed net-zero interim target revision,§6(a)(iii),True,9
MTG-BANK01-FB-2023-003,BANK01,2023-07-11,Full Board,full_board,2023,True,transition_plan_review,False,,§6(a)(iii),True,8
MTG-BANK01-FB-2023-004,BANK01,2023-10-30,Full Board,full_board,2023,True,exec_remuneration_esg_kpis|green_finance_growth|transition_plan_review,True,Endorsed net-zero interim target revision,§6(a)(iii),True,9
MTG-BANK01-FB-2023-005,BANK01,2023-11-16,Full Board,full_board,2023,True,scenario_analysis|transition_plan_review,True,Approved carbon credit procurement budget,§6(a)(iii),True,10
MTG-BANK01-FB-2023-006,BANK01,2023-03-20,Full Board,full_board,2023,False,,False,,§6(a)(iii),True,9
MTG-BANK01-FB-2023-007,BANK01,2023-10-19,Full Board,full_board,2023,True,net_zero_progress,True,Approved carbon credit procurement budget,§6(a)(iii),True,10
MTG-BANK01-ESG-2023-008,BANK01,2023-12-22,ESG & Sustainability Committee,esg_committee,2023,True,carbon_credit_approval|physical_risk_update,True,Approved 2024 ESG report for publication,§6(a)(v),True,4
MTG-BANK01-ESG-2023-009,BANK01,2023-07-10,ESG & Sustainability Committee,esg_committee,2023,True,net_zero_progress|scenario_analysis|tcfd_review,False,,§6(a)(iii),False,5
MTG-BANK01-ESG-2023-010,BANK01,2023-04-17,ESG & Sustainability Committee,esg_committee,2023,True,exec_remuneration_esg_kpis|carbon_credit_approval|physical_risk_update|tcfd_review,True,Approved climate scenario analysis methodology,§6(a)(v),True,4
MTG-BANK01-ESG-2023-011,BANK01,2023-09-04,ESG & Sustainability Committee,esg_committee,2023,True,physical_risk_update|transition_plan_review|tcfd_review,False,,§6(a)(iii),True,5
