physical_risk_id,counterparty_id,hazard_type,bank_id,country,acute_risk_score,chronic_risk_score,exposure_amount_meur,assessment_horizon,scenario_basis,high_risk_flag,financial_impact_meur,portfolio_pct,data_source,hazard_category,nace_code
PR000001,CP00001,drought,BANK01,DE,2,5,11.45,2030,RCP_4.5,True,0.84,0.037,ECB_climate_indicators,chronic,F42
PR000002,CP00002,flood,BANK01,AT,2,5,163.84,2050,RCP_2.6,True,18.72,0.526,ECB_climate_indicators,acute,B07
PR000003,CP00003,wildfire,BANK01,ES,4,3,2.7,2050,RCP_4.5,True,0.11,0.009,ECB_climate_indicators,acute,C20
PR000004,CP00003,drought,BANK01,ES,3,5,2.7,2050,RCP_2.6,True,0.14,0.009,ECB_climate_indicators,chronic,C20
PR000005,CP00003,flood,BANK01,ES,3,1,2.7,2050,RCP_4.5,False,0.4,0.009,ECB_climate_indicators,acute,C20
PR000006,CP00004,flood,BANK01,IT,2,3,35.18,2030,RCP_8.5,False,2.92,0.113,ECB_climate_indicators,acute,H49
PR000007,CP00004,wildfire,BANK01,IT,4,3,35.18,2050,RCP_8.5,True,3.49,0.113,ECB_climate_indicators,acute,H49
PR000008,CP00005,flood,BANK01,IE,3,3,212.85,2050,RCP_8.5,False,19.34,0.683,ECB_climate_indicators,acute,A01
PR000009,CP00006,drought,BANK01,DE,3,2,6.4,2030,RCP_4.5,False,0.29,0.021,ECB_climate_indicators,chronic,C10
PR000010,CP00006,windstorm,BANK01,DE,3,4,6.4,2030,RCP_8.5,True,0.24,0.021,ECB_climate_indicators,acute,C10
PR000011,CP00007,flood,BANK01,DE,2,3,59.91,2030,RCP_8.5,False,8.65,0.192,ECB_climate_indicators,acute,C24
PR000012,CP00008,sea_level_rise,BANK01,IT,2,1,168.31,2050,RCP_2.6,False,18.59,0.54,ECB_climate_indicators,chronic,B06
PR000013,CP00008,heatwave,BANK01,IT,3,4,168.31,2050,RCP_2.6,True,8.04,0.54,ECB_climate_indicators,acute,B06
PR000014,CP00008,windstorm,BANK01,IT,4,4,168.31,2030,RCP_4.5,True,7.8,0.54,ECB_climate_indicators,acute,B06
PR000015,CP00009,heatwave,BANK01,DE,3,3,13.67,2050,RCP_2.6,False,0.59,0.044,ECB_climate_indicators,acute,H49
PR000016,CP00009,drought,BANK01,DE,3,2,13.67,2030,RCP_4.5,False,0.95,0.044,ECB_climate_indicators,chronic,H49
PR000017,CP00009,flood,BANK01,DE,2,3,13.67,2030,RCP_8.5,False,1.19,0.044,ECB_climate_indicators,acute,H49
PR000018,CP00010,flood,BANK01,FI,2,3,13.14,2050,RCP_4.5,False,1.15,0.042,ECB_climate_indicators,acute,J58
PR000019,CP00011,wildfire,BANK01,IT,2,3,4.73,2030,RCP_4.5,False,0.32,0.015,ECB_climate_indicators,acute,C11
PR000020,CP00011,drought,BANK01,IT,2,4,4.73,2030,RCP_2.6,True,0.2,0.015,ECB_climate_indicators,chronic,C11
PR000021,CP00012,heatwave,BANK01,NL,2,1,7.99,2050,RCP_2.6,False,0.26,0.026,ECB_climate_indicators,acute,F42
PR000022,CP00012,windstorm,BANK01,NL,1,2,7.99,2030,RCP_2.6,False,0.28,0.026,ECB_climate_indicators,acute,F42
PR000023,CP00012,sea_level_rise,BANK01,NL,2,3,7.99,2030,RCP_4.5,False,0.94,0.026,ECB_climate_indicators,chronic,F42
PR000024,CP00013,flood,BANK01,FR,2,2,478.16,2050,RCP_8.5,False,66.51,1.535,ECB_climate_indicators,acute,C27
PR000025,CP00013,windstorm,BANK01,FR,3,5,478.16,2030,RCP_8.5,True,20.61,1.535,ECB_climate_indicators,acute,C27
PR000026,CP00013,heatwave,BANK01,FR,3,3,478.16,2050,RCP_8.5,False,20.33,1.535,ECB_climate_indicators,acute,C27
PR000027,CP00014,flood,BANK01,IE,2,2,4.05,2030,RCP_8.5,False,0.54,0.013,ECB_climate_indicators,acute,G47
PR000028,CP00015,flood,BANK01,DE,1,2,217.3,2030,RCP_8.5,False,30.44,0.698,ECB_climate_indicators,acute,C13
PR000029,CP00016,wildfire,BANK01,IT,4,4,1438.59,2050,RCP_2.6,True,103.3,4.618,ECB_climate_indicators,acute,F42
PR000030,CP00016,drought,BANK01,IT,5,5,1438.59,2050,RCP_8.5,True,94.07,4.618,ECB_climate_indicators,chronic,F42
PR000031,CP00017,flood,BANK01,NL,3,3,131.76,2030,RCP_4.5,False,12.92,0.423,ECB_climate_indicators,acute,H52
PR000032,CP00017,windstorm,BANK01,NL,3,4,131.76,2030,RCP_8.5,True,5.17,0.423,ECB_climate_indicators,acute,H52
PR000033,CP00017,heatwave,BANK01,NL,4,4,131.76,2030,RCP_2.6,True,4.55,0.423,ECB_climate_indicators,acute,H52
PR000034,CP00018,sea_level_rise,BANK01,PL,1,1,52.51,2030,RCP_2.6,False,5.63,0.169,ECB_climate_indicators,chronic,C20
PR000035,CP00019,heatwave,BANK01,FR,3,4,7.95,2030,RCP_8.5,True,0.36,0.026,ECB_climate_indicators,acute,J62
PR000036,CP00019,windstorm,BANK01,FR,3,2,7.95,2030,RCP_4.5,False,0.26,0.026,ECB_climate_indicators,acute,J62
PR000037,CP00019,drought,BANK01,FR,3,3,7.95,2050,RCP_4.5,False,0.33,0.026,ECB_climate_indicators,chronic,J62
PR000038,CP00020,flood,BANK01,IT,3,3,2083.28,2030,RCP_2.6,False,288.71,6.688,ECB_climate_indicators,acute,B05
PR000039,CP00020,wildfire,BANK01,IT,2,5,2083.28,2050,RCP_8.5,True,178.46,6.688,ECB_climate_indicators,acute,B05
PR000040,CP00021,sea_level_rise,BANK01,BE,2,5,6.66,2030,RCP_8.5,True,0.63,0.021,ECB_climate_indicators,chronic,M71
PR000041,CP00022,drought,BANK01,BE,3,3,10.79,2030,RCP_8.5,False,0.43,0.035,ECB_climate_indicators,chronic,C24
PR000042,CP00022,sea_level_rise,BANK01,BE,3,1,10.79,2030,RCP_8.5,False,1.04,0.035,ECB_climate_indicators,chronic,C24
PR000043,CP00022,wildfire,BANK01,BE,3,4,10.79,2030,RCP_2.6,True,0.83,0.035,ECB_climate_indicators,acute,C24
PR000044,CP00023,heatwave,BANK01,AT,1,4,245.29,2050,RCP_4.5,True,11.53,0.787,ECB_climate_indicators,acute,A01
PR000045,CP00023,windstorm,BANK01,AT,5,3,245.29,2030,RCP_2.6,True,13.45,0.787,ECB_climate_indicators,acute,A01
PR000046,CP00024,sea_level_rise,BANK01,FI,4,2,19.2,2030,RCP_2.6,True,2.22,0.062,ECB_climate_indicators,chronic,L68
PR000047,CP00025,sea_level_rise,BANK01,IT,4,2,4.6,2030,RCP_4.5,True,0.44,0.015,ECB_climate_indicators,chronic,C19
PR000048,CP00025,heatwave,BANK01,IT,2,2,4.6,2050,RCP_8.5,False,0.17,0.015,ECB_climate_indicators,acute,C19
PR000049,CP00025,wildfire,BANK01,IT,4,1,4.6,2050,RCP_8.5,True,0.4,0.015,ECB_climate_indicators,acute,C19
PR000050,CP00026,sea_level_rise,BANK01,NL,3,3,50.53,2030,RCP_2.6,False,3.6,0.162,ECB_climate_indicators,chronic,L68
PR000051,CP00026,wildfire,BANK01,NL,3,3,50.53,2030,RCP_2.6,False,4.47,0.162,ECB_climate_indicators,acute,L68
PR000052,CP00027,sea_level_rise,BANK01,PT,1,3,10.85,2030,RCP_8.5,False,1.24,0.035,ECB_climate_indicators,chronic,J63
PR000053,CP00028,flood,BANK01,DE,2,2,157.64,2050,RCP_8.5,False,19.73,0.506,ECB_climate_indicators,acute,E36
PR000054,CP00029,heatwave,BANK01,DE,5,1,32.88,2030,RCP_4.5,True,0.79,0.106,ECB_climate_indicators,acute,I55
PR000055,CP00029,windstorm,BANK01,DE,1,1,32.88,2050,RCP_2.6,False,1.87,0.106,ECB_climate_indicators,acute,I55
PR000056,CP00029,wildfire,BANK01,DE,1,5,32.88,2030,RCP_4.5,True,1.65,0.106,ECB_climate_indicators,acute,I55
PR000057,CP00030,wildfire,BANK01,NL,5,3,3638.84,2050,RCP_4.5,True,350.68,11.681,ECB_climate_indicators,acute,C29
PR000058,CP00030,windstorm,BANK01,NL,4,5,3638.84,2050,RCP_2.6,True,213.1,11.681,ECB_climate_indicators,acute,C29
PR000059,CP00030,flood,BANK01,NL,3,5,3638.84,2050,RCP_8.5,True,391.15,11.681,ECB_climate_indicators,acute,C29
PR000060,CP00031,sea_level_rise,BANK01,IT,5,2,2727.53,2030,RCP_4.5,True,283.06,8.756,ECB_climate_indicators,chronic,C19
PR000061,CP00032,sea_level_rise,BANK01,FR,3,4,6.54,2030,RCP_2.6,True,0.33,0.021,ECB_climate_indicators,chronic,C25
PR000062,CP00033,windstorm,BANK01,FR,5,2,2.78,2030,RCP_8.5,True,0.17,0.009,ECB_climate_indicators,acute,C23
PR000063,CP00034,sea_level_rise,BANK01,DE,3,2,16.87,2030,RCP_2.6,False,1.31,0.054,ECB_climate_indicators,chronic,B05
PR000064,CP00035,drought,BANK01,FR,2,2,2.24,2050,RCP_8.5,False,0.14,0.007,ECB_climate_indicators,chronic,F43
PR000065,CP00036,wildfire,BANK01,FR,4,2,73.74,2030,RCP_8.5,True,4.22,0.237,ECB_climate_indicators,acute,E36
PR000066,CP00037,flood,BANK01,ES,3,3,42.62,2030,RCP_4.5,False,5.54,0.137,ECB_climate_indicators,acute,B06
PR000067,CP00037,windstorm,BANK01,ES,2,3,42.62,2050,RCP_2.6,False,1.67,0.137,ECB_climate_indicators,acute,B06
PR000068,CP00037,wildfire,BANK01,ES,3,3,42.62,2050,RCP_8.5,False,1.95,0.137,ECB_climate_indicators,acute,B06
PR000069,CP00038,drought,BANK01,BE,3,1,157.34,2050,RCP_2.6,False,9.84,0.505,ECB_climate_indicators,chronic,B05
PR000070,CP00039,wildfire,BANK01,FR,3,4,11.23,2050,RCP_8.5,True,0.66,0.036,ECB_climate_indicators,acute,J62
PR000071,CP00040,drought,BANK01,ES,2,2,1171.52,2050,RCP_4.5,False,55.32,3.761,ECB_climate_indicators,chronic,C19
PR000072,CP00040,wildfire,BANK01,ES,1,2,1171.52,2030,RCP_4.5,False,104.17,3.761,ECB_climate_indicators,acute,C19
PR000073,CP00040,heatwave,BANK01,ES,3,1,1171.52,2030,RCP_8.5,False,25.12,3.761,ECB_climate_indicators,acute,C19
PR000074,CP00041,flood,BANK01,DE,2,4,730.53,2030,RCP_2.6,True,82.51,2.345,ECB_climate_indicators,acute,C30
PR000075,CP00042,heatwave,BANK01,FR,4,2,83.78,2030,RCP_2.6,True,3.53,0.269,ECB_climate_indicators,acute,J58
