bank_id,reporting_year,emissions_tco2e,scope3_id,scope3_category,category_number,category_name,included_flag,calculation_method,data_source,pcaf_data_quality_score,exclusion_reason,is_synthetic
BANK01,2022,14942.0,S3-BANK01-2022-C01,Purchased goods and services,1,Purchased goods and services,True,spend_based_eeio,spend_based_estimate,4.0,,True
BANK01,2022,3740.5,S3-BANK01-2022-C02,Capital goods,2,Capital goods,True,spend_based_eeio,spend_based_estimate,4.0,,True
BANK01,2022,2971.9,S3-BANK01-2022-C03,Fuel- and energy-related activities,3,Fuel- and energy-related activities,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2022,,S3-BANK01-2022-C04,Upstream transportation and distribution,4,Upstream transportation and distribution,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,511.1,S3-BANK01-2022-C05,Waste generated in operations,5,Waste generated in operations,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2022,,S3-BANK01-2022-C06,Business travel (reported in operational Scope 3 travel),6,Business travel (reported in operational Scope 3 travel),True,reported_separately,cross_reference,,,True
BANK01,2022,25098.5,S3-BANK01-2022-C07,Employee commuting,7,Employee commuting,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2022,,S3-BANK01-2022-C08,Upstream leased assets,8,Upstream leased assets,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,S3-BANK01-2022-C09,Downstream transportation and distribution,9,Downstream transportation and distribution,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,S3-BANK01-2022-C10,Processing of sold products,10,Processing of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,S3-BANK01-2022-C11,Use of sold products,11,Use of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,S3-BANK01-2022-C12,End-of-life treatment of sold products,12,End-of-life treatment of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,S3-BANK01-2022-C13,Downstream leased assets,13,Downstream leased assets,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,S3-BANK01-2022-C14,Franchises,14,Franchises,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2022,,S3-BANK01-2022-C15,Financed emissions (reported in the financed-emissions section),15,Financed emissions (reported in the financed-emissions section),True,reported_separately,cross_reference,,,True
BANK01,2023,17122.9,S3-BANK01-2023-C01,Purchased goods and services,1,Purchased goods and services,True,spend_based_eeio,spend_based_estimate,4.0,,True
BANK01,2023,4052.8,S3-BANK01-2023-C02,Capital goods,2,Capital goods,True,spend_based_eeio,spend_based_estimate,4.0,,True
BANK01,2023,3251.9,S3-BANK01-2023-C03,Fuel- and energy-related activities,3,Fuel- and energy-related activities,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2023,,S3-BANK01-2023-C04,Upstream transportation and distribution,4,Upstream transportation and distribution,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2023,551.5,S3-BANK01-2023-C05,Waste generated in operations,5,Waste generated in operations,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2023,,S3-BANK01-2023-C06,Business travel (reported in operational Scope 3 travel),6,Business travel (reported in operational Scope 3 travel),True,reported_separately,cross_reference,,,True
BANK01,2023,25305.4,S3-BANK01-2023-C07,Employee commuting,7,Employee commuting,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2023,,S3-BANK01-2023-C08,Upstream leased assets,8,Upstream leased assets,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2023,,S3-BANK01-2023-C09,Downstream transportation and distribution,9,Downstream transportation and distribution,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2023,,S3-BANK01-2023-C10,Processing of sold products,10,Processing of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2023,,S3-BANK01-2023-C11,Use of sold products,11,Use of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2023,,S3-BANK01-2023-C12,End-of-life treatment of sold products,12,End-of-life treatment of sold products,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2023,,S3-BANK01-2023-C13,Downstream leased assets,13,Downstream leased assets,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2023,,S3-BANK01-2023-C14,Franchises,14,Franchises,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2023,,S3-BANK01-2023-C15,Financed emissions (reported in the financed-emissions section),15,Financed emissions (reported in the financed-emissions section),True,reported_separately,cross_reference,,,True
BANK01,2024,14271.7,S3-BANK01-2024-C01,Purchased goods and services,1,Purchased goods and services,True,spend_based_eeio,spend_based_estimate,4.0,,True
BANK01,2024,3511.5,S3-BANK01-2024-C02,Capital goods,2,Capital goods,True,spend_based_eeio,spend_based_estimate,4.0,,True
BANK01,2024,2804.0,S3-BANK01-2024-C03,Fuel- and energy-related activities,3,Fuel- and energy-related activities,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2024,,S3-BANK01-2024-C04,Upstream transportation and distribution,4,Upstream transportation and distribution,False,,,,Not relevant to a banking business model / assessed not material,True
BANK01,2024,503.6,S3-BANK01-2024-C05,Waste generated in operations,5,Waste generated in operations,True,average_data_method,spend_based_estimate,4.0,,True
BANK01,2024,,S3-BANK01-2024-C06,Business travel (reported in operational Scope 3 travel),6,Business travel (reported in operational Scope 3 travel),True,reported_separately,cross_reference,,,True
