travel_id,bank_id,travel_date,emissions_kg_co2e,reporting_year,travel_mode,distance_km,emissions_tco2e,employee_id_hash,emission_factor_kg_co2e_per_km,purpose
TR000001,BANK01,2024-10-03,41.4,,rail,1010,,EMP16554,0.041,training
TR000002,BANK01,2024-02-11,192.5,,air_short,755,,EMP32743,0.255,training
TR000003,BANK01,2024-10-15,663.4,,air_long,4423,,EMP11188,0.15,audit
TR000004,BANK01,2024-04-02,19.0,,rail,464,,EMP00380,0.041,audit
TR000005,BANK01,2024-01-25,122.9,,car,719,,EMP11862,0.171,audit
TR000006,BANK01,2024-10-07,13.4,,rail,326,,EMP25722,0.041,client_meeting
TR000007,BANK01,2024-01-24,158.9,,air_short,623,,EMP21900,0.255,training
TR000008,BANK01,2024-05-22,23.2,,rail,566,,EMP08905,0.041,audit
TR000009,BANK01,2024-03-27,230.5,,air_short,904,,EMP45089,0.255,training
TR000010,BANK01,2024-03-18,164.2,,air_short,644,,EMP26047,0.255,internal_meeting
TR000011,BANK01,2024-04-28,28.9,,rail,705,,EMP44511,0.041,conference
TR000012,BANK01,2024-10-30,21.8,,rail,531,,EMP38276,0.041,training
TR000013,BANK01,2024-04-07,370.0,,air_short,1451,,EMP01256,0.255,internal_meeting
TR000014,BANK01,2024-10-11,25.3,,car,148,,EMP18841,0.171,conference
TR000015,BANK01,2024-01-11,8.0,,rail,195,,EMP20928,0.041,training
TR000016,BANK01,2024-02-24,95.2,,car,557,,EMP43306,0.171,training
TR000017,BANK01,2024-09-06,14.6,,rail,356,,EMP30581,0.041,internal_meeting
TR000018,BANK01,2024-08-28,103.5,,air_short,406,,EMP16853,0.255,audit
TR000019,BANK01,2024-09-05,10.1,,rail,246,,EMP08184,0.041,training
TR000020,BANK01,2024-07-01,132.9,,car,777,,EMP16791,0.171,conference
TR000021,BANK01,2024-06-17,1070.1,,air_long,7134,,EMP25961,0.15,conference
TR000022,BANK01,2024-07-26,27.4,,rail,669,,EMP24797,0.041,conference
TR000023,BANK01,2024-01-30,77.5,,car,453,,EMP24802,0.171,training
TR000024,BANK01,2024-10-12,34.4,,car,201,,EMP00438,0.171,client_meeting
TR000025,BANK01,2024-09-13,761.1,,air_long,5074,,EMP13809,0.15,internal_meeting
TR000026,BANK01,2024-11-16,145.6,,air_short,571,,EMP38380,0.255,training
TR000027,BANK01,2024-07-24,189.2,,air_short,742,,EMP07666,0.255,client_meeting
TR000028,BANK01,2024-12-19,247.9,,air_short,972,,EMP08677,0.255,conference
TR000029,BANK01,2024-02-20,911.7,,air_long,6078,,EMP43676,0.15,conference
TR000030,BANK01,2024-03-17,321.8,,air_short,1262,,EMP20651,0.255,training
TR000031,BANK01,2024-09-06,67.7,,car,396,,EMP15998,0.171,conference
TR000032,BANK01,2024-04-22,48.7,,car,285,,EMP40192,0.171,client_meeting
TR000033,BANK01,2024-07-22,263.2,,air_short,1032,,EMP45757,0.255,client_meeting
TR000034,BANK01,2024-10-13,649.8,,air_long,4332,,EMP39328,0.15,conference
TR000035,BANK01,2024-05-10,24.8,,car,145,,EMP05511,0.171,audit
TR000036,BANK01,2024-05-19,29.6,,rail,723,,EMP21565,0.041,conference
TR000037,BANK01,2024-10-28,311.1,,air_short,1220,,EMP18053,0.255,audit
TR000038,BANK01,2024-06-07,294.3,,air_short,1154,,EMP39529,0.255,training
TR000039,BANK01,2024-08-18,109.1,,car,638,,EMP31410,0.171,internal_meeting
TR000040,BANK01,2024-12-17,6.7,,rail,164,,EMP13145,0.041,training
TR000041,BANK01,2024-10-24,321.8,,air_short,1262,,EMP47796,0.255,client_meeting
TR000042,BANK01,2024-12-27,59.9,,car,350,,EMP07177,0.171,conference
TR000043,BANK01,2024-08-30,46.0,,car,269,,EMP02078,0.171,internal_meeting
TR000044,BANK01,2024-08-20,46.6,,rail,1136,,EMP43369,0.041,client_meeting
TR000045,BANK01,2024-09-16,12.5,,rail,306,,EMP20990,0.041,conference
TR000046,BANK01,2024-01-17,290.7,,air_short,1140,,EMP07781,0.255,training
TR000047,BANK01,2024-03-15,765.1,,air_long,5101,,EMP07234,0.15,conference
TR000048,BANK01,2024-10-10,325.6,,air_short,1277,,EMP04370,0.255,internal_meeting
TR000049,BANK01,2024-11-24,106.9,,car,625,,EMP40881,0.171,audit
TR000050,BANK01,2024-01-14,542.2,,air_long,3615,,EMP26499,0.15,audit
TR000051,BANK01,2024-08-26,258.1,,air_short,1012,,EMP12669,0.255,internal_meeting
TR000052,BANK01,2024-03-04,221.6,,air_short,869,,EMP13318,0.255,audit
TR000053,BANK01,2024-03-04,371.8,,air_short,1458,,EMP32313,0.255,conference
TR000054,BANK01,2024-01-02,12.1,,rail,295,,EMP20017,0.041,client_meeting
TR000055,BANK01,2024-01-24,218.3,,air_short,856,,EMP26890,0.255,internal_meeting
TR000056,BANK01,2024-08-15,140.5,,air_short,551,,EMP02645,0.255,audit
TR000057,BANK01,2024-10-14,730.0,,air_long,4867,,EMP11565,0.15,audit
TR000058,BANK01,2024-04-15,29.7,,rail,725,,EMP29718,0.041,training
TR000059,BANK01,2024-11-24,330.0,,air_short,1294,,EMP07531,0.255,audit
TR000060,BANK01,2024-06-13,1223.2,,air_long,8155,,EMP41358,0.15,training
TR000061,BANK01,2024-12-07,850.0,,air_long,5667,,EMP46023,0.15,internal_meeting
TR000062,BANK01,2024-06-14,19.0,,car,111,,EMP45932,0.171,internal_meeting
TR000063,BANK01,2024-09-10,83.8,,car,490,,EMP45430,0.171,conference
TR000064,BANK01,2024-02-24,245.6,,air_short,963,,EMP41628,0.255,conference
TR000065,BANK01,2024-03-21,193.5,,air_short,759,,EMP04016,0.255,training
TR000066,BANK01,2024-02-20,282.3,,air_long,1882,,EMP13172,0.15,conference
TR000067,BANK01,2024-01-01,33.7,,rail,821,,EMP31477,0.041,conference
TR000068,BANK01,2024-12-18,157.6,,air_short,618,,EMP46310,0.255,conference
TR000069,BANK01,2024-05-31,300.9,,air_short,1180,,EMP26899,0.255,internal_meeting
TR000070,BANK01,2024-04-17,128.9,,car,754,,EMP19275,0.171,audit
TR000071,BANK01,2024-03-10,38.3,,rail,933,,EMP26060,0.041,internal_meeting
TR000072,BANK01,2024-05-06,69.4,,car,406,,EMP20448,0.171,client_meeting
TR000073,BANK01,2024-06-07,930.9,,air_long,6206,,EMP33442,0.15,conference
TR000074,BANK01,2024-05-24,328.4,,air_short,1288,,EMP03551,0.255,conference
TR000075,BANK01,2024-08-11,7.8,,rail,191,,EMP13381,0.041,audit
TR000076,BANK01,2024-04-04,132.6,,air_short,520,,EMP43459,0.255,conference
TR000077,BANK01,2024-08-29,131.3,,car,768,,EMP40884,0.171,internal_meeting
TR000078,BANK01,2024-07-15,146.9,,air_short,576,,EMP28309,0.255,conference
TR000079,BANK01,2024-11-21,576.9,,air_long,3846,,EMP15356,0.15,internal_meeting
TR000080,BANK01,2024-04-23,135.9,,air_short,533,,EMP18189,0.255,training
TR000081,BANK01,2024-10-08,163.5,,air_short,641,,EMP30564,0.255,client_meeting
TR000082,BANK01,2024-08-19,519.6,,air_long,3464,,EMP21819,0.15,internal_meeting
TR000083,BANK01,2024-10-13,193.0,,air_short,757,,EMP42829,0.255,conference
TR000084,BANK01,2024-02-26,249.9,,air_short,980,,EMP26789,0.255,training
TR000085,BANK01,2024-09-11,306.5,,air_short,1202,,EMP23947,0.255,client_meeting
TR000086,BANK01,2024-07-23,990.3,,air_long,6602,,EMP36840,0.15,audit
TR000087,BANK01,2024-06-24,580.4,,air_long,3869,,EMP12515,0.15,audit
TR000088,BANK01,2024-06-11,40.5,,rail,988,,EMP11360,0.041,audit
TR000089,BANK01,2024-08-08,1299.1,,air_long,8661,,EMP20555,0.15,client_meeting
TR000090,BANK01,2024-02-14,174.2,,air_short,683,,EMP24000,0.255,conference
TR000091,BANK01,2024-04-12,34.6,,rail,843,,EMP38341,0.041,conference
TR000092,BANK01,2024-03-29,46.7,,car,273,,EMP04386,0.171,conference
TR000093,BANK01,2024-11-26,25.2,,rail,614,,EMP34732,0.041,client_meeting
TR000094,BANK01,2024-05-17,17.5,,rail,426,,EMP12935,0.041,conference
TR000095,BANK01,2024-03-17,35.7,,rail,871,,EMP20962,0.041,conference
TR000096,BANK01,2024-05-13,15.9,,rail,389,,EMP44247,0.041,conference
TR000097,BANK01,2024-09-27,342.7,,air_short,1344,,EMP17680,0.255,client_meeting
TR000098,BANK01,2024-10-11,307.5,,air_short,1206,,EMP02855,0.255,audit
TR000099,BANK01,2024-12-07,61.4,,car,359,,EMP36295,0.171,client_meeting
TR000100,BANK01,2024-05-07,13.3,,rail,325,,EMP39419,0.041,client_meeting
TR000101,BANK01,2024-10-04,5.6,,rail,137,,EMP33751,0.041,audit
TR000102,BANK01,2024-03-02,46.7,,rail,1140,,EMP35816,0.041,training
TR000103,BANK01,2024-10-10,189.5,,air_short,743,,EMP02185,0.255,client_meeting
TR000104,BANK01,2024-06-23,35.7,,rail,871,,EMP14507,0.041,audit
TR000105,BANK01,2024-02-24,7.3,,rail,177,,EMP12084,0.041,internal_meeting
TR000106,BANK01,2024-08-02,108.1,,car,632,,EMP19888,0.171,client_meeting
TR000107,BANK01,2024-08-04,83.8,,car,490,,EMP29362,0.171,training
TR000108,BANK01,2024-04-07,136.4,,air_short,535,,EMP34321,0.255,conference
TR000109,BANK01,2024-10-13,26.5,,rail,647,,EMP33375,0.041,training
TR000110,BANK01,2024-01-03,10.4,,rail,253,,EMP25480,0.041,audit
TR000111,BANK01,2024-08-09,204.3,,air_short,801,,EMP17021,0.255,training
TR000112,BANK01,2024-06-30,833.7,,air_long,5558,,EMP25608,0.15,conference
TR000113,BANK01,2024-05-26,45.5,,car,266,,EMP01488,0.171,audit
TR000114,BANK01,2024-12-11,23.8,,rail,581,,EMP37344,0.041,conference
TR000115,BANK01,2024-09-27,128.8,,air_short,505,,EMP02587,0.255,conference
TR000116,BANK01,2024-03-06,370.8,,air_short,1454,,EMP08532,0.255,internal_meeting
TR000117,BANK01,2024-02-18,153.5,,air_short,602,,EMP16691,0.255,internal_meeting
TR000118,BANK01,2024-05-08,1047.6,,air_long,6984,,EMP32114,0.15,training
TR000119,BANK01,2024-09-15,844.2,,air_long,5628,,EMP21163,0.15,internal_meeting
TR000120,BANK01,2024-07-07,7.1,,rail,174,,EMP14369,0.041,training
TR000121,BANK01,2024-08-30,15.9,,rail,388,,EMP41882,0.041,audit
TR000122,BANK01,2024-03-29,895.5,,air_long,5970,,EMP38635,0.15,client_meeting
TR000123,BANK01,2024-04-01,683.1,,air_long,4554,,EMP12855,0.15,training
TR000124,BANK01,2024-12-18,16.0,,rail,390,,EMP28547,0.041,internal_meeting
TR000125,BANK01,2024-08-28,292.7,,air_short,1148,,EMP11405,0.255,training
TR000126,BANK01,2024-11-06,209.1,,air_short,820,,EMP40176,0.255,training
TR000127,BANK01,2024-09-20,36.6,,car,214,,EMP08796,0.171,client_meeting
TR000128,BANK01,2024-08-03,313.6,,air_short,1230,,EMP01753,0.255,internal_meeting
TR000129,BANK01,2024-12-04,5.6,,rail,136,,EMP25335,0.041,audit
TR000130,BANK01,2024-05-22,313.9,,air_short,1231,,EMP13996,0.255,client_meeting
TR000131,BANK01,2024-01-16,117.3,,car,686,,EMP04799,0.171,internal_meeting
TR000132,BANK01,2024-12-05,200.9,,air_short,788,,EMP28259,0.255,conference
TR000133,BANK01,2024-11-23,82.8,,car,484,,EMP27659,0.171,conference
TR000134,BANK01,2024-03-10,121.6,,car,711,,EMP41599,0.171,client_meeting
TR000135,BANK01,2024-10-09,9.2,,rail,225,,EMP00101,0.041,internal_meeting
TR000136,BANK01,2024-07-20,1136.2,,air_long,7575,,EMP11366,0.15,client_meeting
TR000137,BANK01,2024-11-13,43.5,,rail,1060,,EMP31175,0.041,training
TR000138,BANK01,2024-06-15,27.8,,rail,678,,EMP08733,0.041,internal_meeting
TR000139,BANK01,2024-09-09,26.2,,rail,640,,EMP23599,0.041,conference
TR000140,BANK01,2024-08-16,785.2,,air_long,5235,,EMP23732,0.15,training
TR000141,BANK01,2024-04-05,132.1,,air_short,518,,EMP22563,0.255,client_meeting
TR000142,BANK01,2024-04-26,223.6,,air_short,877,,EMP02284,0.255,conference
TR000143,BANK01,2024-09-07,196.6,,air_short,771,,EMP35012,0.255,audit
TR000144,BANK01,2024-08-24,125.3,,car,733,,EMP18702,0.171,training
TR000145,BANK01,2024-10-31,124.7,,car,729,,EMP32963,0.171,training
TR000146,BANK01,2024-05-05,293.7,,air_long,1958,,EMP45978,0.15,audit
TR000147,BANK01,2024-01-28,254.2,,air_short,997,,EMP41876,0.255,internal_meeting
TR000148,BANK01,2024-12-30,22.7,,car,133,,EMP27505,0.171,conference
TR000149,BANK01,2024-09-25,41.5,,rail,1011,,EMP29640,0.041,client_meeting
TR000150,BANK01,2024-07-31,859.9,,air_long,5733,,EMP47028,0.15,client_meeting
TR000151,BANK01,2024-10-26,120.0,,car,702,,EMP21498,0.171,internal_meeting
TR000152,BANK01,2024-04-27,32.2,,rail,786,,EMP11333,0.041,training
TR000153,BANK01,2024-09-10,89.1,,car,521,,EMP14010,0.171,conference
TR000154,BANK01,2024-07-13,20.6,,rail,502,,EMP38235,0.041,training
TR000155,BANK01,2024-10-18,370.3,,air_short,1452,,EMP30459,0.255,client_meeting
TR000156,BANK01,2024-01-23,17.0,,rail,414,,EMP01333,0.041,audit
TR000157,BANK01,2024-04-01,6.6,,rail,161,,EMP16746,0.041,audit
TR000158,BANK01,2024-06-12,8.9,,rail,218,,EMP11941,0.041,client_meeting
TR000159,BANK01,2024-10-25,245.3,,air_short,962,,EMP16605,0.255,client_meeting
TR000160,BANK01,2024-12-09,12.3,,rail,301,,EMP45698,0.041,client_meeting
TR000161,BANK01,2024-09-20,26.4,,rail,643,,EMP23137,0.041,conference
TR000162,BANK01,2024-11-24,93.2,,car,545,,EMP44132,0.171,training
TR000163,BANK01,2024-03-06,131.7,,car,770,,EMP43204,0.171,audit
TR000164,BANK01,2024-08-21,346.0,,air_short,1357,,EMP07535,0.255,client_meeting
TR000165,BANK01,2024-11-30,31.9,,rail,779,,EMP11800,0.041,internal_meeting
TR000166,BANK01,2024-08-09,65.8,,car,385,,EMP15206,0.171,conference
TR000167,BANK01,2024-04-18,1060.3,,air_long,7069,,EMP29117,0.15,training
TR000168,BANK01,2024-06-14,101.6,,car,594,,EMP31596,0.171,client_meeting
TR000169,BANK01,2024-10-29,112.7,,air_short,442,,EMP42406,0.255,conference
TR000170,BANK01,2024-11-18,43.6,,rail,1063,,EMP04917,0.041,internal_meeting
TR000171,BANK01,2024-10-22,23.4,,car,137,,EMP43278,0.171,audit
TR000172,BANK01,2024-11-05,214.5,,air_short,841,,EMP27021,0.255,conference
TR000173,BANK01,2024-03-02,24.3,,car,142,,EMP30112,0.171,internal_meeting
TR000174,BANK01,2024-12-02,196.6,,air_short,771,,EMP32798,0.255,internal_meeting
TR000175,BANK01,2024-07-17,17.0,,rail,414,,EMP12926,0.041,audit
TR000176,BANK01,2024-08-16,1310.7,,air_long,8738,,EMP34867,0.15,conference
TR000177,BANK01,2024-02-17,1121.1,,air_long,7474,,EMP36716,0.15,client_meeting
TR000178,BANK01,2024-06-01,22.9,,rail,558,,EMP39020,0.041,conference
TR000179,BANK01,2024-04-03,127.2,,car,744,,EMP04718,0.171,conference
TR000180,BANK01,2024-02-24,183.3,,air_short,719,,EMP15502,0.255,audit
TR000181,BANK01,2024-05-10,635.1,,air_long,4234,,EMP19538,0.15,internal_meeting
TR000182,BANK01,2024-11-05,30.8,,rail,752,,EMP41259,0.041,training
TR000183,BANK01,2024-07-20,492.4,,air_long,3283,,EMP42726,0.15,internal_meeting
TR000184,BANK01,2024-02-09,1198.8,,air_long,7992,,EMP44488,0.15,conference
TR000185,BANK01,2024-01-29,309.1,,air_short,1212,,EMP42466,0.255,training
TR000186,BANK01,2024-07-05,44.3,,car,259,,EMP42863,0.171,internal_meeting
TR000187,BANK01,2024-07-05,114.2,,car,668,,EMP27238,0.171,internal_meeting
TR000188,BANK01,2024-07-19,1165.5,,air_long,7770,,EMP35660,0.15,conference
TR000189,BANK01,2024-10-30,636.1,,air_long,4241,,EMP33871,0.15,audit
TR000190,BANK01,2024-10-27,11.6,,rail,282,,EMP45443,0.041,audit
TR000191,BANK01,2024-04-03,625.0,,air_long,4167,,EMP35986,0.15,conference
TR000192,BANK01,2024-02-23,142.8,,air_short,560,,EMP45575,0.255,internal_meeting
TR000193,BANK01,2024-08-03,91.0,,car,532,,EMP17159,0.171,client_meeting
TR000194,BANK01,2024-07-03,206.8,,air_short,811,,EMP04964,0.255,conference
