counterparty_id,reporting_year,total_ghg_tco2e,emissions_id,bank_id,scope_1_tco2e,scope_2_location_tco2e,scope_2_market_tco2e,scope_3_tco2e,pcaf_data_quality_score,data_source,verification_status,gwp_basis
CP00001,2022,21798.3,EM000001,,5407.3,1966.3,1413.5,14424.7,4,estimated_economic,modeled,IPCC_AR6
CP00001,2023,22976.8,EM000002,,5263.0,1913.8,1883.6,15800.0,4,estimated_economic,modeled,IPCC_AR6
CP00001,2024,20650.6,EM000003,,5122.6,1862.8,1495.5,13665.2,4,estimated_economic,modeled,IPCC_AR6
CP00002,2022,881595.5,EM000004,,222868.7,81043.2,77199.5,577683.6,2,reported,self_reported,IPCC_AR6
CP00002,2023,807820.0,EM000005,,216135.7,78594.8,58127.6,513089.5,2,reported,self_reported,IPCC_AR6
CP00002,2024,889633.6,EM000006,,209606.0,76220.4,59299.6,603807.2,1,reported,third_party_verified,IPCC_AR6
CP00003,2022,12820.4,EM000007,,3041.3,1105.9,891.3,8673.2,3,estimated_physical,self_reported,IPCC_AR6
CP00003,2023,11290.6,EM000008,,3008.2,1093.9,1069.0,7188.5,3,estimated_physical,self_reported,IPCC_AR6
CP00003,2024,12289.2,EM000009,,2975.5,1082.0,1073.3,8231.7,4,estimated_economic,modeled,IPCC_AR6
CP00004,2022,136407.0,EM000010,,33571.5,12207.8,9416.8,90627.7,2,reported,self_reported,IPCC_AR6
CP00004,2023,103469.1,EM000011,,32926.5,11973.3,8835.6,58569.3,3,estimated_physical,self_reported,IPCC_AR6
CP00004,2024,111908.6,EM000012,,32293.8,11743.2,10201.9,67871.6,2,reported,self_reported,IPCC_AR6
CP00005,2022,273078.8,EM000013,,76104.5,27674.3,23854.1,169300.0,2,reported,self_reported,IPCC_AR6
CP00005,2023,245057.0,EM000014,,73783.9,26830.5,26190.1,144442.6,2,reported,self_reported,IPCC_AR6
CP00005,2024,263075.8,EM000015,,71534.1,26012.4,19343.2,165529.3,2,reported,self_reported,IPCC_AR6
CP00006,2022,3874.3,EM000016,,1254.6,456.2,452.9,2163.5,5,estimated_economic,modeled,IPCC_AR6
CP00006,2023,4342.6,EM000017,,1216.5,442.4,372.6,2683.7,5,estimated_economic,modeled,IPCC_AR6
CP00006,2024,4138.4,EM000018,,1179.5,428.9,426.4,2530.0,5,estimated_economic,modeled,IPCC_AR6
CP00007,2022,423448.8,EM000019,,108181.3,39338.7,32754.6,275928.8,4,estimated_economic,modeled,IPCC_AR6
CP00007,2023,427419.0,EM000020,,104331.4,37938.7,36802.5,285148.9,4,estimated_economic,modeled,IPCC_AR6
CP00007,2024,330748.1,EM000021,,100618.5,36588.5,28993.6,193541.1,3,estimated_physical,self_reported,IPCC_AR6
CP00008,2022,1508154.8,EM000022,,403399.4,146690.7,105105.4,958064.7,1,reported,third_party_verified,IPCC_AR6
CP00008,2023,1600210.1,EM000023,,397439.7,144523.5,110798.0,1058246.9,2,reported,self_reported,IPCC_AR6
CP00008,2024,1746314.5,EM000024,,391568.1,142388.4,100635.1,1212358.0,2,reported,self_reported,IPCC_AR6
CP00009,2022,23439.5,EM000025,,5757.9,2093.8,1787.1,15587.8,3,estimated_physical,self_reported,IPCC_AR6
CP00009,2023,18877.0,EM000026,,5604.5,2038.0,1796.5,11234.5,4,estimated_economic,modeled,IPCC_AR6
CP00009,2024,24391.2,EM000027,,5455.2,1983.7,1603.5,16952.3,5,estimated_economic,modeled,IPCC_AR6
CP00010,2022,5741.7,EM000028,,996.3,362.3,284.5,4383.1,3,estimated_physical,self_reported,IPCC_AR6
CP00010,2023,5607.9,EM000029,,982.0,357.1,343.6,4268.8,4,estimated_economic,modeled,IPCC_AR6
CP00010,2024,4796.5,EM000030,,967.9,352.0,293.3,3476.6,4,estimated_economic,modeled,IPCC_AR6
CP00011,2022,11777.2,EM000031,,3358.3,1221.2,1210.3,7197.7,5,estimated_economic,modeled,IPCC_AR6
CP00011,2023,12248.0,EM000032,,3304.9,1201.8,891.6,7741.3,5,estimated_economic,modeled,IPCC_AR6
CP00011,2024,12835.9,EM000033,,3252.4,1182.7,901.6,8400.8,3,estimated_physical,self_reported,IPCC_AR6
CP00012,2022,13543.4,EM000034,,2986.5,1086.0,1073.0,9470.9,3,estimated_physical,self_reported,IPCC_AR6
CP00012,2023,12354.4,EM000035,,2944.8,1070.8,881.1,8338.8,3,estimated_physical,self_reported,IPCC_AR6
CP00012,2024,12858.7,EM000036,,2903.6,1055.9,915.2,8899.2,4,estimated_economic,modeled,IPCC_AR6
CP00013,2022,1381221.8,EM000037,,420658.6,152966.8,124596.2,807596.4,1,reported,third_party_verified,IPCC_AR6
CP00013,2023,1611088.5,EM000038,,413363.2,150313.9,142478.7,1047411.4,1,reported,third_party_verified,IPCC_AR6
CP00013,2024,1751077.6,EM000039,,406194.4,147707.1,128177.9,1197176.1,2,reported,self_reported,IPCC_AR6
CP00014,2022,7396.8,EM000040,,1569.9,570.9,563.4,5256.0,4,estimated_economic,modeled,IPCC_AR6
CP00014,2023,10699.3,EM000041,,1508.3,548.5,491.5,8642.5,4,estimated_economic,modeled,IPCC_AR6
CP00014,2024,10522.6,EM000042,,1449.2,527.0,446.7,8546.4,4,estimated_economic,modeled,IPCC_AR6
CP00015,2022,1523160.5,EM000043,,467572.1,170026.2,169737.1,885562.2,3,estimated_physical,self_reported,IPCC_AR6
CP00015,2023,1438360.1,EM000044,,452302.3,164473.6,143802.5,821584.2,4,estimated_economic,modeled,IPCC_AR6
CP00015,2024,1712828.0,EM000045,,437531.3,159102.3,141346.3,1116194.4,4,estimated_economic,modeled,IPCC_AR6
CP00016,2022,1660097.3,EM000046,,509555.5,185292.9,161682.7,965248.9,2,reported,self_reported,IPCC_AR6
CP00016,2023,2162416.8,EM000047,,499786.0,181740.4,130408.4,1480890.4,1,reported,third_party_verified,IPCC_AR6
CP00016,2024,1741508.4,EM000048,,490203.8,178255.9,132025.1,1073048.7,3,estimated_physical,self_reported,IPCC_AR6
CP00017,2022,230534.6,EM000049,,62312.6,22659.1,18281.3,145562.9,4,estimated_economic,modeled,IPCC_AR6
CP00017,2023,211679.0,EM000050,,60329.8,21938.1,21519.0,129411.1,3,estimated_physical,self_reported,IPCC_AR6
CP00017,2024,224213.1,EM000051,,58410.1,21240.0,16035.7,144563.0,4,estimated_economic,modeled,IPCC_AR6
CP00018,2022,213419.7,EM000052,,54968.8,19988.7,18950.2,138462.2,4,estimated_economic,modeled,IPCC_AR6
CP00018,2023,220937.5,EM000053,,54011.2,19640.4,17787.0,147285.9,3,estimated_physical,self_reported,IPCC_AR6
CP00018,2024,217352.6,EM000054,,53070.2,19298.3,16867.0,144984.1,2,reported,self_reported,IPCC_AR6
CP00019,2022,2194.7,EM000055,,354.6,129.0,109.1,1711.1,4,estimated_economic,modeled,IPCC_AR6
CP00019,2023,1934.1,EM000056,,340.6,123.8,90.5,1469.7,5,estimated_economic,modeled,IPCC_AR6
CP00019,2024,1683.5,EM000057,,327.1,118.9,90.0,1237.5,4,estimated_economic,modeled,IPCC_AR6
CP00020,2022,48442483.7,EM000058,,11249297.5,4090653.6,3516443.2,33102532.6,3,estimated_physical,self_reported,IPCC_AR6
CP00020,2023,42852730.7,EM000059,,11006344.7,4002307.2,2938454.0,27844078.8,4,estimated_economic,modeled,IPCC_AR6
CP00020,2024,40490043.7,EM000060,,10768639.1,3915868.7,3703054.6,25805535.9,2,reported,self_reported,IPCC_AR6
CP00021,2022,1665.5,EM000061,,297.6,108.2,102.3,1259.7,4,estimated_economic,modeled,IPCC_AR6
CP00021,2023,2103.4,EM000062,,290.0,105.5,98.0,1707.9,4,estimated_economic,modeled,IPCC_AR6
CP00021,2024,1606.0,EM000063,,282.6,102.7,72.8,1220.7,5,estimated_economic,modeled,IPCC_AR6
CP00022,2022,51097.3,EM000064,,11763.6,4277.7,3285.2,35056.0,3,estimated_physical,self_reported,IPCC_AR6
CP00022,2023,37144.1,EM000065,,11371.5,4135.1,2992.1,21637.5,3,estimated_physical,self_reported,IPCC_AR6
CP00022,2024,45060.6,EM000066,,10992.5,3997.3,2891.3,30070.8,5,estimated_economic,modeled,IPCC_AR6
CP00023,2022,601446.2,EM000067,,191273.3,69553.9,65235.8,340619.0,2,reported,self_reported,IPCC_AR6
CP00023,2023,721427.7,EM000068,,187968.1,68352.0,50285.0,465107.6,2,reported,self_reported,IPCC_AR6
CP00023,2024,638103.5,EM000069,,184720.0,67170.9,60472.3,386212.6,2,reported,self_reported,IPCC_AR6
CP00024,2022,9694.4,EM000070,,1320.9,480.3,466.1,7893.2,4,estimated_economic,modeled,IPCC_AR6
