facility_id,bank_id,facility_type,country,city,floor_area_sqm,epc_rating,headcount,year_built,ownership
FAC0001,BANK01,headquarters,IE,Munich,19290,F,366,2005,owned
FAC0002,BANK01,branch,DE,Turin,1181,F,386,2001,owned
FAC0003,BANK01,training_center,DE,Vienna,10185,C,121,2012,leased
FAC0004,BANK01,branch,DE,Madrid,9215,D,554,2003,leased
FAC0005,BANK01,back_office,DE,Barcelona,3744,B,319,1990,leased
FAC0006,BANK01,branch,DE,Amsterdam,2209,C,349,1975,leased
FAC0007,BANK01,back_office,IE,Madrid,1403,C,560,2020,leased
FAC0008,BANK01,branch,DE,Paris,9393,B,197,2007,leased
FAC0009,BANK01,back_office,IT,Rome,9310,D,73,1973,leased
FAC0010,BANK01,back_office,DE,Frankfurt,8835,C,399,2002,leased
FAC0011,BANK01,branch,FI,Madrid,5747,B,94,1999,leased
FAC0012,BANK01,branch,DE,Dublin,6750,D,230,2009,leased
FAC0013,BANK01,branch,DE,Dublin,14120,C,358,1985,leased
FAC0014,BANK01,training_center,IT,Frankfurt,2821,E,633,1993,owned
FAC0015,BANK01,back_office,DE,Madrid,14651,E,943,1997,leased
FAC0016,BANK01,branch,IT,Berlin,7313,E,863,2017,leased
FAC0017,BANK01,branch,DE,Paris,670,F,661,2019,leased
FAC0018,BANK01,branch,DE,Hamburg,1655,E,672,1978,owned
FAC0019,BANK01,branch,DE,Rome,3242,E,986,1974,leased
FAC0020,BANK01,training_center,DE,Rotterdam,5193,D,311,2014,leased
FAC0021,BANK01,branch,FI,Munich,9589,E,886,1995,leased
FAC0022,BANK01,branch,DE,Munich,4246,G,58,2000,leased
FAC0023,BANK01,branch,DE,Paris,6576,E,468,1974,leased
FAC0024,BANK01,branch,IE,Hamburg,13091,E,235,2012,leased
FAC0025,BANK01,branch,DE,Milan,3375,A,378,1979,leased
FAC0026,BANK01,operations_center,DE,Milan,8783,A,85,1994,owned
FAC0027,BANK01,back_office,DE,Vienna,7717,C,91,2016,leased
FAC0028,BANK01,back_office,DE,Rome,1429,C,134,1980,leased
