bank_id,invoice_year,invoice_month,scope1_gas_tco2e,scope2_location_tco2e,scope2_market_tco2e,invoice_id,facility_id,reporting_year,electricity_kwh,electricity_cost_eur,renewable_share_pct,natural_gas_kwh,water_m3,rec_volume_kwh,grid_emission_factor_tco2e_per_mwh,natural_gas_cost_eur,water_cost_eur,rec_registry
BANK01,2022,2022-01,31.4736,107.5735,53.7868,UI0000001,FAC0001,2022,360139,112705.06,50,155810,1098,180069.5,0.2987,20432.19,5025.03,I-REC
BANK01,2022,2022-02,36.4105,106.0373,63.6224,UI0000002,FAC0001,2022,354996,64592.6,40,180250,658,141998.4,0.2987,22602.68,2844.89,GO
BANK01,2022,2022-03,25.8978,76.1282,60.9025,UI0000003,FAC0001,2022,254865,46460.49,20,128207,684,50973.0,0.2987,13213.04,2422.58,I-REC
BANK01,2022,2022-04,25.4116,76.535,45.921,UI0000004,FAC0001,2022,256227,54290.27,40,125800,665,102490.8,0.2987,13090.43,2957.56,I-REC
BANK01,2022,2022-05,27.6999,80.3652,64.2922,UI0000005,FAC0001,2022,269050,61739.37,20,137128,666,53810.0,0.2987,10616.56,3267.33,I-REC
BANK01,2022,2022-06,31.7453,103.6635,51.8318,UI0000006,FAC0001,2022,347049,101514.29,50,157155,653,173524.5,0.2987,15581.0,1975.94,GO
BANK01,2022,2022-07,28.9535,95.7381,47.8691,UI0000007,FAC0001,2022,320516,85137.94,50,143334,1010,160258.0,0.2987,16044.54,4099.87,GO
BANK01,2022,2022-08,30.2881,96.3971,67.4779,UI0000008,FAC0001,2022,322722,74787.42,30,149941,1053,96816.6,0.2987,20681.38,3291.94,GO
BANK01,2022,2022-09,25.0032,80.597,48.3582,UI0000009,FAC0001,2022,269826,74568.96,40,123778,702,107930.4,0.2987,16550.38,3373.19,GO
BANK01,2022,2022-10,27.4686,83.6402,50.1841,UI0000010,FAC0001,2022,280014,72159.44,40,135983,898,112005.6,0.2987,15013.26,3288.59,GO
BANK01,2022,2022-11,23.5292,76.48,53.536,UI0000011,FAC0001,2022,256043,71470.48,30,116481,785,76812.9,0.2987,13122.41,3631.92,I-REC
BANK01,2022,2022-12,34.3295,103.162,61.8972,UI0000012,FAC0001,2022,345370,86872.46,40,169948,1201,138148.0,0.2987,13033.45,5404.96,GO
BANK01,2023,2023-01,30.4402,105.8944,52.9472,UI0000013,FAC0001,2023,365153,69148.86,50,150694,908,182576.5,0.29,14658.06,3074.82,GO
BANK01,2023,2023-02,34.6303,108.9191,76.2433,UI0000014,FAC0001,2023,375583,92515.32,30,171437,815,112674.9,0.29,14680.72,2449.98,I-REC
BANK01,2023,2023-03,25.5179,75.2753,37.6376,UI0000015,FAC0001,2023,259570,81487.71,50,126326,960,129785.0,0.29,13128.91,3483.2,I-REC
BANK01,2023,2023-04,23.4219,83.4452,50.0671,UI0000016,FAC0001,2023,287742,90374.47,40,115950,1142,115096.8,0.29,12966.82,3700.91,I-REC
BANK01,2023,2023-05,26.0903,81.1231,40.5616,UI0000017,FAC0001,2023,279735,60073.57,50,129160,692,139867.5,0.29,12440.77,3045.69,GO
BANK01,2023,2023-06,29.2246,101.4104,50.7052,UI0000018,FAC0001,2023,349691,64182.19,50,144676,699,174845.5,0.29,16726.64,3162.8,I-REC
BANK01,2023,2023-07,30.2402,86.7465,52.0479,UI0000019,FAC0001,2023,299126,72548.8,40,149704,1215,119650.4,0.29,14482.57,4026.46,I-REC
BANK01,2023,2023-08,29.3213,93.6697,37.4679,UI0000020,FAC0001,2023,322999,70618.22,60,145155,1235,193799.4,0.29,17337.43,4824.73,I-REC
BANK01,2023,2023-09,23.0656,72.2796,50.5957,UI0000021,FAC0001,2023,249240,46692.44,30,114186,1249,74772.0,0.29,10603.05,4938.8,I-REC
BANK01,2023,2023-10,26.5703,71.9516,50.3661,UI0000022,FAC0001,2023,248109,66504.29,30,131536,824,74432.7,0.29,15158.6,3123.85,I-REC
BANK01,2023,2023-11,26.5915,74.8171,37.4085,UI0000023,FAC0001,2023,257990,58141.14,50,131641,574,128995.0,0.29,16185.84,1767.21,GO
BANK01,2023,2023-12,34.7024,103.5819,41.4328,UI0000024,FAC0001,2023,357179,67486.44,60,171794,1071,214307.4,0.29,12842.05,3537.66,GO
BANK01,2024,2024-01,35.4237,98.7875,39.515,UI0000025,FAC0001,2024,350808,110899.08,60,175365,721,210484.8,0.2816,16426.63,2758.03,GO
BANK01,2024,2024-02,32.5087,103.2734,30.982,UI0000026,FAC0001,2024,366738,98965.94,70,160934,948,256716.6,0.2816,15726.36,3137.85,GO
BANK01,2024,2024-03,25.9536,78.5168,47.1101,UI0000027,FAC0001,2024,278824,79963.09,40,128483,877,111529.6,0.2816,16806.42,3029.85,GO
BANK01,2024,2024-04,25.3146,67.2129,33.6064,UI0000028,FAC0001,2024,238682,58958.52,50,125320,567,119341.0,0.2816,9142.38,2561.17,GO
BANK01,2024,2024-05,26.6375,80.392,32.1568,UI0000029,FAC0001,2024,285483,64294.49,60,131869,650,171289.8,0.2816,16209.0,2821.34,GO
BANK01,2024,2024-06,31.4296,81.4773,24.4432,UI0000030,FAC0001,2024,289337,74360.87,70,155592,909,202535.9,0.2816,11328.51,3799.02,GO
BANK01,2024,2024-07,30.3386,84.8954,50.9372,UI0000031,FAC0001,2024,301475,78812.09,40,150191,554,120590.0,0.2816,14383.53,2657.63,I-REC
BANK01,2024,2024-08,28.1303,84.0903,33.6361,UI0000032,FAC0001,2024,298616,64856.57,60,139259,942,179169.6,0.2816,13396.86,3557.78,I-REC
BANK01,2024,2024-09,25.6597,78.6937,39.3468,UI0000033,FAC0001,2024,279452,63096.94,50,127028,737,139726.0,0.2816,11206.91,2386.65,I-REC
BANK01,2024,2024-10,22.1172,70.589,21.1767,UI0000034,FAC0001,2024,250671,52300.65,70,109491,991,175469.7,0.2816,8528.09,3740.93,I-REC
