credit_id,bank_id,reporting_year,credits_tco2e,tonnes_co2e,use,retired_flag,credit_type,permanence_years,permanence_rating,additionality_verified,retirement_year,registry,project_type,project_country,vintage_year,price_per_tonne_eur,total_cost_eur,purchase_date,underlying_mechanism,planned_flag,associated_target_id
CC0001,BANK01,2024,21080,21080,retirement_against_emissions,,avoidance_reduction,,high,True,2024,Gold_Standard,renewable_energy,IN,2023,20.39,429843.34,2024-03-07,technology_based,False,TGT003
CC0002,BANK01,2023,21297,21297,retirement_against_emissions,,avoidance_reduction,,high,True,2023,Gold_Standard,cookstoves,MX,2020,28.14,599202.0,2023-03-13,technology_based,False,TGT003
CC0003,BANK01,2022,6966,6966,held_for_future_use,,avoidance_reduction,,high,True,,Gold_Standard,cookstoves,IN,2022,28.24,196693.42,2022-09-12,technology_based,False,
CC0004,BANK02,2022,6731,6731,held_for_future_use,,carbon_removal,,medium,True,,Gold_Standard,afforestation,MX,2021,19.86,133674.36,2022-03-23,nature_based,False,
CC0005,BANK02,2023,6600,6600,retirement_against_emissions,,avoidance_reduction,,high,True,2023,Gold_Standard,renewable_energy,PE,2021,13.84,91352.01,2023-01-31,technology_based,False,TGT006
CC0006,BANK02,2022,24041,24041,retirement_against_emissions,,carbon_removal,,high,True,2022,Verra_VCS,direct_air_capture,BR,2020,23.72,570302.03,2022-09-12,technology_based,False,TGT006
CC0007,BANK03,2022,6764,6764,retirement_against_emissions,,carbon_removal,,medium,True,2022,Verra_VCS,afforestation,CD,2023,19.78,133804.91,2022-02-23,nature_based,False,TGT009
CC0008,BANK03,2024,18818,18818,retirement_against_emissions,,carbon_removal,,medium,True,2024,ART_TREES,peatland_restoration,MX,2022,25.65,482682.1,2024-11-23,nature_based,False,TGT009
CC0009,BANK03,2024,23227,23227,held_for_future_use,,avoidance_reduction,,high,True,,ART_TREES,cookstoves,FR,2022,28.34,658274.31,2024-02-29,technology_based,False,
CC0010,BANK03,2022,14706,14706,retirement_against_emissions,,carbon_removal,,high,True,2022,Verra_VCS,biochar,DE,2020,28.76,422984.71,2022-03-08,nature_based,False,TGT009
CC0011,BANK04,2022,10114,10114,retirement_against_emissions,,carbon_removal,,medium,True,2022,CDM,reforestation,MX,2022,61.97,626773.79,2022-04-02,nature_based,False,TGT012
CC0012,BANK04,2023,20027,20027,held_for_future_use,,carbon_removal,,high,True,,Gold_Standard,biochar,PE,2023,51.77,1036770.61,2023-07-27,nature_based,False,
CC0013,BANK04,2023,9736,9736,retirement_against_emissions,,carbon_removal,,high,True,2023,Verra_VCS_high_quality,biochar,PE,2024,48.49,472071.1,2023-10-11,nature_based,False,TGT012
CC0014,BANK04,2023,915,915,retirement_against_emissions,,carbon_removal,,medium,True,2023,Gold_Standard,peatland_restoration,ID,2023,74.69,68342.47,2023-11-20,nature_based,False,TGT012
CC0015,BANK05,2023,1655,1655,retirement_against_emissions,,carbon_removal,,high,False,2023,unverified,biochar,PE,2015,7.33,12125.61,2023-01-09,nature_based,False,TGT015
CC0016,BANK05,2022,24109,24109,held_for_future_use,,carbon_removal,,medium,False,,Verra_VCS_legacy,afforestation,MX,2014,3.56,85786.03,2022-10-05,nature_based,False,
CC0017,BANK01,2022,10353,10353,retirement_against_emissions,,carbon_removal,,medium,True,2022,ART_TREES,afforestation,MX,2021,12.03,124545.36,2022-02-01,nature_based,False,TGT003
CC0018,BANK01,2023,18761,18761,held_for_future_use,,avoidance_reduction,,high,True,,Gold_Standard,cookstoves,PE,2022,14.9,279599.28,2023-06-15,technology_based,False,
CC0019,BANK02,2022,20613,20613,held_for_future_use,,carbon_removal,,medium,True,,Verra_VCS,reforestation,DE,2022,22.48,463352.48,2022-05-02,nature_based,False,
CC0020,BANK02,2023,6882,6882,retirement_against_emissions,,carbon_removal,,medium,True,2023,Gold_Standard,reforestation,CD,2023,16.63,114443.24,2023-05-26,nature_based,False,TGT006
CC0021,BANK03,2022,5615,5615,retirement_against_emissions,,avoidance_reduction,,high,True,2022,ART_TREES,cookstoves,DE,2021,11.68,65609.66,2022-02-23,technology_based,False,TGT009
CC0022,BANK03,2023,22413,22413,held_for_future_use,,carbon_removal,,medium,True,,ART_TREES,reforestation,CO,2023,27.27,611094.53,2023-08-23,nature_based,False,
CC0023,BANK04,2022,8114,8114,held_for_future_use,,carbon_removal,,high,True,,Verra_VCS_high_quality,direct_air_capture,CO,2022,48.82,396086.26,2022-04-11,technology_based,False,
CC0024,BANK04,2022,15740,15740,held_for_future_use,,carbon_removal,,medium,True,,Gold_Standard,afforestation,KE,2019,39.06,614826.43,2022-12-05,nature_based,False,
CC0025,BANK04,2023,7102,7102,held_for_future_use,,carbon_removal,,medium,True,,Gold_Standard,reforestation,BR,2023,42.05,298637.71,2023-05-29,nature_based,False,
CC0026,BANK04,2023,4403,4403,held_for_future_use,,carbon_removal,,high,True,,Verra_VCS_high_quality,direct_air_capture,ID,2023,56.63,249342.34,2023-01-09,technology_based,False,
CC0027,BANK05,2022,18728,18728,held_for_future_use,,avoidance_reduction,,high,False,,unverified,renewable_energy,DE,2020,6.15,115147.95,2022-04-20,technology_based,False,
CC0028,BANK05,2023,2976,2976,held_for_future_use,,avoidance_reduction,,high,False,,unverified,cookstoves,DE,2020,7.86,23386.81,2023-12-27,technology_based,False,
