bank_id,reporting_year,effect_id,effect_type,driver_type,linked_id,affected_statement,line_item,effect_timing,time_horizon,horizon,amount_meur,quantitative_effect_meur,qualitative_description,material_adjustment_next_period_flag,basis,is_synthetic
BANK01,2024,FE-RISK-BANK01-2024-0006,risk,risk,RISK-BANK01-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,short_0_2yr,short_0_2yr,16.52,16.52,Current-period effect attributable to: Transition risk — EV shift in auto lending.,True,modelled_estimate,True
BANK01,2024,FE-RISK-BANK01-2024-0006-ANT,risk,risk,RISK-BANK01-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,short_0_2yr,short_0_2yr,165.2,165.2,Anticipated short_0_2yr effect attributable to: Transition risk — EV shift in auto lending.,True,modelled_estimate,True
BANK01,2024,FE-RISK-BANK01-2024-0005,risk,risk,RISK-BANK01-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,long_5yr_plus,long_5yr_plus,13.65,13.65,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK01,2024,FE-RISK-BANK01-2024-0005-ANT,risk,risk,RISK-BANK01-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,long_5yr_plus,long_5yr_plus,136.5,136.5,Anticipated long_5yr_plus effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK01,2024,FE-RISK-BANK01-2024-0008,risk,risk,RISK-BANK01-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,medium_2_5yr,medium_2_5yr,6.75,6.75,Current-period effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
BANK01,2024,FE-RISK-BANK01-2024-0008-ANT,risk,risk,RISK-BANK01-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,medium_2_5yr,medium_2_5yr,67.5,67.5,Anticipated medium_2_5yr effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
BANK02,2024,FE-RISK-BANK02-2024-0005,risk,risk,RISK-BANK02-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,medium_2_5yr,medium_2_5yr,44.12,44.12,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
BANK02,2024,FE-RISK-BANK02-2024-0005-ANT,risk,risk,RISK-BANK02-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,medium_2_5yr,medium_2_5yr,441.2,441.2,Anticipated medium_2_5yr effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
BANK02,2024,FE-RISK-BANK02-2024-0002,risk,risk,RISK-BANK02-2024-0002,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,long_5yr_plus,long_5yr_plus,22.94,22.94,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK02,2024,FE-RISK-BANK02-2024-0002-ANT,risk,risk,RISK-BANK02-2024-0002,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,long_5yr_plus,long_5yr_plus,229.4,229.4,Anticipated long_5yr_plus effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK02,2024,FE-RISK-BANK02-2024-0006,risk,risk,RISK-BANK02-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,medium_2_5yr,medium_2_5yr,13.11,13.11,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK02,2024,FE-RISK-BANK02-2024-0006-ANT,risk,risk,RISK-BANK02-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,medium_2_5yr,medium_2_5yr,131.1,131.1,Anticipated medium_2_5yr effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK03,2024,FE-RISK-BANK03-2024-0004,risk,risk,RISK-BANK03-2024-0004,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,medium_2_5yr,medium_2_5yr,57.7,57.7,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK03,2024,FE-RISK-BANK03-2024-0004-ANT,risk,risk,RISK-BANK03-2024-0004,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,medium_2_5yr,medium_2_5yr,577.0,577.0,Anticipated medium_2_5yr effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK03,2024,FE-RISK-BANK03-2024-0008,risk,risk,RISK-BANK03-2024-0008,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,short_0_2yr,short_0_2yr,15.29,15.29,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,True,modelled_estimate,True
BANK03,2024,FE-RISK-BANK03-2024-0008-ANT,risk,risk,RISK-BANK03-2024-0008,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,short_0_2yr,short_0_2yr,152.9,152.9,Anticipated short_0_2yr effect attributable to: Physical risk — mortgage book flood exposure.,True,modelled_estimate,True
BANK03,2024,FE-RISK-BANK03-2024-0003,risk,risk,RISK-BANK03-2024-0003,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,long_5yr_plus,long_5yr_plus,9.18,9.18,Current-period effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
BANK03,2024,FE-RISK-BANK03-2024-0003-ANT,risk,risk,RISK-BANK03-2024-0003,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,long_5yr_plus,long_5yr_plus,91.8,91.8,Anticipated long_5yr_plus effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
BANK04,2024,FE-RISK-BANK04-2024-0001,risk,risk,RISK-BANK04-2024-0001,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,medium_2_5yr,medium_2_5yr,177.45,177.45,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK04,2024,FE-RISK-BANK04-2024-0001-ANT,risk,risk,RISK-BANK04-2024-0001,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,medium_2_5yr,medium_2_5yr,1774.5,1774.5,Anticipated medium_2_5yr effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
BANK04,2024,FE-RISK-BANK04-2024-0008,risk,risk,RISK-BANK04-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,long_5yr_plus,long_5yr_plus,42.34,42.34,Current-period effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
BANK04,2024,FE-RISK-BANK04-2024-0008-ANT,risk,risk,RISK-BANK04-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,long_5yr_plus,long_5yr_plus,423.4,423.4,Anticipated long_5yr_plus effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
BANK04,2024,FE-RISK-BANK04-2024-0005,risk,risk,RISK-BANK04-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,long_5yr_plus,long_5yr_plus,23.18,23.18,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
BANK04,2024,FE-RISK-BANK04-2024-0005-ANT,risk,risk,RISK-BANK04-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,long_5yr_plus,long_5yr_plus,231.8,231.8,Anticipated long_5yr_plus effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
BANK05,2024,FE-RISK-BANK05-2024-0006,risk,risk,RISK-BANK05-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,medium_2_5yr,medium_2_5yr,11.81,11.81,Current-period effect attributable to: Transition risk — EV shift in auto lending.,False,modelled_estimate,True
