collateral_id,exposure_id,bank_id,counterparty_id,collateral_type,country,valuation_amount_meur,market_value_meur,epc_rating,flood_zone_class,flood_risk_score,physical_risk_score,exposure_amount_meur,property_type,ltv_pct,year_built,floor_area_sqm,valuation_date,market_value_at_origination_meur,building_emissions_tco2e,postcode
COL00001,EXP000001,BANK01,CP00001,real_estate,ES,11.08,11.08,C,high,,3,5.31,retail,47.9,2013,17395,2023-08-08,12.12,428.79,49469
COL00002,EXP000002,BANK01,CP00001,real_estate,IT,12.93,12.93,E,medium,,2,6.14,office,47.5,1998,5591,2023-07-23,10.41,517.06,45550
COL00003,EXP000003,BANK01,CP00002,real_estate,PL,25.13,25.13,C,high,,3,12.53,logistics,49.9,2015,11822,2024-12-10,20.16,1306.33,48411
COL00004,EXP000011,BANK01,CP00006,real_estate,IT,4.4,4.4,E,very_high,,4,2.37,warehouse,53.9,2000,664,2023-06-04,3.6,61.41,10036
COL00005,EXP000013,BANK01,CP00006,real_estate,IT,4.39,4.39,C,high,,3,2.02,mixed_use,46.0,1960,14963,2023-05-09,3.78,691.89,81880
COL00006,EXP000018,BANK01,CP00009,real_estate,NL,10.42,10.42,E,medium,,2,6.21,industrial,59.6,1981,19891,2024-01-22,9.68,2028.88,1429 EV
COL00007,EXP000020,BANK01,CP00010,real_estate,DE,23.9,23.9,B,very_high,,4,13.14,logistics,55.0,2006,730,2023-11-06,20.57,27.74,75664
COL00008,EXP000021,BANK01,CP00011,real_estate,PL,4.64,4.64,F,medium,,2,2.65,logistics,57.1,2012,13647,2023-12-27,3.89,3991.75,30321
COL00009,EXP000022,BANK01,CP00011,real_estate,LU,3.33,3.33,D,medium,,2,2.08,mixed_use,62.5,2018,14237,2024-01-18,3.91,320.33,47031
COL00010,EXP000028,BANK01,CP00016,real_estate,BE,1052.0,1052.0,C,very_high,,5,555.54,mixed_use,52.8,1996,23206,2024-09-27,954.77,670.65,58658
COL00011,EXP000030,BANK01,CP00017,real_estate,BE,183.6,183.6,A,high,,3,131.76,mixed_use,71.8,2012,3597,2024-05-23,242.73,30.57,39458
COL00012,EXP000033,BANK01,CP00019,real_estate,DE,7.33,7.33,D,medium,,2,4.02,warehouse,54.8,1997,13983,2023-08-05,5.81,1328.38,56960
COL00013,EXP000034,BANK01,CP00019,real_estate,LU,8.14,8.14,C,very_high,,5,3.93,industrial,48.3,2004,15402,2024-02-27,6.45,235.65,42798
COL00014,EXP000040,BANK01,CP00022,real_estate,FR,4.79,4.79,G,high,,3,3.19,mixed_use,66.6,1993,10272,2024-02-29,5.63,320.49,49143
COL00015,EXP000042,BANK01,CP00022,real_estate,FR,3.68,3.68,F,medium,,2,2.8,office,76.1,2007,17205,2024-09-06,4.4,402.6,21293
COL00016,EXP000043,BANK01,CP00022,real_estate,PL,1.93,1.93,D,medium,,2,1.27,residential_multi,65.8,1984,20393,2024-10-21,2.33,3313.86,82997
