counterparty_id,bank_id,nace_code,legal_name,country,annual_revenue_meur,evic_meur,ppp_adjusted_gdp_meur,national_scope1_tco2e,national_scope2_tco2e,national_scope3_tco2e,data_source_type,transition_risk_score,nace_description,sector_carbon_tier,country_name,is_listed,sme_flag,onboarded_date,sbti_target_flag
CP00001,BANK01,F42,Civil DE Group 1,DE,33.5,53.7,,,,,estimated_economic,1.78,Civil engineering,medium,Germany,False,True,2023-04-05,False
CP00002,BANK01,B07,Mining AT Group 2,AT,216.8,490.6,,,,,audited_report,7.55,Mining of metal ores,high,Austria,True,False,2016-01-19,False
CP00003,BANK01,C20,Manufacture ES Group 3,ES,6.0,9.3,,,,,estimated_economic,5.18,Manufacture of chemicals,high,Spain,False,True,2022-04-15,False
CP00004,BANK01,H49,Land IT Group 4,IT,111.6,189.8,,,,,estimated_economic,1.93,Land transport (road & rail),medium,Italy,False,False,2024-09-30,False
CP00005,BANK01,A01,Crop IE Group 5,IE,622.9,1129.0,,,,,estimated_economic,3.09,Crop and animal production,high,Ireland,True,False,2023-07-25,False
CP00006,BANK01,C10,Manufacture DE Group 6,DE,9.8,26.7,,,,,estimated_economic,1.93,Manufacture of food products,medium,Germany,False,True,2021-10-08,False
CP00007,BANK01,C24,Manufacture DE Group 7,DE,119.7,170.5,,,,,proxy_model,8.99,Manufacture of basic metals (steel),high,Germany,False,False,2019-03-31,False
CP00008,BANK01,B06,Extraction IT Group 8,IT,385.4,1076.7,,,,,estimated_economic,3.2,Extraction of crude petroleum and natural gas,high,Italy,True,False,2017-02-26,False
CP00009,BANK01,H49,Land DE Group 9,DE,24.2,41.6,,,,,estimated_economic,4.63,Land transport (road & rail),medium,Germany,False,True,2015-11-23,False
CP00010,BANK01,J58,Publishing FI Group 10,FI,69.2,139.5,,,,,estimated_economic,0.56,Publishing activities,low,Finland,False,False,2024-05-09,False
CP00011,BANK01,C11,Manufacture IT Group 11,IT,21.3,35.8,,,,,estimated_economic,3.38,Manufacture of beverages,medium,Italy,False,True,2022-08-31,False
