exposure_id,bank_id,counterparty_id,outstanding_amount_meur,product_type,committed_amount_meur,pcaf_asset_class,origination_date,maturity_date,currency,stage,eu_taxonomy_aligned,green_label_flag,green_taxonomy,total_project_cost_meur,instrument_type,interest_rate_pct,undrawn_amount_meur,origination_property_value_meur,has_control
EXP000001,BANK01,CP00001,5.31,green_loan,5.64,business_loan,2018-05-13,2033-05-09,EUR,stage_1,True,True,EU_Taxonomy,,,4.75,0.33,,
EXP000002,BANK01,CP00001,6.14,term_loan,7.04,business_loan,2019-07-18,2034-07-14,EUR,stage_1,False,False,,,,4.07,0.9,,
EXP000003,BANK01,CP00002,12.53,term_loan,17.11,business_loan,2023-10-22,2033-10-19,EUR,stage_1,False,False,,,,3.09,4.58,,
EXP000004,BANK01,CP00002,56.63,term_loan,72.35,business_loan,2024-11-11,2031-11-10,EUR,stage_1,False,False,,,,7.49,15.72,,
EXP000005,BANK01,CP00002,19.67,term_loan,27.52,business_loan,2019-12-09,2029-12-06,EUR,stage_2,False,False,,,,6.55,7.85,,
EXP000006,BANK01,CP00002,75.01,corporate_bond,91.28,listed_equity,2018-09-23,2033-09-19,EUR,stage_2,False,False,,,,6.96,16.27,,
EXP000007,BANK01,CP00003,1.97,corporate_bond,2.15,business_loan,2022-01-20,2037-01-16,EUR,stage_1,False,False,,,,7.43,0.18,,
EXP000008,BANK01,CP00003,0.73,revolving_credit,0.9,business_loan,2022-01-18,2037-01-14,EUR,stage_3,False,False,,,,4.84,0.17,,
EXP000009,BANK01,CP00004,35.18,term_loan,42.58,business_loan,2022-06-19,2032-06-16,EUR,stage_1,False,False,,,,6.35,7.4,,
EXP000010,BANK01,CP00005,212.85,corporate_bond,270.75,listed_equity,2023-01-18,2033-01-15,EUR,stage_2,False,False,,,,4.22,57.9,,
EXP000011,BANK01,CP00006,2.37,term_loan,2.85,business_loan,2019-06-13,2029-06-10,EUR,stage_1,False,False,,,,6.84,0.48,,
EXP000012,BANK01,CP00006,2.01,term_loan,2.76,business_loan,2019-10-26,2026-10-24,EUR,stage_2,False,False,,,,3.63,0.75,,
EXP000013,BANK01,CP00006,2.02,term_loan,2.18,business_loan,2018-11-20,2025-11-18,EUR,stage_1,False,False,,,,7.28,0.16,,
EXP000014,BANK01,CP00007,28.05,term_loan,38.61,business_loan,2019-11-22,2034-11-18,EUR,stage_1,False,False,,,,3.27,10.56,,
EXP000015,BANK01,CP00007,31.86,project_finance,42.38,project_finance,2024-04-27,2027-04-27,EUR,stage_1,False,False,,109.95,project_loan,2.64,10.52,,False
EXP000016,BANK01,CP00008,85.96,corporate_bond,107.21,listed_equity,2024-06-01,2034-05-30,EUR,stage_2,False,False,,,,2.65,21.25,,
EXP000017,BANK01,CP00008,82.35,corporate_bond,90.42,listed_equity,2021-05-22,2031-05-20,EUR,stage_1,False,False,,,,6.54,8.07,,
EXP000018,BANK01,CP00009,6.21,term_loan,7.36,business_loan,2022-08-30,2032-08-27,EUR,stage_1,False,False,,,,4.2,1.15,,
EXP000019,BANK01,CP00009,7.46,revolving_credit,7.85,business_loan,2021-11-15,2031-11-13,EUR,stage_1,False,False,,,,4.35,0.39,,
EXP000020,BANK01,CP00010,13.14,term_loan,13.65,business_loan,2020-10-12,2025-10-11,EUR,stage_1,False,False,,,,3.95,0.51,,
EXP000021,BANK01,CP00011,2.65,mortgage,3.64,commercial_re,2019-10-17,2026-10-15,EUR,stage_1,False,False,,,,6.11,0.99,4.5,
EXP000022,BANK01,CP00011,2.08,green_loan,2.81,business_loan,2023-03-28,2033-03-25,EUR,stage_1,True,True,LMA_GLP,,,4.99,0.73,,
EXP000023,BANK01,CP00012,3.05,term_loan,3.11,business_loan,2024-07-17,2031-07-16,EUR,stage_1,False,False,,,,3.91,0.06,,
EXP000024,BANK01,CP00012,4.94,corporate_bond,4.96,business_loan,2021-03-16,2036-03-12,EUR,stage_1,False,False,,,,3.04,0.02,,
EXP000025,BANK01,CP00013,478.16,revolving_credit,487.94,business_loan,2018-07-05,2028-07-02,EUR,stage_1,False,False,,,,5.31,9.78,,
EXP000026,BANK01,CP00014,4.05,revolving_credit,5.39,business_loan,2024-03-02,2031-03-01,EUR,stage_1,False,False,,,,5.62,1.34,,
EXP000027,BANK01,CP00015,217.3,revolving_credit,298.91,business_loan,2021-10-20,2036-10-16,EUR,stage_1,False,False,,,,6.27,81.61,,
EXP000028,BANK01,CP00016,555.54,term_loan,734.19,business_loan,2019-07-16,2026-07-14,EUR,stage_1,False,False,,,,5.1,178.65,,
EXP000029,BANK01,CP00016,883.05,term_loan,940.45,business_loan,2024-11-16,2031-11-15,EUR,stage_1,False,False,,,,7.45,57.4,,
EXP000030,BANK01,CP00017,131.76,mortgage,169.11,commercial_re,2023-12-21,2033-12-18,EUR,stage_1,False,False,,,,4.0,37.35,203.37,
EXP000031,BANK01,CP00018,42.69,green_loan,56.3,mortgage,2024-07-18,2031-07-17,EUR,stage_1,True,True,ICMA_GBP,,,6.13,13.61,68.06,
EXP000032,BANK01,CP00018,9.82,revolving_credit,10.71,business_loan,2024-06-27,2039-06-24,EUR,stage_1,False,False,,,,2.76,0.89,,
EXP000033,BANK01,CP00019,4.02,mortgage,5.34,commercial_re,2022-04-07,2027-04-06,EUR,stage_1,False,False,,,,3.71,1.32,6.11,
EXP000034,BANK01,CP00019,3.93,term_loan,4.59,business_loan,2022-12-12,2029-12-10,EUR,stage_1,False,False,,,,4.56,0.66,,
EXP000035,BANK01,CP00020,1139.06,revolving_credit,1375.38,business_loan,2018-09-13,2023-09-12,EUR,stage_3,False,False,,,,5.3,236.32,,
EXP000036,BANK01,CP00020,944.22,revolving_credit,1288.72,business_loan,2019-12-11,2029-12-08,EUR,stage_1,False,False,,,,4.21,344.5,,
EXP000037,BANK01,CP00021,2.96,corporate_bond,3.53,business_loan,2020-12-18,2035-12-15,EUR,stage_1,False,False,,,,7.29,0.57,,
EXP000038,BANK01,CP00021,1.55,green_loan,1.99,business_loan,2021-05-04,2028-05-02,EUR,stage_1,True,True,EU_Taxonomy,,,5.95,0.44,,
EXP000039,BANK01,CP00021,2.15,project_finance,2.25,project_finance,2021-01-25,2028-01-24,EUR,stage_1,False,False,,6.44,project_loan,5.88,0.1,,False
EXP000040,BANK01,CP00022,3.19,green_loan,3.24,business_loan,2019-08-23,2026-08-21,EUR,stage_1,True,True,EU_Taxonomy,,,7.28,0.05,,
EXP000041,BANK01,CP00022,3.53,corporate_bond,3.82,business_loan,2023-05-17,2028-05-15,EUR,stage_2,False,False,,,,5.19,0.29,,
EXP000042,BANK01,CP00022,2.8,term_loan,3.07,business_loan,2024-11-26,2039-11-23,EUR,stage_2,False,False,,,,2.75,0.27,,
EXP000043,BANK01,CP00022,1.27,term_loan,1.44,business_loan,2019-02-15,2029-02-12,EUR,stage_1,False,False,,,,4.86,0.17,,
