bank_id,reporting_year,total_assets_meur,total_loans_meur,green_loans_meur,green_loans_pct,total_revenue_meur,net_profit_meur,climate_capex_meur,climate_opex_meur,tier1_capital_meur,cet1_ratio_pct,carbon_intensity_tco2e_per_meur_lending,summary_id,total_undrawn_meur,net_interest_income_meur,return_on_equity_pct
BANK01,2022,763922.8,31150.64,3335.75,10.71,25466.1,5759.9,322.2,420.32,95149.4,19.2,,FIN-BANK01-2022,6595.48,17579.1,6.05
BANK01,2023,820167.2,31150.64,3335.75,10.71,27779.7,4731.7,373.91,509.21,143979.2,27.0,,FIN-BANK01-2023,6595.48,19263.8,3.29
BANK01,2024,850000.0,31150.64,3335.75,10.71,24136.2,3356.1,476.95,219.32,151208.6,27.4,,FIN-BANK01-2024,6595.48,15947.7,2.22
BANK02,2022,558309.5,19638.7,1100.78,5.61,18653.2,4271.5,91.5,350.71,74564.6,20.5,,FIN-BANK02-2022,4029.4,12891.7,5.73
BANK02,2023,600675.1,19638.7,1100.78,5.61,20203.2,2575.7,160.29,248.35,97378.1,24.9,,FIN-BANK02-2023,4029.4,15687.4,2.65
BANK02,2024,620000.0,19638.7,1100.78,5.61,18473.1,2384.8,112.95,296.85,87823.1,21.8,,FIN-BANK02-2024,4029.4,12014.9,2.72
BANK03,2022,110505.3,24088.68,170.05,0.71,3308.3,689.8,25.32,16.68,18007.1,25.1,,FIN-BANK03-2022,5191.0,2409.5,3.83
BANK03,2023,116072.8,24088.68,170.05,0.71,4054.2,645.4,25.25,75.43,14525.3,19.3,,FIN-BANK03-2023,5191.0,3006.0,4.44
BANK03,2024,120000.0,24088.68,170.05,0.71,3069.1,541.0,15.22,43.07,17899.1,22.9,,FIN-BANK03-2024,5191.0,2332.1,3.02
BANK04,2022,16080.8,8890.58,4193.33,47.17,552.3,70.5,332.68,6.09,2204.7,21.1,,FIN-BANK04-2022,1702.96,441.0,3.2
BANK04,2023,17257.6,8890.58,4193.33,47.17,507.6,69.5,332.23,4.91,2951.2,26.3,,FIN-BANK04-2023,1702.96,374.9,2.35
BANK04,2024,18000.0,8890.58,4193.33,47.17,571.8,126.8,446.47,6.85,2406.8,20.6,,FIN-BANK04-2024,1702.96,420.6,5.27
BANK05,2022,42355.2,9783.4,121.07,1.24,1855.3,235.4,11.39,12.57,7170.1,26.0,,FIN-BANK05-2022,2416.05,1431.9,3.28
BANK05,2023,42960.4,9783.4,121.07,1.24,1932.5,449.6,9.08,26.96,5770.0,20.7,,FIN-BANK05-2023,2416.05,1501.4,7.79
BANK05,2024,45000.0,9783.4,121.07,1.24,1980.4,486.6,8.89,17.65,7453.4,25.5,,FIN-BANK05-2024,2416.05,1549.8,6.53
