investment_id,bank_id,asset_class,market_value_meur,reporting_year,issuer_name,nominal_amount_meur,issuer_evic_meur,nace_code,country,currency,issuer_revenue_meur,ppp_gdp_meur,counterparty_id,pcaf_data_quality_score,esg_classification,purchase_date
INV00001,BANK01,listed_equity,23.93,2024,Manufacture 1,27.98,457.8,C25,IT,EUR,168.8,,,2,article_8,2019-05-26
INV00002,BANK01,sovereign_bond,83.78,2024,Sovereign 2,78.18,,O84,DE,EUR,,4580000,,3,article_6,2019-12-11
INV00003,BANK01,sovereign_bond,20.62,2024,Sovereign 3,20.66,,O84,FR,EUR,,3680000,,3,not_applicable,2022-11-15
INV00004,BANK01,fund,391.5,2024,Education 4,349.22,,P85,LU,EUR,,,,5,not_applicable,2024-11-14
INV00005,BANK01,sovereign_bond,10.89,2024,Sovereign 5,12.64,,O84,IT,EUR,,3020000,,3,article_8,2020-02-19
INV00006,BANK01,corporate_bond,16.92,2024,Residential 6,15.74,,Q87,LU,EUR,104.2,,,3,article_8,2019-04-02
INV00007,BANK01,listed_equity,556.4,2024,Manufacture 7,636.77,4478.7,C22,AT,EUR,2168.8,,,2,not_applicable,2020-04-21
INV00008,BANK01,etf,45.11,2024,Computer 8,44.92,,J62,IT,EUR,,,,5,not_applicable,2021-09-25
INV00009,BANK01,sovereign_bond,12.12,2024,Sovereign 9,13.25,,O84,NL,EUR,,1120000,,3,not_applicable,2022-01-30
INV00010,BANK01,etf,50.76,2024,"Electricity, 10",49.22,,D35,BE,EUR,,,,5,not_applicable,2022-03-13
INV00011,BANK01,corporate_bond,34.5,2024,Specialised 11,32.95,,F43,IE,EUR,347.3,,,4,article_8,2024-03-09
INV00012,BANK01,sovereign_bond,2522.48,2024,Sovereign 12,2752.61,,O84,IT,EUR,,3020000,,3,article_6,2022-08-22
INV00013,BANK01,corporate_bond,57.57,2024,Insurance 13,52.43,,K65,BE,EUR,600.9,,,3,article_8,2022-09-08
INV00014,BANK01,sovereign_bond,147.25,2024,Sovereign 14,154.53,,O84,NL,EUR,,1120000,,3,article_8,2023-12-26
INV00015,BANK01,listed_equity,35.36,2024,Food 15,33.62,943.2,I56,BE,EUR,382.5,,,2,article_8,2019-05-13
INV00016,BANK01,sovereign_bond,267.01,2024,Sovereign 16,268.09,,O84,DE,EUR,,4580000,,3,not_applicable,2019-12-07
INV00017,BANK01,listed_equity,79.11,2024,Wholesale 17,83.75,1087.0,G46,IT,EUR,425.6,,,2,article_9,2019-05-02
INV00018,BANK01,listed_equity,25.57,2024,Information 18,26.11,584.2,J63,IT,EUR,255.4,,,2,not_applicable,2019-04-06
INV00019,BANK01,etf,226.51,2024,Manufacture 19,246.09,,C27,ES,EUR,,,,5,not_applicable,2020-06-23
INV00020,BANK01,corporate_bond,20.06,2024,Manufacture 20,17.48,,C19,FR,EUR,199.5,,,3,article_8,2021-01-01
