bank_id,reporting_year,volume_mwh,certificate_id,rec_id,certificate_type,registry,issuing_registry,energy_source,country_of_generation,issue_date,expiry_date,cancellation_date,associated_facility_ids,price_eur_per_mwh
BANK01,2022,1949.3,REC-BANK01-2022-0001,REC-BANK01-2022-0001,GO,EECS,EECS,hydro,DE,2022-01-10,2023-01-10,2022-09-22,"FAC0022,FAC0015,FAC0017",
BANK01,2022,1949.3,REC-BANK01-2022-0002,REC-BANK01-2022-0002,GO,EECS,EECS,solar,DE,2022-04-22,2023-04-22,2022-07-17,FAC0010,5.49
BANK01,2022,1949.3,REC-BANK01-2022-0003,REC-BANK01-2022-0003,GO,EECS,EECS,geothermal,DE,2022-07-23,2023-07-23,2023-01-02,"FAC0003,FAC0026,FAC0016",2.46
BANK01,2022,1949.3,REC-BANK01-2022-0004,REC-BANK01-2022-0004,GO,EECS,EECS,solar,DE,2022-10-03,2023-10-03,2023-04-13,"FAC0020,FAC0010",6.59
BANK01,2023,2466.7,REC-BANK01-2023-0001,REC-BANK01-2023-0001,GO,EECS,EECS,hydro,DE,2023-01-18,2024-01-18,,"FAC0006,FAC0001,FAC0028",
BANK01,2023,2466.7,REC-BANK01-2023-0002,REC-BANK01-2023-0002,GO,EECS,EECS,hydro,DE,2023-04-03,2024-04-02,2023-08-14,FAC0013,6.82
BANK01,2023,2466.7,REC-BANK01-2023-0003,REC-BANK01-2023-0003,GO,EECS,EECS,geothermal,DE,2023-07-17,2024-07-16,2024-01-11,"FAC0024,FAC0008,FAC0025",2.93
BANK01,2023,2466.7,REC-BANK01-2023-0004,REC-BANK01-2023-0004,GO,EECS,EECS,wind_offshore,DE,2023-10-26,2024-10-25,2024-08-08,"FAC0024,FAC0023,FAC0003",4.69
BANK01,2024,2997.3,REC-BANK01-2024-0001,REC-BANK01-2024-0001,GO,EECS,EECS,wind_onshore,DE,2024-01-21,2025-01-20,2024-08-20,FAC0008,1.58
BANK01,2024,2997.3,REC-BANK01-2024-0002,REC-BANK01-2024-0002,GO,EECS,EECS,wind_offshore,DE,2024-04-15,2025-04-15,2024-12-07,"FAC0022,FAC0024,FAC0007,FAC0008",1.53
BANK01,2024,2997.3,REC-BANK01-2024-0003,REC-BANK01-2024-0003,GO,EECS,EECS,wind_onshore,DE,2024-07-08,2025-07-08,,FAC0022,
