target_id,bank_id,target_year,target_type,scope,scope_coverage,baseline_year,target_framework,status,metric,baseline_value,target_value_pct_reduction,interim_milestones_json,planned_carbon_credits_pct,progress_metric,gross_or_net,associated_gross_target_id,ghg_gases_covered,third_party_validated,validation_body,sectoral_decarbonisation,planned_credit_type,target_applies_to,latest_paris_alignment,review_frequency
TGT001,BANK01,2030,absolute_reduction,scope_1_and_2,scope1_and_2,2020,SBTi_1.5C,on_track,tco2e,137849.0,42,"[{""year"": 2025, ""value"": 120480.0, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 97321.4, ""metric"": ""tco2e""}]",,tco2e_absolute,gross,,all_kyoto_7,True,SBTi,False,,whole_entity,True,triennial
TGT002,BANK01,2030,intensity_reduction,scope_3_cat15_financed,scope3_cat15,2022,NZBA,on_track,tco2e_per_meur_lending,1173.34,30,"[{""year"": 2025, ""value"": 1067.74, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 926.94, ""metric"": ""tco2e_per_meur_lending""}]",,tco2e_per_meur,gross,,all_kyoto_7,True,UNEP_FI,True,,whole_entity,True,annual
TGT003,BANK01,2050,net_zero,all_scopes,all_scopes,2020,NZBA,on_track,tco2e,36688026.0,100,,8.2,pct_reduction_vs_baseline,net,TGT001,all_kyoto_7,True,UNEP_FI,False,technology_removal,whole_entity,True,biennial
TGT004,BANK02,2030,absolute_reduction,scope_1_and_2,scope1_and_2,2020,SBTi_1.5C,on_track,tco2e,63333.2,42,"[{""year"": 2025, ""value"": 55353.2, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 44713.2, ""metric"": ""tco2e""}]",,tco2e_absolute,gross,,all_kyoto_7,True,SBTi,False,,whole_entity,True,triennial
TGT005,BANK02,2030,intensity_reduction,scope_3_cat15_financed,scope3_cat15,2022,NZBA,on_track,tco2e_per_meur_lending,620.12,30,"[{""year"": 2025, ""value"": 563.75, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 490.46, ""metric"": ""tco2e_per_meur_lending""}]",,tco2e_per_meur,gross,,all_kyoto_7,True,UNEP_FI,True,,whole_entity,True,biennial
TGT006,BANK02,2050,net_zero,all_scopes,all_scopes,2020,NZBA,on_track,tco2e,12241717.0,100,,37.8,pct_reduction_vs_baseline,net,TGT004,all_kyoto_7,True,UNEP_FI,False,nature_based_removal,whole_entity,True,triennial
TGT007,BANK03,2030,absolute_reduction,scope_1_and_2,scope1_and_2,2020,SBTi_1.5C,on_track,tco2e,24776.1,42,"[{""year"": 2025, ""value"": 21654.3, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 17491.9, ""metric"": ""tco2e""}]",,tco2e_absolute,gross,,all_kyoto_7,True,SBTi,False,,whole_entity,True,annual
TGT008,BANK03,2030,intensity_reduction,scope_3_cat15_financed,scope3_cat15,2022,NZBA,on_track,tco2e_per_meur_lending,295.17,30,"[{""year"": 2025, ""value"": 269.59, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 234.17, ""metric"": ""tco2e_per_meur_lending""}]",,tco2e_per_meur,gross,,all_kyoto_7,True,UNEP_FI,True,,whole_entity,True,annual
TGT009,BANK03,2050,net_zero,all_scopes,all_scopes,2020,NZBA,on_track,tco2e,7135039.0,100,,11.0,pct_reduction_vs_baseline,net,TGT007,all_kyoto_7,True,UNEP_FI,False,avoidance_reduction,whole_entity,True,biennial
TGT010,BANK04,2030,absolute_reduction,scope_1_and_2,scope1_and_2,2020,SBTi_1.5C,on_track,tco2e,1528.3,50,"[{""year"": 2025, ""value"": 1299.1, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 993.4, ""metric"": ""tco2e""}]",,tco2e_absolute,gross,,all_kyoto_7,True,SBTi,False,,whole_entity,True,biennial
TGT011,BANK04,2030,intensity_reduction,scope_3_cat15_financed,scope3_cat15,2022,NZBA,on_track,tco2e_per_meur_lending,143.27,55,"[{""year"": 2025, ""value"": 119.39, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 88.35, ""metric"": ""tco2e_per_meur_lending""}]",,tco2e_per_meur,gross,,all_kyoto_7,True,UNEP_FI,True,,whole_entity,True,triennial
TGT012,BANK04,2040,net_zero,all_scopes,all_scopes,2020,NZBA,on_track,tco2e,1275276.0,100,,29.3,pct_reduction_vs_baseline,net,TGT010,all_kyoto_7,True,UNEP_FI,False,technology_removal,whole_entity,True,annual
TGT013,BANK05,2030,absolute_reduction,scope_1_and_2,scope1_and_2,2020,SBTi_1.5C,behind,tco2e,6633.2,35,"[{""year"": 2025, ""value"": 5936.7, ""metric"": ""tco2e""}, {""year"": 2028, ""value"": 5008.1, ""metric"": ""tco2e""}]",,tco2e_absolute,gross,,all_kyoto_7,True,SBTi,False,,whole_entity,True,annual
TGT014,BANK05,2030,intensity_reduction,scope_3_cat15_financed,scope3_cat15,2022,NZBA,behind,tco2e_per_meur_lending,658.7,30,"[{""year"": 2025, ""value"": 600.73, ""metric"": ""tco2e_per_meur_lending""}, {""year"": 2028, ""value"": 521.69, ""metric"": ""tco2e_per_meur_lending""}]",,tco2e_per_meur,gross,,all_kyoto_7,True,UNEP_FI,True,,whole_entity,True,triennial
TGT015,BANK05,2050,net_zero,all_scopes,all_scopes,2020,NZBA,on_track,tco2e,6450940.0,100,,12.2,pct_reduction_vs_baseline,net,TGT013,all_kyoto_7,True,UNEP_FI,False,nature_based_removal,whole_entity,True,biennial
