vehicle_id,bank_id,fuel_type,annual_fuel_consumption_l,reporting_year,scope1_tco2e_2024,scope1_tco2e_2024_clean,vehicle_type,registration_year,annual_km_2024,annual_electricity_consumption_kwh,emission_factor_source,emissions_g_co2_per_km,annual_km_2022,annual_km_2023,scope1_check,scope1_delta_pct,scope1_recalc,delta_pct,scope1_fuel_path,delta_fuel_path,scope1_tco2e_2024_original
VEH0001,BANK01,hybrid,1823.0,2018,4.86741,4.86741,executive,2018,32020,0.0,DEFRA_fleet_average,99,31500,31244,3.16998,53.5467100738806,3.16998,0.0002054484940547,4.88564,0.3733390098329078,4.8674
VEH0002,BANK01,petrol,1380.2,2021,3.685134,3.685134,suv,2021,17433,0.0,DEFRA_fleet_average,171,16194,17569,2.981043,23.61780759284585,2.981043,0.0009226343925622,3.1882620000000004,15.583349172684033,3.6851
VEH0003,BANK01,petrol,1005.0,2019,2.68335,2.68335,sedan,2019,17170,0.0,manufacturer_declared,149,16122,18197,2.55833,4.8848272115012445,2.55833,0.0018633771848054,2.32155,15.582261850918558,2.6833
VEH0004,BANK01,electric,0.0,2018,0.0,0.0,compact,2018,23590,4246.2,DEFRA_fleet_average,3,21704,24671,0.07077,0.0423908435777903,0.07077,100.0,0.0,,0.0708
VEH0005,BANK01,petrol,1823.6,2018,4.869012,4.869012,van,2018,29833,0.0,DEFRA_fleet_average,141,30301,29798,4.206453,15.75072870183026,4.206453,0.0002464571780632,4.212516,15.58413071902872,4.869
VEH0006,BANK01,electric,0.0,2022,0.0,0.0,suv,2022,10646,1916.3,manufacturer_declared,2,10690,10491,0.021292,0.0375727972947635,0.021292,100.0,0.0,,0.0213
VEH0007,BANK01,diesel,1524.8,2019,4.071216,4.071216,sedan,2019,19475,0.0,NEDC,131,18696,20241,2.551225,59.57824182500564,2.551225,0.0003930045195414,0.0,,4.0712
VEH0008,BANK01,hybrid,702.2,2024,1.874874,1.874874,compact,2024,9240,0.0,DEFRA_fleet_average,102,9801,9246,0.94248,98.93260334436803,0.94248,0.001386740626171,1.881896,0.3717527429783698,1.8749
VEH0009,BANK01,petrol,2987.5,2023,7.976625,7.976625,executive,2023,33989,0.0,manufacturer_declared,162,32225,35121,5.506218,44.86531408672887,5.506218,0.0003134167439753,6.901125,15.584053324639097,7.9766
VEH0010,BANK01,diesel,1270.6,2019,3.392502,3.392502,suv,2019,16942,0.0,manufacturer_declared,180,16524,17319,3.04956,11.245556736053723,3.04956,5.8953574055577504e-05,0.0,,3.3925
VEH0011,BANK01,diesel,1229.3,2019,3.282231,3.282231,compact,2019,15511,0.0,NEDC,178,16565,15744,2.760958,18.87902677259125,2.760958,0.0009444884528636,0.0,,3.2822
VEH0012,BANK01,diesel,1154.5,2019,3.082515,3.082515,executive,2019,21704,0.0,WLTP,168,21157,21954,3.646272,15.4616002316887,3.646272,0.0004866180048621,0.0,,3.0825
VEH0013,BANK01,electric,0.0,2021,0.0,0.0,sedan,2021,20430,3677.4,manufacturer_declared,0,21685,21303,0.0,,0.0,,0.0,,0.0
VEH0014,BANK01,diesel,2025.6,2023,5.408352,5.408352,van,2023,28579,0.0,WLTP,142,27887,28265,4.058218,33.270317168767185,4.058218,0.0008875083203996,0.0,,5.4084
VEH0015,BANK01,electric,0.0,2019,0.0,0.0,van,2019,33889,6100.0,WLTP,4,31552,32935,0.135556,0.0324589099707784,0.135556,100.0,0.0,,0.1356
VEH0016,BANK01,hybrid,2096.2,2018,5.596854,5.596854,suv,2018,23610,0.0,DEFRA_fleet_average,91,24878,24011,2.14851,160.5014638051487,2.14851,0.0008218835426633,5.617816,0.3723155048153894,5.5969
VEH0017,BANK01,diesel,979.3,2022,2.614731,2.614731,sedan,2022,14374,0.0,manufacturer_declared,165,13651,14162,2.37171,10.24535040118732,2.37171,0.0011856044670475,0.0,,2.6147
VEH0018,BANK01,diesel,1684.9,2024,4.498683,4.498683,suv,2024,28404,0.0,WLTP,160,28906,26779,4.54464,1.010861146317417,4.54464,0.0003778869451308,0.0,,4.4987
VEH0019,BANK01,diesel,2069.3,2020,5.525031,5.525031,suv,2020,23608,0.0,NEDC,169,22127,24301,3.989752,38.47978520970727,3.989752,0.0005610859728487,0.0,,5.525
VEH0020,BANK01,hybrid,1145.1,2023,3.057417,3.057417,compact,2023,13239,0.0,DEFRA_fleet_average,90,12445,14023,1.19151,156.59876962845462,1.19151,0.0005560279976501,3.068868,0.3736882785444096,3.0574
VEH0021,BANK01,diesel,590.2,2019,1.575834,1.575834,executive,2019,8878,0.0,DEFRA_fleet_average,174,9065,9198,1.544772,2.0085812016271696,1.544772,0.0021576342175318,0.0,,1.5758
VEH0022,BANK01,petrol,937.2,2018,2.502324,2.502324,suv,2018,12939,0.0,DEFRA_fleet_average,143,13535,12965,1.850277,35.239210129077975,1.850277,0.0009591176118069,2.1649320000000003,15.583307004561789,2.5023
VEH0023,BANK01,petrol,1003.4,2022,2.679078,2.679078,executive,2022,11972,0.0,DEFRA_fleet_average,150,12314,11841,1.7958,49.18699186991869,1.7958,0.0008211712888644,2.317854,15.585364738244964,2.6791
VEH0024,BANK01,electric,0.0,2022,0.0,0.0,van,2022,29075,5233.5,NEDC,2,28978,29250,0.05815,0.085984522785901,0.05815,100.0,0.0,,0.0582
VEH0025,BANK01,diesel,783.4,2024,2.091678,2.091678,van,2024,10470,0.0,WLTP,143,9993,10079,1.49721,39.70652079534601,1.49721,0.001051776067312,0.0,,2.0917
VEH0026,BANK01,hybrid,1256.0,2021,3.35352,3.35352,sedan,2021,19494,0.0,DEFRA_fleet_average,96,21013,18976,1.871424,79.19509421702404,1.871424,0.0005963918294358,3.36608,0.3737284913014621,3.3535
VEH0027,BANK01,hybrid,604.5,2022,1.614015,1.614015,executive,2022,8450,0.0,DEFRA_fleet_average,86,7939,8433,0.7267,122.0999036741434,0.7267,0.0009293680297321,1.6200600000000005,0.374060219991863,1.614
VEH0028,BANK01,hybrid,514.6,2020,1.373982,1.373982,compact,2020,10196,0.0,WLTP,108,9827,9806,1.101168,24.776600845647547,1.101168,0.0013100436681276,1.379128,0.3718291558144002,1.374
VEH0029,BANK01,electric,0.0,2021,0.0,0.0,sedan,2021,8787,1581.7,WLTP,5,8517,8749,0.043935,0.0796631387276665,0.043935,100.0,0.0,,0.0439
VEH0030,BANK01,petrol,1580.7,2023,4.220469,4.220469,executive,2023,19454,0.0,DEFRA_fleet_average,171,19302,19943,3.326634,26.869983292421125,3.326634,0.0007345101291501,3.651417,15.585264569891631,4.2205
VEH0031,BANK01,diesel,2183.9,2022,5.831013,5.831013,van,2022,27257,0.0,DEFRA_fleet_average,130,27961,26074,3.54341,64.55899825309518,3.54341,0.0002229463213711,0.0,,5.831
VEH0032,BANK01,diesel,915.3,2021,2.443851,2.443851,suv,2021,13766,0.0,NEDC,158,13729,13382,2.175028,12.361771894430785,2.175028,0.0020049920209578,0.0,,2.4439
VEH0033,BANK01,diesel,1324.0,2020,3.53508,3.53508,compact,2020,24439,0.0,DEFRA_fleet_average,141,25834,25698,3.445899,2.5886133052651887,3.445899,0.0005657548584235,0.0,,3.5351
VEH0034,BANK01,electric,0.0,2024,0.0,0.0,van,2024,9289,1672.0,DEFRA_fleet_average,2,9739,8840,0.018578,0.1184196361287421,0.018578,100.0,0.0,,0.0186
VEH0035,BANK01,electric,0.0,2018,0.0,0.0,van,2018,33081,5954.6,DEFRA_fleet_average,1,30990,32918,0.033081,0.0574347812943931,0.033081,100.0,0.0,,0.0331
VEH0036,BANK01,petrol,1088.1,2021,2.905227,2.905227,sedan,2021,12791,0.0,NEDC,198,12395,13219,2.532618,14.711338227873291,2.532618,0.0009293680297473,2.513511,15.583341389793,2.9052
VEH0037,BANK01,diesel,791.8,2020,2.114106,2.114106,executive,2020,14592,0.0,NEDC,168,13898,15364,2.451456,13.761454417293226,2.451456,0.0002838087129251,0.0,,2.1141
VEH0038,BANK01,hybrid,1537.1,2018,4.104057,4.104057,van,2018,22717,0.0,DEFRA_fleet_average,104,24231,23213,2.362568,73.71351851036668,2.362568,0.0010477327550447,4.119428,0.37209049411715,4.1041
VEH0039,BANK01,hybrid,1727.2,2022,4.611624,4.611624,executive,2022,21745,0.0,manufacturer_declared,101,20698,22852,2.196245,109.97657365184668,2.196245,0.0005204267499306,4.628896000000001,0.3736528105189847,4.6116
VEH0040,BANK01,hybrid,1548.8,2021,4.135296,4.135296,van,2021,25462,0.0,DEFRA_fleet_average,108,24389,24317,2.749896,50.38023256152232,2.749896,9.672816965325209e-05,4.150784000000001,0.3730379610213569,4.1353
VEH0041,BANK01,diesel,2615.5,2021,6.983385,6.983385,compact,2021,34576,0.0,manufacturer_declared,171,33483,35247,5.912496,18.112553479951607,5.912496,0.0002147950854803,0.0,,6.9834
VEH0042,BANK01,electric,0.0,2019,0.0,0.0,executive,2019,22666,4079.9,DEFRA_fleet_average,2,21023,21932,0.045332,0.0705903114797434,0.045332,100.0,0.0,,0.0453
VEH0043,BANK01,petrol,786.5,2021,2.099955,2.099955,compact,2021,15098,0.0,manufacturer_declared,179,14124,15453,2.702542,22.29537968327597,2.702542,0.0021428571428606,1.816815,15.58689244639658,2.1
VEH0044,BANK01,electric,0.0,2020,0.0,0.0,van,2020,22128,3983.0,manufacturer_declared,2,23733,21809,0.044256,0.0994215473608152,0.044256,100.0,0.0,,0.0443
VEH0045,BANK01,petrol,813.8,2022,2.172846,2.172846,compact,2022,16088,0.0,manufacturer_declared,149,16564,15643,2.397112,9.357593637677333,2.397112,0.0021170839469701,1.879878,15.581968617112391,2.1728
VEH0046,BANK01,diesel,1741.6,2021,4.650072,4.650072,suv,2021,27306,0.0,WLTP,170,27753,26314,4.64202,0.1740621539760822,4.64202,0.0006021375884467,0.0,,4.6501
VEH0047,BANK01,hybrid,2322.1,2021,6.200007,6.200007,suv,2021,27002,0.0,NEDC,91,25592,27981,2.457182,152.32156185418907,2.457182,0.0001129032258079,6.223228,0.3732468101763198,6.2
VEH0048,BANK01,hybrid,2971.2,2023,7.933104,7.933104,suv,2023,33474,0.0,WLTP,104,35293,33329,3.481296,127.8777788501753,3.481296,5.04216510640117e-05,7.962816,0.3731845618434548,7.9331
VEH0049,BANK01,petrol,1860.5,2018,4.967535,4.967535,compact,2018,33438,0.0,manufacturer_declared,153,35949,33147,5.116014,2.9029240342188194,5.116014,0.0007045797684864,4.297755,15.583601205745785,4.9675
VEH0050,BANK01,diesel,1165.5,2018,3.111885,3.111885,sedan,2018,16164,0.0,DEFRA_fleet_average,139,17169,16899,2.246796,38.50389621487666,2.246796,0.000482020630479,0.0,,3.1119
VEH0051,BANK01,diesel,1257.2,2018,3.356724,3.356724,executive,2018,19433,0.0,NEDC,166,18219,19689,3.225878,4.055392051404307,3.225878,0.0007149879345727,0.0,,3.3567
VEH0052,BANK01,diesel,1042.0,2018,2.78214,2.78214,compact,2018,20725,0.0,WLTP,179,20616,20314,3.709775,25.0062335316832,3.709775,0.0014377628410287,0.0,,2.7821
VEH0053,BANK01,petrol,1597.1,2019,4.264257,4.264257,executive,2019,24092,0.0,manufacturer_declared,140,22980,23189,3.37288,26.42904580062144,3.37288,0.0010083718312661,3.689301,15.585581116856568,4.2643
VEH0054,BANK01,petrol,1211.6,2018,3.234972,3.234972,van,2018,14625,0.0,manufacturer_declared,153,14191,14697,2.237625,44.57292888665437,2.237625,0.000865533230291,2.798796,15.585416014600566,3.235
